dataset,run,arraylength,time,cputime,memory
big_datasets_unique_1_100000,1,100000,13056.08,12921.88,0.00
big_datasets_unique_1_100000,2,100000,13211.00,13015.63,0.00
big_datasets_unique_1_100000,3,100000,13126.57,13000.00,0.00
big_datasets_unique_1_100000,4,100000,13128.01,12984.38,0.00
big_datasets_unique_1_100000,5,100000,13064.84,12921.88,0.00
big_datasets_unique_1_100000,6,100000,13092.14,12890.63,0.00
big_datasets_unique_1_100000,7,100000,13195.92,13078.13,0.00
big_datasets_unique_1_100000,8,100000,13197.81,13093.75,0.00
big_datasets_unique_1_100000,9,100000,13183.29,13093.75,0.00
big_datasets_unique_1_100000,10,100000,13226.43,13171.88,0.00
big_datasets_unique_1_100000,11,100000,13302.72,13187.50,0.00
big_datasets_unique_1_100000,12,100000,13106.05,13031.25,0.00
big_datasets_unique_1_100000,13,100000,13176.61,13156.25,0.00
big_datasets_unique_1_100000,14,100000,13113.19,13078.13,0.00
big_datasets_unique_1_100000,15,100000,13118.19,13046.88,0.00
big_datasets_unique_1_100000,16,100000,13194.85,13125.00,0.00
big_datasets_unique_1_100000,17,100000,13190.12,13031.25,0.00
big_datasets_unique_1_100000,18,100000,13084.70,13046.88,0.00
big_datasets_unique_1_100000,19,100000,13196.51,13062.50,0.00
big_datasets_unique_1_100000,20,100000,13154.58,13062.50,0.00
big_datasets_unique_1_100000,21,100000,13141.22,13046.88,0.00
big_datasets_unique_1_100000,22,100000,13275.49,13062.50,0.00
big_datasets_unique_1_100000,23,100000,13265.31,13078.13,0.00
big_datasets_unique_1_100000,24,100000,13158.87,13078.13,0.00
big_datasets_unique_1_100000,25,100000,13083.90,13062.50,0.00
big_datasets_unique_1_100000,26,100000,13155.81,13062.50,0.00
big_datasets_unique_1_100000,27,100000,13087.47,13062.50,0.00
big_datasets_unique_1_100000,28,100000,13205.60,13109.38,0.00
big_datasets_unique_1_100000,29,100000,13228.05,13171.88,0.00
big_datasets_unique_1_100000,30,100000,13258.67,13203.13,0.00
big_datasets_unique_2_100000,1,100000,13240.35,13093.75,0.00
big_datasets_unique_2_100000,2,100000,13270.23,13156.25,0.00
big_datasets_unique_2_100000,3,100000,13125.47,13078.13,0.00
big_datasets_unique_2_100000,4,100000,13180.76,13109.38,0.00
big_datasets_unique_2_100000,5,100000,13171.86,13109.38,0.00
big_datasets_unique_2_100000,6,100000,13218.30,13125.00,0.00
big_datasets_unique_2_100000,7,100000,13188.39,13031.25,0.00
big_datasets_unique_2_100000,8,100000,13289.24,13109.38,0.00
big_datasets_unique_2_100000,9,100000,13337.01,13203.13,0.00
big_datasets_unique_2_100000,10,100000,13291.91,13187.50,0.00
big_datasets_unique_2_100000,11,100000,13227.82,13156.25,0.00
big_datasets_unique_2_100000,12,100000,13270.23,13125.00,0.00
big_datasets_unique_2_100000,13,100000,13201.42,13109.38,0.00
big_datasets_unique_2_100000,14,100000,13179.79,13125.00,0.00
big_datasets_unique_2_100000,15,100000,13194.61,13156.25,0.00
big_datasets_unique_2_100000,16,100000,13190.17,13125.00,0.00
big_datasets_unique_2_100000,17,100000,13172.28,13093.75,0.00
big_datasets_unique_2_100000,18,100000,13148.71,13078.13,0.00
big_datasets_unique_2_100000,19,100000,13225.24,13125.00,0.00
big_datasets_unique_2_100000,20,100000,13200.64,13140.63,0.00
big_datasets_unique_2_100000,21,100000,13194.63,13109.38,0.00
big_datasets_unique_2_100000,22,100000,13206.17,13140.63,0.00
big_datasets_unique_2_100000,23,100000,13335.64,13140.63,0.00
big_datasets_unique_2_100000,24,100000,13212.64,13156.25,0.00
big_datasets_unique_2_100000,25,100000,13212.63,13093.75,0.00
big_datasets_unique_2_100000,26,100000,13238.13,13203.13,0.00
big_datasets_unique_2_100000,27,100000,13163.26,13125.00,0.00
big_datasets_unique_2_100000,28,100000,13212.31,13140.63,0.00
big_datasets_unique_2_100000,29,100000,13169.64,13156.25,0.00
big_datasets_unique_2_100000,30,100000,13169.22,13140.63,0.00
