dataset,run,arraylength,time,cputime,memory
big_datasets_unique_1_100000,1,100000,13037.02,12937.50,0.00
big_datasets_unique_1_100000,2,100000,13070.80,12937.50,0.00
big_datasets_unique_1_100000,3,100000,12993.70,12937.50,0.00
big_datasets_unique_1_100000,4,100000,12966.63,12828.13,0.00
big_datasets_unique_1_100000,5,100000,12934.54,12734.38,0.00
big_datasets_unique_1_100000,6,100000,12984.10,12859.38,0.00
big_datasets_unique_1_100000,7,100000,13133.59,12937.50,0.00
big_datasets_unique_1_100000,8,100000,13091.21,13000.00,0.00
big_datasets_unique_1_100000,9,100000,13061.60,12968.75,0.00
big_datasets_unique_1_100000,10,100000,13109.32,13046.88,0.00
big_datasets_unique_1_100000,11,100000,13146.58,13062.50,0.00
big_datasets_unique_1_100000,12,100000,13110.66,13015.63,0.00
big_datasets_unique_1_100000,13,100000,12997.83,12812.50,0.00
big_datasets_unique_1_100000,14,100000,13020.01,12921.88,0.00
big_datasets_unique_1_100000,15,100000,13068.95,13000.00,0.00
big_datasets_unique_1_100000,16,100000,12943.36,12843.75,0.00
big_datasets_unique_1_100000,17,100000,13133.13,12953.13,0.00
big_datasets_unique_1_100000,18,100000,13148.35,12968.75,0.00
big_datasets_unique_1_100000,19,100000,13078.13,12984.38,0.00
big_datasets_unique_1_100000,20,100000,13040.65,12890.63,0.00
big_datasets_unique_1_100000,21,100000,13015.24,12921.88,0.00
big_datasets_unique_1_100000,22,100000,13033.58,12906.25,0.00
big_datasets_unique_1_100000,23,100000,13005.94,12921.88,0.00
big_datasets_unique_1_100000,24,100000,13051.88,12937.50,0.00
big_datasets_unique_1_100000,25,100000,13009.92,12937.50,0.00
big_datasets_unique_1_100000,26,100000,13136.91,13093.75,0.00
big_datasets_unique_1_100000,27,100000,13005.81,12906.25,0.00
big_datasets_unique_1_100000,28,100000,13160.34,13046.88,0.00
big_datasets_unique_1_100000,29,100000,13119.11,13046.88,0.00
big_datasets_unique_1_100000,30,100000,13091.16,13015.63,0.00
big_datasets_unique_2_100000,1,100000,13138.59,12984.38,0.00
big_datasets_unique_2_100000,2,100000,13204.41,13046.88,0.00
big_datasets_unique_2_100000,3,100000,13072.94,13000.00,0.00
big_datasets_unique_2_100000,4,100000,13105.77,13000.00,0.00
big_datasets_unique_2_100000,5,100000,13045.29,12984.38,0.00
big_datasets_unique_2_100000,6,100000,13041.21,12968.75,0.00
big_datasets_unique_2_100000,7,100000,13141.39,12937.50,0.00
big_datasets_unique_2_100000,8,100000,13110.91,13031.25,0.00
big_datasets_unique_2_100000,9,100000,13108.92,12984.38,0.00
big_datasets_unique_2_100000,10,100000,13225.10,13109.38,0.00
big_datasets_unique_2_100000,11,100000,13027.26,12859.38,0.00
big_datasets_unique_2_100000,12,100000,13125.86,13000.00,0.00
big_datasets_unique_2_100000,13,100000,13049.07,12984.38,0.00
big_datasets_unique_2_100000,14,100000,13087.18,13015.63,0.00
big_datasets_unique_2_100000,15,100000,13019.02,12968.75,0.00
big_datasets_unique_2_100000,16,100000,13159.68,13031.25,0.00
big_datasets_unique_2_100000,17,100000,13020.32,12937.50,0.00
big_datasets_unique_2_100000,18,100000,13055.90,13046.88,0.00
big_datasets_unique_2_100000,19,100000,13006.59,12921.88,0.00
big_datasets_unique_2_100000,20,100000,13090.58,12875.00,0.00
big_datasets_unique_2_100000,21,100000,13087.38,13015.63,0.00
big_datasets_unique_2_100000,22,100000,13117.37,13015.63,0.00
big_datasets_unique_2_100000,23,100000,13030.20,12968.75,0.00
big_datasets_unique_2_100000,24,100000,13127.93,13031.25,0.00
big_datasets_unique_2_100000,25,100000,13149.34,13046.88,0.00
big_datasets_unique_2_100000,26,100000,13051.88,12968.75,0.00
big_datasets_unique_2_100000,27,100000,13018.86,12906.25,0.00
big_datasets_unique_2_100000,28,100000,13068.57,12953.13,0.00
big_datasets_unique_2_100000,29,100000,13113.60,12953.13,0.00
big_datasets_unique_2_100000,30,100000,13058.45,13046.88,0.00
