dataset,run,arraylength,time,cputime,memory
big_datasets_unique_1_100000,1,100000,12.27,15.63,0.00
big_datasets_unique_1_100000,2,100000,10.70,15.63,0.00
big_datasets_unique_1_100000,3,100000,9.22,15.63,0.00
big_datasets_unique_1_100000,4,100000,9.05,15.63,0.00
big_datasets_unique_1_100000,5,100000,9.96,0.00,0.00
big_datasets_unique_1_100000,6,100000,13.04,0.00,0.00
big_datasets_unique_1_100000,7,100000,10.91,0.00,0.00
big_datasets_unique_1_100000,8,100000,11.99,15.63,0.00
big_datasets_unique_1_100000,9,100000,10.17,0.00,0.00
big_datasets_unique_1_100000,10,100000,13.06,15.63,0.00
big_datasets_unique_1_100000,11,100000,9.44,0.00,0.00
big_datasets_unique_1_100000,12,100000,10.61,0.00,0.00
big_datasets_unique_1_100000,13,100000,9.48,15.63,0.00
big_datasets_unique_1_100000,14,100000,9.64,0.00,0.00
big_datasets_unique_1_100000,15,100000,11.62,0.00,0.00
big_datasets_unique_1_100000,16,100000,9.40,15.63,0.00
big_datasets_unique_1_100000,17,100000,9.11,15.63,0.00
big_datasets_unique_1_100000,18,100000,9.53,15.63,0.00
big_datasets_unique_1_100000,19,100000,9.84,15.63,0.00
big_datasets_unique_1_100000,20,100000,9.59,0.00,0.00
big_datasets_unique_1_100000,21,100000,10.18,15.63,0.00
big_datasets_unique_1_100000,22,100000,10.27,0.00,0.00
big_datasets_unique_1_100000,23,100000,11.31,15.63,0.00
big_datasets_unique_1_100000,24,100000,9.45,15.63,0.00
big_datasets_unique_1_100000,25,100000,10.11,0.00,0.00
big_datasets_unique_1_100000,26,100000,8.87,15.63,0.00
big_datasets_unique_1_100000,27,100000,9.13,15.63,0.00
big_datasets_unique_1_100000,28,100000,31.22,15.63,0.00
big_datasets_unique_1_100000,29,100000,9.83,0.00,0.00
big_datasets_unique_1_100000,30,100000,10.13,0.00,0.00
big_datasets_unique_2_100000,1,100000,9.76,15.63,0.00
big_datasets_unique_2_100000,2,100000,8.99,15.63,0.00
big_datasets_unique_2_100000,3,100000,10.39,15.63,0.00
big_datasets_unique_2_100000,4,100000,9.87,15.63,0.00
big_datasets_unique_2_100000,5,100000,9.36,15.63,0.00
big_datasets_unique_2_100000,6,100000,11.16,0.00,0.00
big_datasets_unique_2_100000,7,100000,9.78,0.00,0.00
big_datasets_unique_2_100000,8,100000,9.13,0.00,0.00
big_datasets_unique_2_100000,9,100000,9.15,0.00,0.00
big_datasets_unique_2_100000,10,100000,9.29,15.63,0.00
big_datasets_unique_2_100000,11,100000,10.08,15.63,0.00
big_datasets_unique_2_100000,12,100000,9.94,15.63,0.00
big_datasets_unique_2_100000,13,100000,9.46,15.63,0.00
big_datasets_unique_2_100000,14,100000,10.32,15.63,0.00
big_datasets_unique_2_100000,15,100000,10.04,15.63,0.00
big_datasets_unique_2_100000,16,100000,10.02,15.63,0.00
big_datasets_unique_2_100000,17,100000,9.97,15.63,0.00
big_datasets_unique_2_100000,18,100000,10.54,15.63,0.00
big_datasets_unique_2_100000,19,100000,9.68,0.00,0.00
big_datasets_unique_2_100000,20,100000,9.55,15.63,0.00
big_datasets_unique_2_100000,21,100000,8.76,0.00,0.00
big_datasets_unique_2_100000,22,100000,9.32,0.00,0.00
big_datasets_unique_2_100000,23,100000,10.24,15.63,0.00
big_datasets_unique_2_100000,24,100000,8.85,15.63,0.00
big_datasets_unique_2_100000,25,100000,9.84,15.63,0.00
big_datasets_unique_2_100000,26,100000,9.34,15.63,0.00
big_datasets_unique_2_100000,27,100000,11.46,15.63,0.00
big_datasets_unique_2_100000,28,100000,9.19,15.63,0.00
big_datasets_unique_2_100000,29,100000,9.55,15.63,0.00
big_datasets_unique_2_100000,30,100000,11.73,15.63,0.00
