dataset,run,arraylength,time,cputime,memory
big_datasets_unique_1_100000,1,100000,2481.68,2468.75,0.00
big_datasets_unique_1_100000,2,100000,2415.29,2421.88,0.00
big_datasets_unique_1_100000,3,100000,2445.09,2437.50,0.00
big_datasets_unique_1_100000,4,100000,2362.44,2359.38,0.00
big_datasets_unique_1_100000,5,100000,2470.06,2453.13,0.00
big_datasets_unique_1_100000,6,100000,2403.22,2406.25,0.00
big_datasets_unique_1_100000,7,100000,2376.50,2375.00,0.00
big_datasets_unique_1_100000,8,100000,2269.46,2265.63,0.00
big_datasets_unique_1_100000,9,100000,2412.45,2406.25,0.00
big_datasets_unique_1_100000,10,100000,2319.07,2312.50,0.00
big_datasets_unique_1_100000,11,100000,2314.95,2296.88,0.00
big_datasets_unique_1_100000,12,100000,2215.33,2203.13,0.00
big_datasets_unique_1_100000,13,100000,2140.10,2140.63,0.00
big_datasets_unique_1_100000,14,100000,2405.77,2406.25,0.00
big_datasets_unique_1_100000,15,100000,2252.58,2234.38,0.00
big_datasets_unique_1_100000,16,100000,2220.65,2203.13,0.00
big_datasets_unique_1_100000,17,100000,2120.81,2109.38,0.00
big_datasets_unique_1_100000,18,100000,2212.84,2203.13,0.00
big_datasets_unique_1_100000,19,100000,2208.72,2203.13,0.00
big_datasets_unique_1_100000,20,100000,2248.97,2250.00,0.00
big_datasets_unique_1_100000,21,100000,2178.28,2187.50,0.00
big_datasets_unique_1_100000,22,100000,2167.27,2156.25,0.00
big_datasets_unique_1_100000,23,100000,2231.63,2203.13,0.00
big_datasets_unique_1_100000,24,100000,2229.30,2234.38,0.00
big_datasets_unique_1_100000,25,100000,2279.52,2265.63,0.00
big_datasets_unique_1_100000,26,100000,2273.98,2265.63,0.00
big_datasets_unique_1_100000,27,100000,2112.50,2109.38,0.00
big_datasets_unique_1_100000,28,100000,2135.22,2125.00,0.00
big_datasets_unique_1_100000,29,100000,2211.46,2203.13,0.00
big_datasets_unique_1_100000,30,100000,2138.93,2140.63,0.00
big_datasets_unique_2_100000,1,100000,2173.82,2171.88,0.00
big_datasets_unique_2_100000,2,100000,2122.27,2125.00,0.00
big_datasets_unique_2_100000,3,100000,2199.69,2171.88,0.00
big_datasets_unique_2_100000,4,100000,2152.00,2140.63,0.00
big_datasets_unique_2_100000,5,100000,2139.82,2140.63,0.00
big_datasets_unique_2_100000,6,100000,2232.01,2234.38,0.00
big_datasets_unique_2_100000,7,100000,2167.38,2171.88,0.00
big_datasets_unique_2_100000,8,100000,2152.37,2140.63,0.00
big_datasets_unique_2_100000,9,100000,2183.21,2156.25,0.00
big_datasets_unique_2_100000,10,100000,2122.68,2093.75,9.30
big_datasets_unique_2_100000,11,100000,2379.36,2375.00,0.00
big_datasets_unique_2_100000,12,100000,2198.30,2203.13,0.00
big_datasets_unique_2_100000,13,100000,2181.24,2187.50,0.00
big_datasets_unique_2_100000,14,100000,2218.23,2218.75,0.00
big_datasets_unique_2_100000,15,100000,2162.91,2156.25,0.00
big_datasets_unique_2_100000,16,100000,2352.24,2343.75,0.00
big_datasets_unique_2_100000,17,100000,2162.36,2171.88,0.00
big_datasets_unique_2_100000,18,100000,2414.30,2406.25,0.00
big_datasets_unique_2_100000,19,100000,2130.70,2140.63,0.00
big_datasets_unique_2_100000,20,100000,2364.60,2359.38,0.00
big_datasets_unique_2_100000,21,100000,2134.17,2125.00,0.00
big_datasets_unique_2_100000,22,100000,2378.64,2375.00,0.00
big_datasets_unique_2_100000,23,100000,2407.42,2390.63,9.30
big_datasets_unique_2_100000,24,100000,2375.24,2359.38,0.00
big_datasets_unique_2_100000,25,100000,2222.85,2218.75,0.00
big_datasets_unique_2_100000,26,100000,2281.10,2281.25,0.00
big_datasets_unique_2_100000,27,100000,2246.70,2234.38,0.00
big_datasets_unique_2_100000,28,100000,2163.03,2156.25,0.00
big_datasets_unique_2_100000,29,100000,2365.39,2375.00,0.00
big_datasets_unique_2_100000,30,100000,2247.73,2234.38,0.00
