dataset,run,arraylength,time,cputime,memory
big_datasets_unique_1_100000,1,100000,18.43,31.25,6191.26
big_datasets_unique_1_100000,2,100000,15.70,15.63,6164.09
big_datasets_unique_1_100000,3,100000,14.70,15.63,6164.09
big_datasets_unique_1_100000,4,100000,13.46,15.63,6226.77
big_datasets_unique_1_100000,5,100000,14.24,15.63,6225.43
big_datasets_unique_1_100000,6,100000,13.33,15.63,6164.09
big_datasets_unique_1_100000,7,100000,14.31,0.00,6166.11
big_datasets_unique_1_100000,8,100000,13.44,15.63,6230.46
big_datasets_unique_1_100000,9,100000,13.97,15.63,6166.11
big_datasets_unique_1_100000,10,100000,14.30,0.00,6166.11
big_datasets_unique_1_100000,11,100000,14.49,15.63,6166.11
big_datasets_unique_1_100000,12,100000,13.09,15.63,6262.63
big_datasets_unique_1_100000,13,100000,12.72,15.63,6353.41
big_datasets_unique_1_100000,14,100000,14.67,15.63,6166.11
big_datasets_unique_1_100000,15,100000,14.32,15.63,6227.78
big_datasets_unique_1_100000,16,100000,12.84,15.63,6232.13
big_datasets_unique_1_100000,17,100000,13.27,15.63,6227.81
big_datasets_unique_1_100000,18,100000,13.74,0.00,6168.13
big_datasets_unique_1_100000,19,100000,13.69,15.63,6166.11
big_datasets_unique_1_100000,20,100000,13.65,15.63,6230.46
big_datasets_unique_1_100000,21,100000,12.86,15.63,6166.11
big_datasets_unique_1_100000,22,100000,12.69,0.00,6166.11
big_datasets_unique_1_100000,23,100000,14.18,15.63,6166.11
big_datasets_unique_1_100000,24,100000,13.50,15.63,6262.63
big_datasets_unique_1_100000,25,100000,13.44,15.63,6353.41
big_datasets_unique_1_100000,26,100000,12.78,15.63,6166.11
big_datasets_unique_1_100000,27,100000,14.09,15.63,6227.78
big_datasets_unique_1_100000,28,100000,13.40,15.63,6232.13
big_datasets_unique_1_100000,29,100000,13.73,15.63,6227.81
big_datasets_unique_1_100000,30,100000,13.44,15.63,6168.13
big_datasets_unique_2_100000,1,100000,13.28,0.00,6192.23
big_datasets_unique_2_100000,2,100000,13.80,15.63,6226.84
big_datasets_unique_2_100000,3,100000,13.96,0.00,6164.08
big_datasets_unique_2_100000,4,100000,13.85,0.00,6164.09
big_datasets_unique_2_100000,5,100000,15.35,15.63,6164.09
big_datasets_unique_2_100000,6,100000,13.56,15.63,6166.11
big_datasets_unique_2_100000,7,100000,13.81,15.63,6166.11
big_datasets_unique_2_100000,8,100000,13.02,15.63,6164.09
big_datasets_unique_2_100000,9,100000,13.40,0.00,6168.13
big_datasets_unique_2_100000,10,100000,12.70,15.63,6166.11
big_datasets_unique_2_100000,11,100000,14.23,15.63,6166.11
big_datasets_unique_2_100000,12,100000,13.47,15.63,6164.09
big_datasets_unique_2_100000,13,100000,13.03,15.63,6168.13
big_datasets_unique_2_100000,14,100000,13.26,15.63,6166.11
big_datasets_unique_2_100000,15,100000,14.23,15.63,6166.11
big_datasets_unique_2_100000,16,100000,13.06,15.63,6164.09
big_datasets_unique_2_100000,17,100000,12.79,15.63,6168.13
big_datasets_unique_2_100000,18,100000,13.18,15.63,6166.11
big_datasets_unique_2_100000,19,100000,14.33,15.63,6166.11
big_datasets_unique_2_100000,20,100000,13.46,15.63,6164.09
big_datasets_unique_2_100000,21,100000,12.75,15.63,6168.13
big_datasets_unique_2_100000,22,100000,13.46,15.63,6166.11
big_datasets_unique_2_100000,23,100000,14.69,15.63,6166.11
big_datasets_unique_2_100000,24,100000,13.26,15.63,6164.09
big_datasets_unique_2_100000,25,100000,13.45,15.63,6168.13
big_datasets_unique_2_100000,26,100000,12.54,15.63,6166.11
big_datasets_unique_2_100000,27,100000,14.56,15.63,6166.11
big_datasets_unique_2_100000,28,100000,21.13,31.25,6164.09
big_datasets_unique_2_100000,29,100000,12.92,15.63,6168.13
big_datasets_unique_2_100000,30,100000,12.75,15.63,6166.11
