dataset,run,arraylength,time,cputime,memory
big_datasets_unique_1_100000,1,100000,10.19,15.63,0.00
big_datasets_unique_1_100000,2,100000,12.03,15.63,0.00
big_datasets_unique_1_100000,3,100000,11.71,15.63,0.00
big_datasets_unique_1_100000,4,100000,9.74,15.63,0.00
big_datasets_unique_1_100000,5,100000,10.36,0.00,0.00
big_datasets_unique_1_100000,6,100000,9.39,15.63,0.00
big_datasets_unique_1_100000,7,100000,11.50,0.00,0.00
big_datasets_unique_1_100000,8,100000,9.67,15.63,0.00
big_datasets_unique_1_100000,9,100000,9.83,0.00,0.00
big_datasets_unique_1_100000,10,100000,10.51,0.00,0.00
big_datasets_unique_1_100000,11,100000,9.44,0.00,0.00
big_datasets_unique_1_100000,12,100000,9.49,0.00,0.00
big_datasets_unique_1_100000,13,100000,9.83,15.63,0.00
big_datasets_unique_1_100000,14,100000,10.95,0.00,0.00
big_datasets_unique_1_100000,15,100000,9.94,0.00,0.00
big_datasets_unique_1_100000,16,100000,9.50,15.63,0.00
big_datasets_unique_1_100000,17,100000,10.32,15.63,0.00
big_datasets_unique_1_100000,18,100000,9.54,15.63,0.00
big_datasets_unique_1_100000,19,100000,10.80,15.63,0.00
big_datasets_unique_1_100000,20,100000,11.61,0.00,0.00
big_datasets_unique_1_100000,21,100000,9.46,15.63,0.00
big_datasets_unique_1_100000,22,100000,9.89,0.00,0.00
big_datasets_unique_1_100000,23,100000,10.95,15.63,0.00
big_datasets_unique_1_100000,24,100000,10.12,0.00,0.00
big_datasets_unique_1_100000,25,100000,12.79,0.00,0.00
big_datasets_unique_1_100000,26,100000,9.66,15.63,0.00
big_datasets_unique_1_100000,27,100000,10.37,15.63,0.00
big_datasets_unique_1_100000,28,100000,9.55,0.00,0.00
big_datasets_unique_1_100000,29,100000,9.55,0.00,0.00
big_datasets_unique_1_100000,30,100000,11.77,0.00,0.00
big_datasets_unique_2_100000,1,100000,10.20,15.63,0.00
big_datasets_unique_2_100000,2,100000,9.51,15.63,0.00
big_datasets_unique_2_100000,3,100000,10.59,15.63,0.00
big_datasets_unique_2_100000,4,100000,10.55,15.63,0.00
big_datasets_unique_2_100000,5,100000,9.45,15.63,0.00
big_datasets_unique_2_100000,6,100000,9.40,0.00,0.00
big_datasets_unique_2_100000,7,100000,10.72,0.00,0.00
big_datasets_unique_2_100000,8,100000,10.55,15.63,0.00
big_datasets_unique_2_100000,9,100000,9.65,15.63,0.00
big_datasets_unique_2_100000,10,100000,9.96,15.63,0.00
big_datasets_unique_2_100000,11,100000,12.83,15.63,0.00
big_datasets_unique_2_100000,12,100000,26.10,15.63,0.00
big_datasets_unique_2_100000,13,100000,9.73,15.63,0.00
big_datasets_unique_2_100000,14,100000,9.73,15.63,0.00
big_datasets_unique_2_100000,15,100000,9.61,0.00,0.00
big_datasets_unique_2_100000,16,100000,10.62,15.63,0.00
big_datasets_unique_2_100000,17,100000,9.90,15.63,0.00
big_datasets_unique_2_100000,18,100000,9.92,15.63,0.00
big_datasets_unique_2_100000,19,100000,10.42,15.63,0.00
big_datasets_unique_2_100000,20,100000,9.60,15.63,0.00
big_datasets_unique_2_100000,21,100000,10.59,0.00,0.00
big_datasets_unique_2_100000,22,100000,9.58,0.00,0.00
big_datasets_unique_2_100000,23,100000,10.29,15.63,0.00
big_datasets_unique_2_100000,24,100000,9.34,15.63,0.00
big_datasets_unique_2_100000,25,100000,9.92,15.63,0.00
big_datasets_unique_2_100000,26,100000,9.83,15.63,0.00
big_datasets_unique_2_100000,27,100000,12.42,15.63,0.00
big_datasets_unique_2_100000,28,100000,11.77,15.63,0.00
big_datasets_unique_2_100000,29,100000,10.08,15.63,0.00
big_datasets_unique_2_100000,30,100000,9.97,15.63,0.00
