dataset,run,arraylength,time,cputime,memory
big_datasets_unique_1_100000,1,100000,22.28,15.63,6723.40
big_datasets_unique_1_100000,2,100000,12.32,0.00,6694.78
big_datasets_unique_1_100000,3,100000,11.96,15.63,6680.95
big_datasets_unique_1_100000,4,100000,12.31,15.63,6611.55
big_datasets_unique_1_100000,5,100000,12.10,15.63,6680.59
big_datasets_unique_1_100000,6,100000,12.42,0.00,6669.37
big_datasets_unique_1_100000,7,100000,13.59,15.63,6679.77
big_datasets_unique_1_100000,8,100000,13.02,15.63,6609.15
big_datasets_unique_1_100000,9,100000,11.75,15.63,6691.98
big_datasets_unique_1_100000,10,100000,14.26,0.00,6680.63
big_datasets_unique_1_100000,11,100000,11.77,15.63,6685.15
big_datasets_unique_1_100000,12,100000,14.62,15.63,6636.61
big_datasets_unique_1_100000,13,100000,12.37,15.63,6669.10
big_datasets_unique_1_100000,14,100000,15.64,15.63,6667.67
big_datasets_unique_1_100000,15,100000,11.56,15.63,6678.38
big_datasets_unique_1_100000,16,100000,11.97,15.63,6609.39
big_datasets_unique_1_100000,17,100000,12.20,15.63,6679.42
big_datasets_unique_1_100000,18,100000,11.67,15.63,6686.26
big_datasets_unique_1_100000,19,100000,12.57,15.63,6675.14
big_datasets_unique_1_100000,20,100000,11.45,15.63,6609.15
big_datasets_unique_1_100000,21,100000,11.85,15.63,6691.98
big_datasets_unique_1_100000,22,100000,11.79,15.63,6680.63
big_datasets_unique_1_100000,23,100000,12.23,15.63,6685.15
big_datasets_unique_1_100000,24,100000,12.22,15.63,6636.61
big_datasets_unique_1_100000,25,100000,11.57,15.63,6669.10
big_datasets_unique_1_100000,26,100000,13.86,15.63,6667.67
big_datasets_unique_1_100000,27,100000,13.64,15.63,6678.38
big_datasets_unique_1_100000,28,100000,15.96,15.63,6609.39
big_datasets_unique_1_100000,29,100000,12.00,0.00,6679.42
big_datasets_unique_1_100000,30,100000,11.93,15.63,6686.26
big_datasets_unique_2_100000,1,100000,19.98,15.63,6687.73
big_datasets_unique_2_100000,2,100000,12.03,15.63,6633.10
big_datasets_unique_2_100000,3,100000,11.58,15.63,6664.68
big_datasets_unique_2_100000,4,100000,12.36,15.63,6610.59
big_datasets_unique_2_100000,5,100000,13.29,15.63,6669.62
big_datasets_unique_2_100000,6,100000,14.37,15.63,6679.82
big_datasets_unique_2_100000,7,100000,11.39,15.63,6687.52
big_datasets_unique_2_100000,8,100000,13.33,15.63,6636.66
big_datasets_unique_2_100000,9,100000,11.74,15.63,6688.61
big_datasets_unique_2_100000,10,100000,12.74,15.63,6675.14
big_datasets_unique_2_100000,11,100000,13.34,0.00,6687.52
big_datasets_unique_2_100000,12,100000,11.79,15.63,6636.66
big_datasets_unique_2_100000,13,100000,11.56,15.63,6688.61
big_datasets_unique_2_100000,14,100000,13.38,15.63,6675.14
big_datasets_unique_2_100000,15,100000,12.90,0.00,6687.52
big_datasets_unique_2_100000,16,100000,12.70,15.63,6636.66
big_datasets_unique_2_100000,17,100000,12.78,15.63,6688.61
big_datasets_unique_2_100000,18,100000,18.40,0.00,6675.14
big_datasets_unique_2_100000,19,100000,11.87,15.63,6687.52
big_datasets_unique_2_100000,20,100000,12.97,15.63,6636.66
big_datasets_unique_2_100000,21,100000,13.48,15.63,6688.61
big_datasets_unique_2_100000,22,100000,11.77,15.63,6675.14
big_datasets_unique_2_100000,23,100000,12.72,15.63,6687.52
big_datasets_unique_2_100000,24,100000,12.15,15.63,6636.66
big_datasets_unique_2_100000,25,100000,13.90,15.63,6688.61
big_datasets_unique_2_100000,26,100000,13.11,15.63,6675.14
big_datasets_unique_2_100000,27,100000,12.44,15.63,6687.52
big_datasets_unique_2_100000,28,100000,15.93,15.63,6636.66
big_datasets_unique_2_100000,29,100000,11.85,15.63,6688.61
big_datasets_unique_2_100000,30,100000,13.02,15.63,6675.14
