dataset,run,arraylength,time,cputime,memory
big_datasets_unique_1_100000,1,100000,2627.77,2609.38,0.00
big_datasets_unique_1_100000,2,100000,2605.91,2593.75,0.00
big_datasets_unique_1_100000,3,100000,2445.52,2421.88,0.00
big_datasets_unique_1_100000,4,100000,2494.96,2484.38,0.00
big_datasets_unique_1_100000,5,100000,2520.15,2531.25,0.00
big_datasets_unique_1_100000,6,100000,2455.81,2437.50,0.00
big_datasets_unique_1_100000,7,100000,2560.75,2546.88,0.00
big_datasets_unique_1_100000,8,100000,2588.94,2593.75,0.00
big_datasets_unique_1_100000,9,100000,2186.62,2171.88,0.00
big_datasets_unique_1_100000,10,100000,2170.04,2171.88,0.00
big_datasets_unique_1_100000,11,100000,2191.36,2187.50,0.00
big_datasets_unique_1_100000,12,100000,2182.37,2171.88,0.00
big_datasets_unique_1_100000,13,100000,2453.57,2437.50,0.00
big_datasets_unique_1_100000,14,100000,2378.67,2359.38,9.30
big_datasets_unique_1_100000,15,100000,2354.59,2343.75,0.00
big_datasets_unique_1_100000,16,100000,2355.97,2359.38,0.00
big_datasets_unique_1_100000,17,100000,2269.37,2281.25,0.00
big_datasets_unique_1_100000,18,100000,2195.00,2203.13,0.00
big_datasets_unique_1_100000,19,100000,2319.37,2312.50,0.00
big_datasets_unique_1_100000,20,100000,2220.55,2218.75,0.00
big_datasets_unique_1_100000,21,100000,2165.50,2156.25,0.00
big_datasets_unique_1_100000,22,100000,2371.69,2359.38,0.00
big_datasets_unique_1_100000,23,100000,2182.91,2171.88,0.00
big_datasets_unique_1_100000,24,100000,2181.99,2187.50,0.00
big_datasets_unique_1_100000,25,100000,2204.14,2187.50,0.00
big_datasets_unique_1_100000,26,100000,2406.93,2406.25,0.00
big_datasets_unique_1_100000,27,100000,2344.18,2328.13,9.30
big_datasets_unique_1_100000,28,100000,2370.54,2375.00,0.00
big_datasets_unique_1_100000,29,100000,2238.77,2234.38,0.00
big_datasets_unique_1_100000,30,100000,2298.62,2296.88,0.00
big_datasets_unique_2_100000,1,100000,2165.41,2156.25,0.00
big_datasets_unique_2_100000,2,100000,2284.60,2281.25,0.00
big_datasets_unique_2_100000,3,100000,2227.17,2218.75,0.00
big_datasets_unique_2_100000,4,100000,2204.65,2171.88,0.00
big_datasets_unique_2_100000,5,100000,2183.42,2156.25,0.00
big_datasets_unique_2_100000,6,100000,2191.27,2203.13,0.00
big_datasets_unique_2_100000,7,100000,2289.62,2296.88,0.00
big_datasets_unique_2_100000,8,100000,2270.01,2265.63,0.00
big_datasets_unique_2_100000,9,100000,2290.69,2296.88,0.00
big_datasets_unique_2_100000,10,100000,2347.70,2343.75,0.00
big_datasets_unique_2_100000,11,100000,2196.34,2187.50,0.00
big_datasets_unique_2_100000,12,100000,2224.45,2218.75,0.00
big_datasets_unique_2_100000,13,100000,2207.04,2203.13,0.00
big_datasets_unique_2_100000,14,100000,2191.93,2203.13,0.00
big_datasets_unique_2_100000,15,100000,2186.57,2187.50,0.00
big_datasets_unique_2_100000,16,100000,2346.21,2343.75,0.00
big_datasets_unique_2_100000,17,100000,2172.82,2171.88,0.00
big_datasets_unique_2_100000,18,100000,2180.09,2187.50,0.00
big_datasets_unique_2_100000,19,100000,2179.65,2187.50,0.00
big_datasets_unique_2_100000,20,100000,2428.19,2437.50,0.00
big_datasets_unique_2_100000,21,100000,2268.03,2265.63,0.00
big_datasets_unique_2_100000,22,100000,2299.82,2312.50,0.00
big_datasets_unique_2_100000,23,100000,2216.42,2218.75,0.00
big_datasets_unique_2_100000,24,100000,2174.83,2171.88,0.00
big_datasets_unique_2_100000,25,100000,2349.14,2343.75,0.00
big_datasets_unique_2_100000,26,100000,2170.60,2171.88,0.00
big_datasets_unique_2_100000,27,100000,2441.20,2437.50,0.00
big_datasets_unique_2_100000,28,100000,2181.36,2156.25,0.00
big_datasets_unique_2_100000,29,100000,2206.16,2218.75,0.00
big_datasets_unique_2_100000,30,100000,2428.53,2421.88,0.00
