Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
big_datasets_unique_1_100000.txt,InsertionSort,1,2179.752600,24.19,0.00
big_datasets_unique_1_100000.txt,InsertionSort,2,2346.651600,23.14,0.00
big_datasets_unique_1_100000.txt,InsertionSort,3,1952.783500,24.00,0.00
big_datasets_unique_1_100000.txt,InsertionSort,4,2292.155300,22.67,0.00
big_datasets_unique_1_100000.txt,InsertionSort,5,1900.641400,24.05,0.00
big_datasets_unique_1_100000.txt,InsertionSort,6,1864.705300,24.09,0.00
big_datasets_unique_1_100000.txt,InsertionSort,7,2057.869500,22.59,0.00
big_datasets_unique_1_100000.txt,InsertionSort,8,1821.264700,24.88,0.00
big_datasets_unique_1_100000.txt,InsertionSort,9,1958.412100,22.94,0.00
big_datasets_unique_1_100000.txt,InsertionSort,10,1910.199300,23.72,0.00
big_datasets_unique_1_100000.txt,InsertionSort,11,1828.220300,24.14,0.00
big_datasets_unique_1_100000.txt,InsertionSort,12,2036.504000,23.40,0.00
big_datasets_unique_1_100000.txt,InsertionSort,13,1801.534600,24.28,0.00
big_datasets_unique_1_100000.txt,InsertionSort,14,1946.317000,23.48,0.00
big_datasets_unique_1_100000.txt,InsertionSort,15,1941.168700,23.54,0.00
big_datasets_unique_1_100000.txt,InsertionSort,16,1868.084200,24.05,0.00
big_datasets_unique_1_100000.txt,InsertionSort,17,1974.824400,23.54,0.00
big_datasets_unique_1_100000.txt,InsertionSort,18,1888.057000,24.00,0.00
big_datasets_unique_1_100000.txt,InsertionSort,19,1860.179000,24.36,0.00
big_datasets_unique_1_100000.txt,InsertionSort,20,2056.764900,23.36,0.00
big_datasets_unique_1_100000.txt,InsertionSort,21,1825.017200,24.61,0.00
big_datasets_unique_1_100000.txt,InsertionSort,22,1893.440400,24.34,0.00
big_datasets_unique_1_100000.txt,InsertionSort,23,1906.853300,24.17,0.00
big_datasets_unique_1_100000.txt,InsertionSort,24,1869.966500,23.81,0.00
big_datasets_unique_1_100000.txt,InsertionSort,25,2177.044300,22.97,0.00
big_datasets_unique_1_100000.txt,InsertionSort,26,1823.400700,23.57,0.00
big_datasets_unique_1_100000.txt,InsertionSort,27,2121.743800,23.01,0.00
big_datasets_unique_1_100000.txt,InsertionSort,28,1909.730100,23.52,0.00
big_datasets_unique_1_100000.txt,InsertionSort,29,1822.751500,24.22,0.00
big_datasets_unique_1_100000.txt,InsertionSort,30,1973.870300,23.35,0.00
big_datasets_unique_2_100000.txt,InsertionSort,1,1847.227300,23.90,0.00
big_datasets_unique_2_100000.txt,InsertionSort,2,2027.505700,23.70,0.00
big_datasets_unique_2_100000.txt,InsertionSort,3,1840.179000,23.77,0.00
big_datasets_unique_2_100000.txt,InsertionSort,4,1836.698300,24.25,0.00
big_datasets_unique_2_100000.txt,InsertionSort,5,1992.513600,23.13,0.00
big_datasets_unique_2_100000.txt,InsertionSort,6,1826.230100,23.96,0.00
big_datasets_unique_2_100000.txt,InsertionSort,7,1920.905800,23.18,0.00
big_datasets_unique_2_100000.txt,InsertionSort,8,1968.186100,23.22,0.00
big_datasets_unique_2_100000.txt,InsertionSort,9,1780.290500,24.79,0.00
big_datasets_unique_2_100000.txt,InsertionSort,10,2048.884700,23.26,0.00
big_datasets_unique_2_100000.txt,InsertionSort,11,1812.269300,24.14,0.00
big_datasets_unique_2_100000.txt,InsertionSort,12,1926.328800,23.32,0.00
big_datasets_unique_2_100000.txt,InsertionSort,13,1969.008000,22.62,0.00
big_datasets_unique_2_100000.txt,InsertionSort,14,1792.866100,24.18,0.00
big_datasets_unique_2_100000.txt,InsertionSort,15,1924.194000,22.94,0.00
big_datasets_unique_2_100000.txt,InsertionSort,16,1948.225400,23.46,0.00
big_datasets_unique_2_100000.txt,InsertionSort,17,1790.201200,24.66,0.00
big_datasets_unique_2_100000.txt,InsertionSort,18,2070.682300,22.26,0.00
big_datasets_unique_2_100000.txt,InsertionSort,19,1794.234800,24.38,0.00
big_datasets_unique_2_100000.txt,InsertionSort,20,1909.503600,23.73,0.00
big_datasets_unique_2_100000.txt,InsertionSort,21,1964.128100,23.27,0.00
big_datasets_unique_2_100000.txt,InsertionSort,22,1874.525700,23.96,0.00
big_datasets_unique_2_100000.txt,InsertionSort,23,2132.408200,22.71,0.00
big_datasets_unique_2_100000.txt,InsertionSort,24,1815.407100,23.88,0.00
big_datasets_unique_2_100000.txt,InsertionSort,25,1848.480500,24.72,0.00
big_datasets_unique_2_100000.txt,InsertionSort,26,2048.513200,22.69,0.00
big_datasets_unique_2_100000.txt,InsertionSort,27,1787.707100,24.04,0.00
big_datasets_unique_2_100000.txt,InsertionSort,28,1933.822600,22.83,0.00
big_datasets_unique_2_100000.txt,InsertionSort,29,1951.311900,23.22,0.00
big_datasets_unique_2_100000.txt,InsertionSort,30,1788.040800,24.91,0.00
