Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
big_datasets_unique_1_100000.txt,IterativeQuickSort,1,18.335600,0.00,2.47
big_datasets_unique_1_100000.txt,IterativeQuickSort,2,18.280600,21.37,2.00
big_datasets_unique_1_100000.txt,IterativeQuickSort,3,18.294900,21.35,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,4,18.577300,42.05,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,5,19.959600,19.57,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,6,18.607300,20.99,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,7,18.482400,21.13,2.50
big_datasets_unique_1_100000.txt,IterativeQuickSort,8,18.168200,21.50,2.00
big_datasets_unique_1_100000.txt,IterativeQuickSort,9,18.143300,21.53,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,10,18.614100,20.99,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,11,21.615700,36.14,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,12,18.563200,21.04,1.62
big_datasets_unique_1_100000.txt,IterativeQuickSort,13,18.182500,21.48,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,14,18.339100,21.30,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,15,18.715400,41.74,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,16,18.787000,20.79,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,17,18.559700,21.05,2.50
big_datasets_unique_1_100000.txt,IterativeQuickSort,18,18.852800,20.72,2.00
big_datasets_unique_1_100000.txt,IterativeQuickSort,19,18.696000,41.79,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,20,18.216700,21.44,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,21,26.015500,15.02,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,22,21.321700,18.32,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,23,19.770800,19.76,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,24,21.027900,18.58,2.00
big_datasets_unique_1_100000.txt,IterativeQuickSort,25,22.039200,17.72,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,26,18.860500,20.71,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,27,26.744500,58.42,0.00
big_datasets_unique_1_100000.txt,IterativeQuickSort,28,18.932100,20.63,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,29,18.325200,42.63,2.12
big_datasets_unique_1_100000.txt,IterativeQuickSort,30,18.146100,21.53,2.00
big_datasets_unique_2_100000.txt,IterativeQuickSort,1,19.732800,39.59,2.36
big_datasets_unique_2_100000.txt,IterativeQuickSort,2,25.744600,15.17,2.50
big_datasets_unique_2_100000.txt,IterativeQuickSort,3,18.453700,42.34,2.00
big_datasets_unique_2_100000.txt,IterativeQuickSort,4,18.530000,21.08,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,5,18.365400,21.27,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,6,18.757600,20.82,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,7,18.130700,43.09,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,8,18.313500,21.33,2.50
big_datasets_unique_2_100000.txt,IterativeQuickSort,9,20.896900,0.00,2.00
big_datasets_unique_2_100000.txt,IterativeQuickSort,10,18.753100,20.83,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,11,18.167200,43.00,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,12,19.859200,19.67,0.00
big_datasets_unique_2_100000.txt,IterativeQuickSort,13,18.144600,21.53,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,14,18.135800,21.54,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,15,18.486400,42.26,2.00
big_datasets_unique_2_100000.txt,IterativeQuickSort,16,18.019600,21.68,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,17,18.017100,21.68,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,18,22.573200,34.61,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,19,27.847500,14.03,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,20,24.894800,15.69,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,21,18.891800,20.68,2.00
big_datasets_unique_2_100000.txt,IterativeQuickSort,22,22.662500,34.47,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,23,23.212500,16.83,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,24,18.704900,41.77,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,25,22.851600,17.09,0.00
big_datasets_unique_2_100000.txt,IterativeQuickSort,26,19.554800,39.95,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,27,18.589600,21.01,2.00
big_datasets_unique_2_100000.txt,IterativeQuickSort,28,17.959100,21.75,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,29,20.714100,18.86,2.12
big_datasets_unique_2_100000.txt,IterativeQuickSort,30,18.401500,42.46,2.12
