Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
big_datasets_unique_1_100000.txt,QuickSort,1,20.915600,18.68,0.00
big_datasets_unique_1_100000.txt,QuickSort,2,24.178900,16.16,0.00
big_datasets_unique_1_100000.txt,QuickSort,3,22.225900,17.58,0.00
big_datasets_unique_1_100000.txt,QuickSort,4,26.024900,30.02,0.00
big_datasets_unique_1_100000.txt,QuickSort,5,21.046000,0.00,0.00
big_datasets_unique_1_100000.txt,QuickSort,6,36.248100,10.78,0.00
big_datasets_unique_1_100000.txt,QuickSort,7,29.033900,26.91,0.00
big_datasets_unique_1_100000.txt,QuickSort,8,22.589900,34.58,0.00
big_datasets_unique_1_100000.txt,QuickSort,9,22.560400,17.31,0.00
big_datasets_unique_1_100000.txt,QuickSort,10,16.263800,24.02,0.00
big_datasets_unique_1_100000.txt,QuickSort,11,16.558400,23.59,0.00
big_datasets_unique_1_100000.txt,QuickSort,12,16.668600,23.43,0.00
big_datasets_unique_1_100000.txt,QuickSort,13,16.648500,46.93,0.00
big_datasets_unique_1_100000.txt,QuickSort,14,16.503400,23.67,0.00
big_datasets_unique_1_100000.txt,QuickSort,15,16.921300,23.08,0.00
big_datasets_unique_1_100000.txt,QuickSort,16,16.715500,23.37,0.00
big_datasets_unique_1_100000.txt,QuickSort,17,16.420000,23.79,0.00
big_datasets_unique_1_100000.txt,QuickSort,18,17.189200,22.73,0.00
big_datasets_unique_1_100000.txt,QuickSort,19,16.850200,23.18,0.00
big_datasets_unique_1_100000.txt,QuickSort,20,16.539100,23.62,0.00
big_datasets_unique_1_100000.txt,QuickSort,21,16.955800,23.04,0.00
big_datasets_unique_1_100000.txt,QuickSort,22,16.787000,23.27,0.00
big_datasets_unique_1_100000.txt,QuickSort,23,16.735600,23.34,0.00
big_datasets_unique_1_100000.txt,QuickSort,24,17.230600,22.67,0.00
big_datasets_unique_1_100000.txt,QuickSort,25,17.220100,22.68,0.00
big_datasets_unique_1_100000.txt,QuickSort,26,16.756100,23.31,0.00
big_datasets_unique_1_100000.txt,QuickSort,27,17.519300,22.30,0.00
big_datasets_unique_1_100000.txt,QuickSort,28,17.233300,22.67,0.00
big_datasets_unique_1_100000.txt,QuickSort,29,16.843400,23.19,0.00
big_datasets_unique_1_100000.txt,QuickSort,30,16.536600,23.62,0.00
big_datasets_unique_2_100000.txt,QuickSort,1,16.752700,23.32,0.00
big_datasets_unique_2_100000.txt,QuickSort,2,17.668200,22.11,0.00
big_datasets_unique_2_100000.txt,QuickSort,3,17.563100,22.24,0.00
big_datasets_unique_2_100000.txt,QuickSort,4,17.565800,22.24,0.00
big_datasets_unique_2_100000.txt,QuickSort,5,16.474600,23.71,0.00
big_datasets_unique_2_100000.txt,QuickSort,6,23.515900,33.22,0.00
big_datasets_unique_2_100000.txt,QuickSort,7,16.644700,23.47,0.00
big_datasets_unique_2_100000.txt,QuickSort,8,16.230500,24.07,0.00
big_datasets_unique_2_100000.txt,QuickSort,9,16.802000,23.25,0.00
big_datasets_unique_2_100000.txt,QuickSort,10,17.053200,22.91,0.00
big_datasets_unique_2_100000.txt,QuickSort,11,16.585700,47.10,0.00
big_datasets_unique_2_100000.txt,QuickSort,12,17.032000,22.93,0.00
big_datasets_unique_2_100000.txt,QuickSort,13,19.488800,20.04,0.00
big_datasets_unique_2_100000.txt,QuickSort,14,22.330300,0.00,0.00
big_datasets_unique_2_100000.txt,QuickSort,15,18.771000,20.81,0.00
big_datasets_unique_2_100000.txt,QuickSort,16,19.772600,19.76,0.00
big_datasets_unique_2_100000.txt,QuickSort,17,19.041300,20.51,0.00
big_datasets_unique_2_100000.txt,QuickSort,18,18.492800,21.12,0.00
big_datasets_unique_2_100000.txt,QuickSort,19,22.857700,17.09,0.00
big_datasets_unique_2_100000.txt,QuickSort,20,22.841100,34.20,0.00
big_datasets_unique_2_100000.txt,QuickSort,21,22.163900,17.62,0.00
big_datasets_unique_2_100000.txt,QuickSort,22,21.657400,18.04,0.00
big_datasets_unique_2_100000.txt,QuickSort,23,20.942500,18.65,0.00
big_datasets_unique_2_100000.txt,QuickSort,24,20.670700,37.80,0.00
big_datasets_unique_2_100000.txt,QuickSort,25,19.260500,20.28,0.00
big_datasets_unique_2_100000.txt,QuickSort,26,24.086000,16.22,0.00
big_datasets_unique_2_100000.txt,QuickSort,27,22.895500,17.06,0.00
big_datasets_unique_2_100000.txt,QuickSort,28,36.462600,0.00,0.00
big_datasets_unique_2_100000.txt,QuickSort,29,29.326600,26.64,0.00
big_datasets_unique_2_100000.txt,QuickSort,30,29.673300,0.00,0.00
