dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,0.68,0.00,0.00
duplicates_1000,2,1000,0.73,0.00,0.00
duplicates_1000,3,1000,0.64,0.00,0.00
duplicates_1000,4,1000,0.87,0.00,0.00
duplicates_1000,5,1000,0.83,0.00,0.00
duplicates_1000,6,1000,0.69,0.00,0.00
duplicates_1000,7,1000,1.40,0.00,0.00
duplicates_1000,8,1000,1.67,0.00,0.00
duplicates_1000,9,1000,0.78,0.00,0.00
duplicates_1000,10,1000,0.77,0.00,0.00
duplicates_1000,11,1000,0.67,0.00,0.00
duplicates_1000,12,1000,0.82,0.00,0.00
duplicates_1000,13,1000,0.75,0.00,0.00
duplicates_1000,14,1000,0.84,0.00,0.00
duplicates_1000,15,1000,0.90,0.00,0.00
duplicates_1000,16,1000,0.80,0.00,0.00
duplicates_1000,17,1000,1.00,0.00,0.00
duplicates_1000,18,1000,0.93,0.00,0.00
duplicates_1000,19,1000,1.09,0.00,0.00
duplicates_1000,20,1000,0.69,0.00,0.00
duplicates_1000,21,1000,0.59,0.00,0.00
duplicates_1000,22,1000,1.13,0.00,0.00
duplicates_1000,23,1000,0.78,0.00,0.00
duplicates_1000,24,1000,1.12,0.00,0.00
duplicates_1000,25,1000,0.84,0.00,0.00
duplicates_1000,26,1000,0.72,0.00,0.00
duplicates_1000,27,1000,0.77,0.00,0.00
duplicates_1000,28,1000,0.87,0.00,0.00
duplicates_1000,29,1000,0.69,0.00,0.00
duplicates_1000,30,1000,0.77,0.00,0.00
duplicates_5000,1,5000,12.71,15.63,0.00
duplicates_5000,2,5000,12.70,15.63,0.00
duplicates_5000,3,5000,14.00,0.00,0.00
duplicates_5000,4,5000,12.95,0.00,0.00
duplicates_5000,5,5000,12.79,0.00,0.00
duplicates_5000,6,5000,12.37,15.63,0.00
duplicates_5000,7,5000,13.63,15.63,0.00
duplicates_5000,8,5000,13.10,15.63,0.00
duplicates_5000,9,5000,12.78,15.63,0.00
duplicates_5000,10,5000,13.12,15.63,0.00
duplicates_5000,11,5000,12.40,15.63,0.00
duplicates_5000,12,5000,13.01,15.63,0.00
duplicates_5000,13,5000,14.09,15.63,0.00
duplicates_5000,14,5000,13.62,15.63,0.00
duplicates_5000,15,5000,13.84,0.00,0.00
duplicates_5000,16,5000,12.54,15.63,0.00
duplicates_5000,17,5000,12.75,15.63,0.00
duplicates_5000,18,5000,13.85,15.63,0.00
duplicates_5000,19,5000,14.26,15.63,0.00
duplicates_5000,20,5000,15.80,15.63,0.00
duplicates_5000,21,5000,12.66,0.00,0.00
duplicates_5000,22,5000,12.98,0.00,0.00
duplicates_5000,23,5000,12.51,15.63,0.00
duplicates_5000,24,5000,12.54,15.63,0.00
duplicates_5000,25,5000,12.60,15.63,0.00
duplicates_5000,26,5000,12.48,15.63,0.00
duplicates_5000,27,5000,16.12,15.63,0.00
duplicates_5000,28,5000,12.56,0.00,0.00
duplicates_5000,29,5000,12.67,0.00,0.00
duplicates_5000,30,5000,13.58,15.63,0.00
duplicates_10000,1,10000,80.60,78.13,0.00
duplicates_10000,2,10000,92.05,93.75,0.00
duplicates_10000,3,10000,137.17,78.13,0.00
duplicates_10000,4,10000,88.61,93.75,0.00
duplicates_10000,5,10000,90.08,93.75,0.00
duplicates_10000,6,10000,94.93,78.13,0.00
duplicates_10000,7,10000,83.01,93.75,0.00
duplicates_10000,8,10000,88.16,78.13,0.00
