dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,0.82,0.00,0.00
duplicates_1000,2,1000,0.71,0.00,0.00
duplicates_1000,3,1000,0.69,0.00,0.00
duplicates_1000,4,1000,0.76,0.00,0.00
duplicates_1000,5,1000,0.82,0.00,0.00
duplicates_1000,6,1000,1.02,0.00,0.00
duplicates_1000,7,1000,0.83,0.00,0.00
duplicates_1000,8,1000,0.59,0.00,0.00
duplicates_1000,9,1000,1.65,0.00,0.00
duplicates_1000,10,1000,1.01,0.00,0.00
duplicates_1000,11,1000,0.95,0.00,0.00
duplicates_1000,12,1000,1.59,0.00,0.00
duplicates_1000,13,1000,0.76,0.00,0.00
duplicates_1000,14,1000,0.88,0.00,0.00
duplicates_1000,15,1000,1.41,0.00,0.00
duplicates_1000,16,1000,0.71,0.00,0.00
duplicates_1000,17,1000,0.77,0.00,0.00
duplicates_1000,18,1000,0.67,0.00,0.00
duplicates_1000,19,1000,1.07,0.00,0.00
duplicates_1000,20,1000,0.68,0.00,0.00
duplicates_1000,21,1000,0.65,0.00,0.00
duplicates_1000,22,1000,0.66,0.00,0.00
duplicates_1000,23,1000,0.60,0.00,0.00
duplicates_1000,24,1000,0.69,0.00,0.00
duplicates_1000,25,1000,0.73,0.00,0.00
duplicates_1000,26,1000,0.67,0.00,0.00
duplicates_1000,27,1000,0.79,0.00,0.00
duplicates_1000,28,1000,0.68,0.00,0.00
duplicates_1000,29,1000,0.66,0.00,0.00
duplicates_1000,30,1000,0.69,0.00,0.00
duplicates_5000,1,5000,12.25,15.63,0.00
duplicates_5000,2,5000,13.82,15.63,0.00
duplicates_5000,3,5000,13.47,15.63,0.00
duplicates_5000,4,5000,13.21,0.00,0.00
duplicates_5000,5,5000,12.31,0.00,0.00
duplicates_5000,6,5000,12.00,15.63,0.00
duplicates_5000,7,5000,15.66,15.63,0.00
duplicates_5000,8,5000,12.81,15.63,0.00
duplicates_5000,9,5000,12.41,15.63,0.00
duplicates_5000,10,5000,14.32,15.63,0.00
duplicates_5000,11,5000,12.78,15.63,0.00
duplicates_5000,12,5000,13.82,15.63,0.00
duplicates_5000,13,5000,12.53,15.63,0.00
duplicates_5000,14,5000,13.58,15.63,0.00
duplicates_5000,15,5000,13.83,0.00,0.00
duplicates_5000,16,5000,12.24,0.00,0.00
duplicates_5000,17,5000,12.92,15.63,0.00
duplicates_5000,18,5000,13.07,15.63,0.00
duplicates_5000,19,5000,25.52,0.00,0.00
duplicates_5000,20,5000,13.65,15.63,0.00
duplicates_5000,21,5000,13.25,15.63,0.00
duplicates_5000,22,5000,12.55,0.00,0.00
duplicates_5000,23,5000,12.27,15.63,0.00
duplicates_5000,24,5000,12.34,15.63,0.00
duplicates_5000,25,5000,13.34,15.63,0.00
duplicates_5000,26,5000,12.28,15.63,0.00
duplicates_5000,27,5000,12.98,15.63,0.00
duplicates_5000,28,5000,12.33,0.00,0.00
duplicates_5000,29,5000,12.37,15.63,0.00
duplicates_5000,30,5000,12.42,15.63,0.00
duplicates_10000,1,10000,74.80,62.50,0.00
duplicates_10000,2,10000,79.46,93.75,0.00
duplicates_10000,3,10000,75.18,62.50,0.00
duplicates_10000,4,10000,83.88,78.13,0.00
duplicates_10000,5,10000,69.02,78.13,0.00
duplicates_10000,6,10000,84.85,78.13,0.00
duplicates_10000,7,10000,81.18,93.75,0.00
duplicates_10000,8,10000,75.56,78.13,0.00
duplicates_10000,9,10000,82.51,78.13,0.00
duplicates_10000,10,10000,76.85,78.13,0.00
duplicates_10000,11,10000,72.03,62.50,0.00
duplicates_10000,12,10000,80.01,78.13,0.00
duplicates_10000,13,10000,76.35,78.13,0.00
duplicates_10000,14,10000,71.84,62.50,0.00
duplicates_10000,15,10000,68.94,62.50,0.00
duplicates_10000,16,10000,80.87,78.13,0.00
duplicates_10000,17,10000,71.41,78.13,0.00
duplicates_10000,18,10000,76.12,62.50,0.00
duplicates_10000,19,10000,86.72,78.13,0.00
duplicates_10000,20,10000,88.00,78.13,0.00
duplicates_10000,21,10000,83.66,78.13,0.00
duplicates_10000,22,10000,85.30,93.75,0.00
duplicates_10000,23,10000,77.76,78.13,0.00
duplicates_10000,24,10000,68.54,78.13,0.00
duplicates_10000,25,10000,79.87,93.75,0.00
duplicates_10000,26,10000,77.19,78.13,0.00
duplicates_10000,27,10000,71.42,78.13,0.00
duplicates_10000,28,10000,78.40,78.13,0.00
duplicates_10000,29,10000,82.19,78.13,0.00
duplicates_10000,30,10000,71.02,78.13,0.00
duplicates_50000,1,50000,3177.87,3140.63,0.00
duplicates_50000,2,50000,3177.37,3156.25,0.00
duplicates_50000,3,50000,3213.78,3187.50,0.00
duplicates_50000,4,50000,3243.61,3218.75,0.00
duplicates_50000,5,50000,3261.20,3218.75,0.00
duplicates_50000,6,50000,3193.11,3187.50,0.00
duplicates_50000,7,50000,3144.81,3125.00,0.00
duplicates_50000,8,50000,3111.92,3109.38,0.00
duplicates_50000,9,50000,3197.40,3078.13,0.00
duplicates_50000,10,50000,3226.03,3140.63,0.00
duplicates_50000,11,50000,3164.50,3140.63,0.00
duplicates_50000,12,50000,3176.56,3156.25,0.00
duplicates_50000,13,50000,3201.58,3171.88,0.00
duplicates_50000,14,50000,3215.33,3203.13,0.00
duplicates_50000,15,50000,3209.85,3171.88,0.00
duplicates_50000,16,50000,3181.68,3109.38,0.00
duplicates_50000,17,50000,3183.52,3156.25,0.00
duplicates_50000,18,50000,3227.67,3218.75,0.00
duplicates_50000,19,50000,3191.50,3203.13,0.00
duplicates_50000,20,50000,3206.40,3203.13,0.00
duplicates_50000,21,50000,3185.96,3156.25,0.00
duplicates_50000,22,50000,3202.08,3140.63,0.00
duplicates_50000,23,50000,3226.03,3203.13,0.00
duplicates_50000,24,50000,3229.41,3187.50,0.00
duplicates_50000,25,50000,3161.72,3109.38,0.00
duplicates_50000,26,50000,3213.06,3187.50,0.00
duplicates_50000,27,50000,3142.55,3125.00,0.00
duplicates_50000,28,50000,3284.33,3218.75,0.00
duplicates_50000,29,50000,3240.86,3187.50,0.00
duplicates_50000,30,50000,3258.64,3171.88,0.00
