dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,0.08,0.00,0.00
duplicates_1000,2,1000,0.07,0.00,0.00
duplicates_1000,3,1000,0.09,0.00,0.00
duplicates_1000,4,1000,0.08,0.00,0.00
duplicates_1000,5,1000,0.07,0.00,0.00
duplicates_1000,6,1000,0.06,0.00,0.00
duplicates_1000,7,1000,0.07,0.00,0.00
duplicates_1000,8,1000,0.08,0.00,0.00
duplicates_1000,9,1000,0.16,0.00,0.00
duplicates_1000,10,1000,0.07,0.00,0.00
duplicates_1000,11,1000,0.17,0.00,0.00
duplicates_1000,12,1000,0.07,0.00,0.00
duplicates_1000,13,1000,0.07,0.00,0.00
duplicates_1000,14,1000,0.07,0.00,0.00
duplicates_1000,15,1000,0.07,0.00,0.00
duplicates_1000,16,1000,0.07,0.00,0.00
duplicates_1000,17,1000,0.07,0.00,0.00
duplicates_1000,18,1000,0.07,0.00,0.00
duplicates_1000,19,1000,0.08,0.00,0.00
duplicates_1000,20,1000,0.08,0.00,0.00
duplicates_1000,21,1000,0.13,0.00,0.00
duplicates_1000,22,1000,0.07,0.00,0.00
duplicates_1000,23,1000,0.08,0.00,0.00
duplicates_1000,24,1000,0.08,0.00,0.00
duplicates_1000,25,1000,0.06,0.00,0.00
duplicates_1000,26,1000,0.08,0.00,0.00
duplicates_1000,27,1000,0.07,0.00,0.00
duplicates_1000,28,1000,0.06,0.00,0.00
duplicates_1000,29,1000,0.07,0.00,0.00
duplicates_1000,30,1000,0.07,0.00,0.00
duplicates_5000,1,5000,0.37,0.00,0.00
duplicates_5000,2,5000,0.52,0.00,0.00
duplicates_5000,3,5000,0.37,0.00,0.00
duplicates_5000,4,5000,0.39,0.00,0.00
duplicates_5000,5,5000,0.92,0.00,0.00
duplicates_5000,6,5000,0.34,0.00,0.00
duplicates_5000,7,5000,0.42,0.00,0.00
duplicates_5000,8,5000,0.36,0.00,0.00
duplicates_5000,9,5000,0.39,0.00,0.00
duplicates_5000,10,5000,0.37,0.00,0.00
duplicates_5000,11,5000,0.38,0.00,0.00
duplicates_5000,12,5000,0.42,0.00,0.00
duplicates_5000,13,5000,0.35,0.00,0.00
duplicates_5000,14,5000,0.40,0.00,0.00
duplicates_5000,15,5000,0.40,0.00,0.00
duplicates_5000,16,5000,0.43,0.00,0.00
duplicates_5000,17,5000,0.36,0.00,0.00
duplicates_5000,18,5000,0.38,0.00,0.00
duplicates_5000,19,5000,0.34,0.00,0.00
duplicates_5000,20,5000,0.36,0.00,0.00
duplicates_5000,21,5000,0.42,0.00,0.00
duplicates_5000,22,5000,0.44,0.00,0.00
duplicates_5000,23,5000,0.41,0.00,0.00
duplicates_5000,24,5000,0.67,0.00,0.00
duplicates_5000,25,5000,0.36,0.00,0.00
duplicates_5000,26,5000,0.40,0.00,0.00
duplicates_5000,27,5000,0.37,0.00,0.00
duplicates_5000,28,5000,0.52,0.00,0.00
duplicates_5000,29,5000,0.37,0.00,0.00
duplicates_5000,30,5000,0.43,0.00,0.00
duplicates_10000,1,10000,0.93,0.00,0.00
duplicates_10000,2,10000,0.82,0.00,0.00
duplicates_10000,3,10000,0.79,0.00,0.00
duplicates_10000,4,10000,0.81,0.00,0.00
duplicates_10000,5,10000,0.88,0.00,0.00
duplicates_10000,6,10000,0.70,0.00,0.00
duplicates_10000,7,10000,0.77,0.00,0.00
duplicates_10000,8,10000,0.88,0.00,0.00
duplicates_10000,9,10000,0.85,0.00,0.00
duplicates_10000,10,10000,0.88,0.00,0.00
duplicates_10000,11,10000,1.47,0.00,0.00
duplicates_10000,12,10000,0.81,0.00,0.00
duplicates_10000,13,10000,0.89,0.00,0.00
duplicates_10000,14,10000,0.90,0.00,0.00
duplicates_10000,15,10000,0.95,0.00,0.00
duplicates_10000,16,10000,1.10,0.00,0.00
duplicates_10000,17,10000,0.86,0.00,0.00
duplicates_10000,18,10000,0.97,0.00,0.00
duplicates_10000,19,10000,0.71,0.00,0.00
duplicates_10000,20,10000,0.95,0.00,0.00
duplicates_10000,21,10000,0.85,0.00,0.00
duplicates_10000,22,10000,2.18,0.00,0.00
duplicates_10000,23,10000,0.85,0.00,0.00
duplicates_10000,24,10000,0.85,0.00,0.00
duplicates_10000,25,10000,0.75,0.00,0.00
duplicates_10000,26,10000,0.82,0.00,0.00
duplicates_10000,27,10000,0.85,0.00,0.00
duplicates_10000,28,10000,0.86,0.00,0.00
duplicates_10000,29,10000,0.77,0.00,0.00
duplicates_10000,30,10000,0.92,0.00,0.00
duplicates_50000,1,50000,3.88,0.00,0.00
duplicates_50000,2,50000,5.13,0.00,0.00
duplicates_50000,3,50000,4.35,0.00,0.00
duplicates_50000,4,50000,3.70,15.63,0.00
duplicates_50000,5,50000,4.79,0.00,0.00
duplicates_50000,6,50000,4.86,0.00,0.00
duplicates_50000,7,50000,3.58,15.63,0.00
duplicates_50000,8,50000,3.95,0.00,0.00
duplicates_50000,9,50000,3.99,0.00,0.00
duplicates_50000,10,50000,4.71,0.00,0.00
duplicates_50000,11,50000,3.67,15.63,0.00
duplicates_50000,12,50000,4.07,0.00,0.00
duplicates_50000,13,50000,3.66,0.00,0.00
duplicates_50000,14,50000,4.39,0.00,0.00
duplicates_50000,15,50000,4.21,0.00,0.00
duplicates_50000,16,50000,4.53,0.00,0.00
duplicates_50000,17,50000,4.95,0.00,0.00
duplicates_50000,18,50000,3.61,0.00,0.00
duplicates_50000,19,50000,4.17,0.00,0.00
duplicates_50000,20,50000,3.99,15.63,0.00
duplicates_50000,21,50000,14.64,0.00,0.00
duplicates_50000,22,50000,4.59,0.00,0.00
duplicates_50000,23,50000,4.36,15.63,0.00
duplicates_50000,24,50000,4.33,0.00,0.00
duplicates_50000,25,50000,3.81,0.00,0.00
duplicates_50000,26,50000,3.63,0.00,0.00
duplicates_50000,27,50000,4.39,15.63,0.00
duplicates_50000,28,50000,4.26,0.00,0.00
duplicates_50000,29,50000,3.79,0.00,0.00
duplicates_50000,30,50000,3.82,0.00,0.00
