dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,0.34,0.00,0.00
duplicates_1000,2,1000,0.35,0.00,0.00
duplicates_1000,3,1000,0.52,0.00,0.00
duplicates_1000,4,1000,0.36,0.00,0.00
duplicates_1000,5,1000,0.39,0.00,0.00
duplicates_1000,6,1000,0.34,0.00,0.00
duplicates_1000,7,1000,0.33,15.63,0.00
duplicates_1000,8,1000,0.46,0.00,0.00
duplicates_1000,9,1000,0.41,0.00,0.00
duplicates_1000,10,1000,0.32,0.00,0.00
duplicates_1000,11,1000,0.34,0.00,0.00
duplicates_1000,12,1000,0.39,0.00,0.00
duplicates_1000,13,1000,0.34,0.00,0.00
duplicates_1000,14,1000,0.35,0.00,0.00
duplicates_1000,15,1000,0.31,0.00,0.00
duplicates_1000,16,1000,0.50,0.00,0.00
duplicates_1000,17,1000,0.54,0.00,0.00
duplicates_1000,18,1000,0.53,0.00,0.00
duplicates_1000,19,1000,0.55,0.00,0.00
duplicates_1000,20,1000,0.52,0.00,0.00
duplicates_1000,21,1000,0.34,0.00,0.00
duplicates_1000,22,1000,0.51,0.00,0.00
duplicates_1000,23,1000,0.30,0.00,0.00
duplicates_1000,24,1000,0.32,0.00,0.00
duplicates_1000,25,1000,0.48,0.00,0.00
duplicates_1000,26,1000,0.30,0.00,0.00
duplicates_1000,27,1000,0.30,0.00,0.00
duplicates_1000,28,1000,0.27,0.00,0.00
duplicates_1000,29,1000,0.36,0.00,0.00
duplicates_1000,30,1000,0.29,0.00,0.00
duplicates_5000,1,5000,6.45,0.00,0.00
duplicates_5000,2,5000,12.27,0.00,0.00
duplicates_5000,3,5000,6.65,0.00,0.00
duplicates_5000,4,5000,6.39,0.00,0.00
duplicates_5000,5,5000,6.40,0.00,0.00
duplicates_5000,6,5000,6.42,0.00,0.00
duplicates_5000,7,5000,6.76,0.00,0.00
duplicates_5000,8,5000,7.07,15.63,0.00
duplicates_5000,9,5000,7.79,15.63,0.00
duplicates_5000,10,5000,11.39,15.63,0.00
duplicates_5000,11,5000,6.41,15.63,0.00
duplicates_5000,12,5000,12.25,15.63,0.00
duplicates_5000,13,5000,7.38,0.00,0.00
duplicates_5000,14,5000,6.64,0.00,0.00
duplicates_5000,15,5000,10.79,0.00,0.00
duplicates_5000,16,5000,6.42,0.00,0.00
duplicates_5000,17,5000,6.27,0.00,0.00
duplicates_5000,18,5000,6.99,0.00,0.00
duplicates_5000,19,5000,6.59,0.00,0.00
duplicates_5000,20,5000,6.15,0.00,0.00
duplicates_5000,21,5000,11.03,0.00,0.00
duplicates_5000,22,5000,10.47,0.00,0.00
duplicates_5000,23,5000,5.95,0.00,0.00
duplicates_5000,24,5000,11.67,0.00,0.00
duplicates_5000,25,5000,6.55,0.00,0.00
duplicates_5000,26,5000,6.07,0.00,0.00
duplicates_5000,27,5000,7.67,15.63,0.00
duplicates_5000,28,5000,11.90,15.63,0.00
duplicates_5000,29,5000,6.03,15.63,0.00
duplicates_5000,30,5000,6.52,15.63,0.00
duplicates_10000,1,10000,25.87,31.25,0.00
duplicates_10000,2,10000,25.13,31.25,0.00
duplicates_10000,3,10000,30.80,31.25,0.00
duplicates_10000,4,10000,39.00,31.25,0.00
duplicates_10000,5,10000,26.16,31.25,0.00
