dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,0.47,0.00,0.00
duplicates_1000,2,1000,0.50,0.00,0.00
duplicates_1000,3,1000,0.35,0.00,0.00
duplicates_1000,4,1000,0.50,0.00,0.00
duplicates_1000,5,1000,0.43,0.00,0.00
duplicates_1000,6,1000,0.50,0.00,0.00
duplicates_1000,7,1000,0.34,0.00,0.00
duplicates_1000,8,1000,0.38,0.00,0.00
duplicates_1000,9,1000,0.31,0.00,0.00
duplicates_1000,10,1000,0.51,0.00,0.00
duplicates_1000,11,1000,0.60,0.00,0.00
duplicates_1000,12,1000,0.61,0.00,0.00
duplicates_1000,13,1000,0.36,0.00,0.00
duplicates_1000,14,1000,0.34,0.00,0.00
duplicates_1000,15,1000,0.32,0.00,0.00
duplicates_1000,16,1000,0.35,0.00,0.00
duplicates_1000,17,1000,0.34,0.00,0.00
duplicates_1000,18,1000,0.52,0.00,0.00
duplicates_1000,19,1000,0.34,0.00,0.00
duplicates_1000,20,1000,0.50,0.00,0.00
duplicates_1000,21,1000,0.36,0.00,0.00
duplicates_1000,22,1000,0.38,0.00,0.00
duplicates_1000,23,1000,0.31,0.00,0.00
duplicates_1000,24,1000,0.31,0.00,0.00
duplicates_1000,25,1000,0.35,0.00,0.00
duplicates_1000,26,1000,0.35,0.00,0.00
duplicates_1000,27,1000,0.44,0.00,0.00
duplicates_1000,28,1000,0.51,0.00,0.00
duplicates_1000,29,1000,0.36,0.00,0.00
duplicates_1000,30,1000,0.34,0.00,0.00
duplicates_5000,1,5000,6.73,0.00,0.00
duplicates_5000,2,5000,6.46,0.00,0.00
duplicates_5000,3,5000,6.61,0.00,0.00
duplicates_5000,4,5000,6.45,0.00,0.00
duplicates_5000,5,5000,6.27,0.00,0.00
duplicates_5000,6,5000,6.37,0.00,0.00
duplicates_5000,7,5000,9.59,0.00,0.00
duplicates_5000,8,5000,6.76,15.63,0.00
duplicates_5000,9,5000,6.58,15.63,0.00
duplicates_5000,10,5000,7.19,15.63,0.00
duplicates_5000,11,5000,13.59,15.63,0.00
duplicates_5000,12,5000,6.80,15.63,0.00
duplicates_5000,13,5000,7.09,0.00,0.00
duplicates_5000,14,5000,7.07,0.00,0.00
duplicates_5000,15,5000,7.58,0.00,0.00
duplicates_5000,16,5000,6.83,0.00,0.00
duplicates_5000,17,5000,12.34,15.63,0.00
duplicates_5000,18,5000,7.09,0.00,0.00
duplicates_5000,19,5000,6.34,0.00,0.00
duplicates_5000,20,5000,6.11,0.00,0.00
duplicates_5000,21,5000,11.83,15.63,0.00
duplicates_5000,22,5000,5.62,0.00,0.00
duplicates_5000,23,5000,7.14,0.00,0.00
duplicates_5000,24,5000,6.48,0.00,0.00
duplicates_5000,25,5000,6.22,0.00,0.00
duplicates_5000,26,5000,6.42,0.00,0.00
duplicates_5000,27,5000,10.71,15.63,0.00
duplicates_5000,28,5000,7.02,15.63,0.00
duplicates_5000,29,5000,6.68,15.63,0.00
