Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
duplicates_1000.csv,InsertionSort,1,10.725800,109.26,0.00
duplicates_1000.csv,InsertionSort,2,1.192200,0.00,0.00
duplicates_1000.csv,InsertionSort,3,3.465000,225.47,0.00
duplicates_1000.csv,InsertionSort,4,7.958500,0.00,0.00
duplicates_1000.csv,InsertionSort,5,1.034000,0.00,0.00
duplicates_1000.csv,InsertionSort,6,1.091800,715.56,0.00
duplicates_1000.csv,InsertionSort,7,0.921400,0.00,0.00
duplicates_1000.csv,InsertionSort,8,0.251700,0.00,0.00
duplicates_1000.csv,InsertionSort,9,0.302300,0.00,0.00
duplicates_1000.csv,InsertionSort,10,0.227500,0.00,0.00
duplicates_1000.csv,InsertionSort,11,0.243500,0.00,0.00
duplicates_1000.csv,InsertionSort,12,0.247800,0.00,0.00
duplicates_1000.csv,InsertionSort,13,0.266800,0.00,0.00
duplicates_1000.csv,InsertionSort,14,0.239800,0.00,0.00
duplicates_1000.csv,InsertionSort,15,0.254000,0.00,0.00
duplicates_1000.csv,InsertionSort,16,0.229200,0.00,0.00
duplicates_1000.csv,InsertionSort,17,0.292800,0.00,0.00
duplicates_1000.csv,InsertionSort,18,0.249000,0.00,0.00
duplicates_1000.csv,InsertionSort,19,0.246000,0.00,0.00
duplicates_1000.csv,InsertionSort,20,0.242000,1614.15,0.00
duplicates_1000.csv,InsertionSort,21,0.228400,0.00,0.00
duplicates_1000.csv,InsertionSort,22,0.241200,0.00,0.00
duplicates_1000.csv,InsertionSort,23,0.236600,0.00,0.00
duplicates_1000.csv,InsertionSort,24,0.246500,0.00,0.00
duplicates_1000.csv,InsertionSort,25,0.233900,0.00,0.00
duplicates_1000.csv,InsertionSort,26,0.241400,0.00,0.00
duplicates_1000.csv,InsertionSort,27,0.227400,0.00,0.00
duplicates_1000.csv,InsertionSort,28,0.249400,0.00,0.00
duplicates_1000.csv,InsertionSort,29,0.227500,0.00,0.00
duplicates_1000.csv,InsertionSort,30,0.237200,0.00,0.00
duplicates_5000.csv,InsertionSort,1,6.651600,0.00,0.00
duplicates_5000.csv,InsertionSort,2,6.021700,64.87,0.00
duplicates_5000.csv,InsertionSort,3,6.185300,0.00,0.00
duplicates_5000.csv,InsertionSort,4,4.844600,0.00,0.00
duplicates_5000.csv,InsertionSort,5,4.384000,0.00,0.00
duplicates_5000.csv,InsertionSort,6,5.164200,75.64,0.00
duplicates_5000.csv,InsertionSort,7,4.519800,0.00,0.00
duplicates_5000.csv,InsertionSort,8,4.386500,0.00,0.00
duplicates_5000.csv,InsertionSort,9,4.960100,0.00,0.00
duplicates_5000.csv,InsertionSort,10,4.239800,0.00,0.00
duplicates_5000.csv,InsertionSort,11,4.486000,0.00,0.00
duplicates_5000.csv,InsertionSort,12,5.442100,71.78,0.00
duplicates_5000.csv,InsertionSort,13,4.298700,0.00,0.00
duplicates_5000.csv,InsertionSort,14,4.339200,90.02,0.00
duplicates_5000.csv,InsertionSort,15,5.901100,0.00,0.00
duplicates_5000.csv,InsertionSort,16,4.279700,0.00,0.00
duplicates_5000.csv,InsertionSort,17,6.598600,118.40,0.00
duplicates_5000.csv,InsertionSort,18,4.544400,0.00,0.00
duplicates_5000.csv,InsertionSort,19,4.850800,161.06,0.00
