Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
duplicates_1000.csv,IterativeQuickSort,1,3.564700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,2,1.511700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,3,1.578800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,4,1.404800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,5,2.622600,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,6,1.027100,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,7,1.094800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,8,0.799100,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,9,1.329800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,10,1.901100,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,11,0.422700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,12,0.342400,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,13,0.311400,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,14,0.223100,0.00,0.08
duplicates_1000.csv,IterativeQuickSort,15,0.241800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,16,0.200700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,17,0.227900,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,18,0.215300,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,19,0.234900,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,20,0.173500,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,21,0.242700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,22,0.415000,0.00,0.08
duplicates_1000.csv,IterativeQuickSort,23,0.227200,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,24,0.266100,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,25,0.248800,6280.14,0.00
duplicates_1000.csv,IterativeQuickSort,26,0.300300,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,27,0.263900,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,28,0.234800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,29,0.367800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,30,0.270000,0.00,0.08
duplicates_5000.csv,IterativeQuickSort,1,0.783100,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,2,0.758400,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,3,0.755500,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,4,0.760100,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,5,0.782800,0.00,0.08
duplicates_5000.csv,IterativeQuickSort,6,0.773800,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,7,0.780600,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,8,0.785100,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,9,0.767600,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,10,0.780300,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,11,0.778400,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,12,0.881200,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,13,0.880500,887.28,0.00
duplicates_5000.csv,IterativeQuickSort,14,0.818100,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,15,0.804300,0.00,0.08
duplicates_5000.csv,IterativeQuickSort,16,0.545500,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,17,0.793700,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,18,0.578200,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,19,0.525600,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,20,0.708500,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,21,0.690600,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,22,0.755200,0.00,0.08
duplicates_5000.csv,IterativeQuickSort,23,0.751000,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,24,0.741600,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,25,0.402400,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,26,0.399900,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,27,0.393200,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,28,0.404400,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,29,0.390000,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,30,0.396300,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,1,0.649300,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,2,0.606600,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,3,0.748800,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,4,0.602900,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,5,0.611100,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,6,0.652300,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,7,0.677700,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,8,0.586500,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,9,0.718100,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,10,0.610000,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,11,0.598600,0.00,0.08
duplicates_10000.csv,IterativeQuickSort,12,0.591800,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,13,0.777300,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,14,0.595800,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,15,0.623600,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,16,0.611700,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,17,0.591500,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,18,1.221400,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,19,0.872400,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,20,0.631000,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,21,0.633900,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,22,0.630200,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,23,0.696600,0.00,0.08
duplicates_10000.csv,IterativeQuickSort,24,0.599800,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,25,0.608800,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,26,0.585400,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,27,0.584100,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,28,0.589800,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,29,0.586200,0.00,0.00
duplicates_10000.csv,IterativeQuickSort,30,0.717200,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,1,3.715000,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,2,2.965100,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,3,2.849200,137.10,0.00
duplicates_50000.csv,IterativeQuickSort,4,2.700900,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,5,3.589100,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,6,2.888700,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,7,2.790800,139.97,0.00
duplicates_50000.csv,IterativeQuickSort,8,2.878300,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,9,3.150400,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,10,3.247900,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,11,2.704600,144.43,0.00
duplicates_50000.csv,IterativeQuickSort,12,2.848600,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,13,2.870800,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,14,2.801600,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,15,2.713300,143.97,0.00
duplicates_50000.csv,IterativeQuickSort,16,2.986200,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,17,2.839800,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,18,3.103900,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,19,2.908200,134.32,0.00
duplicates_50000.csv,IterativeQuickSort,20,2.883300,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,21,2.731100,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,22,4.217200,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,23,2.711300,144.07,0.00
duplicates_50000.csv,IterativeQuickSort,24,3.095400,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,25,2.938800,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,26,2.792100,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,27,2.771300,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,28,3.056200,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,29,3.162300,0.00,0.00
duplicates_50000.csv,IterativeQuickSort,30,2.730200,0.00,0.00
