Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
duplicates_1000.csv,QuickSort,1,1.235500,0.00,0.00
duplicates_1000.csv,QuickSort,2,0.338600,0.00,0.00
duplicates_1000.csv,QuickSort,3,0.238600,0.00,0.00
duplicates_1000.csv,QuickSort,4,0.937300,0.00,0.00
duplicates_1000.csv,QuickSort,5,0.243000,0.00,0.00
duplicates_1000.csv,QuickSort,6,21.588000,72.38,0.00
duplicates_1000.csv,QuickSort,7,0.079900,0.00,0.00
duplicates_1000.csv,QuickSort,8,0.076300,0.00,0.00
duplicates_1000.csv,QuickSort,9,0.076000,0.00,0.00
duplicates_1000.csv,QuickSort,10,0.072400,0.00,0.00
duplicates_1000.csv,QuickSort,11,0.077300,0.00,0.00
duplicates_1000.csv,QuickSort,12,0.072000,0.00,0.00
duplicates_1000.csv,QuickSort,13,0.075100,0.00,0.00
duplicates_1000.csv,QuickSort,14,0.081300,0.00,0.00
duplicates_1000.csv,QuickSort,15,0.075700,0.00,0.00
duplicates_1000.csv,QuickSort,16,0.073000,0.00,0.00
duplicates_1000.csv,QuickSort,17,0.088700,0.00,0.00
duplicates_1000.csv,QuickSort,18,0.425600,0.00,0.00
duplicates_1000.csv,QuickSort,19,0.078400,0.00,0.00
duplicates_1000.csv,QuickSort,20,0.077600,0.00,0.00
duplicates_1000.csv,QuickSort,21,0.076000,0.00,0.00
duplicates_1000.csv,QuickSort,22,0.076000,0.00,0.00
duplicates_1000.csv,QuickSort,23,0.079800,0.00,0.00
duplicates_1000.csv,QuickSort,24,0.074500,0.00,0.00
duplicates_1000.csv,QuickSort,25,0.073300,0.00,0.00
duplicates_1000.csv,QuickSort,26,0.075100,0.00,0.00
duplicates_1000.csv,QuickSort,27,0.077400,0.00,0.00
duplicates_1000.csv,QuickSort,28,0.073200,0.00,0.00
duplicates_1000.csv,QuickSort,29,0.082000,0.00,0.00
duplicates_1000.csv,QuickSort,30,0.076600,0.00,0.00
duplicates_5000.csv,QuickSort,1,0.371800,0.00,0.00
duplicates_5000.csv,QuickSort,2,0.391800,0.00,0.00
duplicates_5000.csv,QuickSort,3,0.390400,0.00,0.00
duplicates_5000.csv,QuickSort,4,0.393300,993.20,0.00
duplicates_5000.csv,QuickSort,5,0.374700,0.00,0.00
duplicates_5000.csv,QuickSort,6,0.375100,0.00,0.00
duplicates_5000.csv,QuickSort,7,0.372600,0.00,0.00
duplicates_5000.csv,QuickSort,8,0.374800,0.00,0.00
duplicates_5000.csv,QuickSort,9,0.393200,1986.90,0.00
duplicates_5000.csv,QuickSort,10,0.384000,0.00,0.00
duplicates_5000.csv,QuickSort,11,0.388300,0.00,0.00
duplicates_5000.csv,QuickSort,12,0.383200,0.00,0.00
duplicates_5000.csv,QuickSort,13,0.386600,0.00,0.00
duplicates_5000.csv,QuickSort,14,0.392900,0.00,0.00
duplicates_5000.csv,QuickSort,15,0.390200,0.00,0.00
duplicates_5000.csv,QuickSort,16,0.409700,0.00,0.00
duplicates_5000.csv,QuickSort,17,0.376100,0.00,0.00
duplicates_5000.csv,QuickSort,18,0.388900,0.00,0.00
duplicates_5000.csv,QuickSort,19,0.386500,0.00,0.00
duplicates_5000.csv,QuickSort,20,0.396900,0.00,0.00
duplicates_5000.csv,QuickSort,21,0.386400,0.00,0.00
duplicates_5000.csv,QuickSort,22,0.388200,0.00,0.00
duplicates_5000.csv,QuickSort,23,0.380300,0.00,0.00
duplicates_5000.csv,QuickSort,24,0.382200,0.00,0.00
duplicates_5000.csv,QuickSort,25,1.572400,0.00,0.00
duplicates_5000.csv,QuickSort,26,0.380000,0.00,0.00
duplicates_5000.csv,QuickSort,27,0.379900,0.00,0.00
duplicates_5000.csv,QuickSort,28,0.374900,0.00,0.00
duplicates_5000.csv,QuickSort,29,0.378700,0.00,0.00
duplicates_5000.csv,QuickSort,30,0.378700,0.00,0.00
duplicates_10000.csv,QuickSort,1,0.686900,568.68,0.00
duplicates_10000.csv,QuickSort,2,0.567200,0.00,0.00
duplicates_10000.csv,QuickSort,3,0.584100,0.00,0.00
duplicates_10000.csv,QuickSort,4,0.667300,0.00,0.00
duplicates_10000.csv,QuickSort,5,0.770500,0.00,0.00
duplicates_10000.csv,QuickSort,6,0.578900,0.00,0.00
duplicates_10000.csv,QuickSort,7,0.572900,0.00,0.00
duplicates_10000.csv,QuickSort,8,0.594800,0.00,0.00
duplicates_10000.csv,QuickSort,9,0.584400,0.00,0.00
duplicates_10000.csv,QuickSort,10,0.749700,0.00,0.00
duplicates_10000.csv,QuickSort,11,0.749900,0.00,0.00
duplicates_10000.csv,QuickSort,12,0.712400,0.00,0.00
duplicates_10000.csv,QuickSort,13,0.570200,0.00,0.00
duplicates_10000.csv,QuickSort,14,0.571800,0.00,0.00
duplicates_10000.csv,QuickSort,15,0.589300,0.00,0.00
duplicates_10000.csv,QuickSort,16,0.678800,0.00,0.00
duplicates_10000.csv,QuickSort,17,0.790700,0.00,0.00
duplicates_10000.csv,QuickSort,18,0.748700,0.00,0.00
duplicates_10000.csv,QuickSort,19,0.799800,0.00,0.00
duplicates_10000.csv,QuickSort,20,0.603900,0.00,0.00
duplicates_10000.csv,QuickSort,21,0.564600,0.00,0.00
duplicates_10000.csv,QuickSort,22,0.583100,0.00,0.00
duplicates_10000.csv,QuickSort,23,0.581100,0.00,0.00
duplicates_10000.csv,QuickSort,24,0.596900,0.00,0.00
duplicates_10000.csv,QuickSort,25,0.637600,0.00,0.00
duplicates_10000.csv,QuickSort,26,0.581300,0.00,0.00
duplicates_10000.csv,QuickSort,27,0.623900,0.00,0.00
duplicates_10000.csv,QuickSort,28,0.754400,0.00,0.00
duplicates_10000.csv,QuickSort,29,0.641600,0.00,0.00
duplicates_10000.csv,QuickSort,30,0.718700,0.00,0.00
duplicates_50000.csv,QuickSort,1,2.780200,0.00,0.00
duplicates_50000.csv,QuickSort,2,3.106900,0.00,0.00
duplicates_50000.csv,QuickSort,3,2.995700,0.00,0.00
duplicates_50000.csv,QuickSort,4,3.191000,0.00,0.00
duplicates_50000.csv,QuickSort,5,2.697900,0.00,0.00
duplicates_50000.csv,QuickSort,6,3.571000,0.00,0.00
duplicates_50000.csv,QuickSort,7,3.282800,0.00,0.00
duplicates_50000.csv,QuickSort,8,2.835300,0.00,0.00
duplicates_50000.csv,QuickSort,9,2.858900,0.00,0.00
duplicates_50000.csv,QuickSort,10,3.253300,0.00,0.00
duplicates_50000.csv,QuickSort,11,3.329400,0.00,0.00
duplicates_50000.csv,QuickSort,12,2.682500,0.00,0.00
duplicates_50000.csv,QuickSort,13,2.823600,0.00,0.00
duplicates_50000.csv,QuickSort,14,3.753800,104.06,0.00
duplicates_50000.csv,QuickSort,15,2.830000,0.00,0.00
duplicates_50000.csv,QuickSort,16,2.897900,0.00,0.00
duplicates_50000.csv,QuickSort,17,2.856400,0.00,0.00
duplicates_50000.csv,QuickSort,18,3.922400,0.00,0.00
duplicates_50000.csv,QuickSort,19,2.874000,0.00,0.00
duplicates_50000.csv,QuickSort,20,2.977200,0.00,0.00
duplicates_50000.csv,QuickSort,21,2.926900,133.46,0.00
duplicates_50000.csv,QuickSort,22,3.224000,0.00,0.00
duplicates_50000.csv,QuickSort,23,2.848000,0.00,0.00
duplicates_50000.csv,QuickSort,24,2.925700,0.00,0.00
duplicates_50000.csv,QuickSort,25,2.777800,140.62,0.00
duplicates_50000.csv,QuickSort,26,2.755300,0.00,0.00
duplicates_50000.csv,QuickSort,27,3.086200,0.00,0.00
duplicates_50000.csv,QuickSort,28,2.744200,0.00,0.00
duplicates_50000.csv,QuickSort,29,2.825100,138.27,0.00
duplicates_50000.csv,QuickSort,30,2.681000,0.00,0.00
