dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,7.85,15.63,0.00
randomArrays,1,783,2.90,0.00,0.00
randomArrays,1,464,1.16,0.00,0.00
randomArrays,1,267,0.24,0.00,0.00
randomArrays,1,828,1.54,0.00,0.00
randomArrays,1,607,0.92,0.00,0.00
randomArrays,1,319,0.26,0.00,0.00
randomArrays,1,431,0.47,0.00,0.00
randomArrays,1,941,2.36,0.00,0.00
randomArrays,1,937,2.46,0.00,0.00
randomArrays,1,619,2.45,0.00,0.00
randomArrays,1,370,0.78,0.00,0.00
randomArrays,1,478,1.09,0.00,0.00
randomArrays,1,107,0.07,0.00,0.00
randomArrays,1,910,1.56,0.00,0.00
randomArrays,1,381,0.37,0.00,0.00
randomArrays,1,699,1.04,0.00,0.00
randomArrays,1,452,0.48,0.00,0.00
randomArrays,1,882,1.80,0.00,0.00
randomArrays,1,697,1.35,0.00,0.00
randomArrays,1,39,0.03,0.00,0.00
randomArrays,1,382,0.44,0.00,0.00
randomArrays,1,980,1.99,0.00,0.00
randomArrays,1,202,0.15,0.00,0.00
randomArrays,1,674,1.11,0.00,0.00
randomArrays,1,184,0.12,0.00,0.00
randomArrays,1,853,1.51,0.00,0.00
randomArrays,1,101,0.05,0.00,0.00
randomArrays,1,329,0.30,0.00,0.00
randomArrays,1,837,1.56,0.00,0.00
randomArrays,1,952,2.30,15.63,0.00
randomArrays,1,676,1.18,15.63,0.00
randomArrays,1,248,0.26,0.00,0.00
randomArrays,1,845,1.74,0.00,0.00
randomArrays,1,707,1.26,0.00,0.00
randomArrays,1,458,0.50,0.00,0.00
randomArrays,1,219,0.17,0.00,0.00
randomArrays,1,268,0.26,0.00,0.00
randomArrays,1,201,0.13,0.00,0.00
randomArrays,1,520,0.66,0.00,0.00
randomArrays,1,832,1.69,0.00,0.00
randomArrays,1,800,1.71,0.00,0.00
randomArrays,1,753,1.33,0.00,0.00
randomArrays,1,286,0.25,0.00,0.00
randomArrays,1,841,1.60,0.00,0.00
randomArrays,1,240,0.21,0.00,0.00
randomArrays,1,370,0.37,0.00,0.00
randomArrays,1,287,0.25,0.00,0.00
