dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,9.76,15.63,79.31
randomArrays,1,783,2.69,0.00,0.00
randomArrays,1,464,1.33,0.00,0.00
randomArrays,1,267,0.26,0.00,0.00
randomArrays,1,828,1.69,0.00,0.00
randomArrays,1,607,1.03,0.00,0.00
randomArrays,1,319,0.30,0.00,0.00
randomArrays,1,431,0.41,0.00,0.00
randomArrays,1,941,1.99,0.00,0.00
randomArrays,1,937,2.04,0.00,0.00
randomArrays,1,619,1.16,0.00,0.00
randomArrays,1,370,0.38,0.00,0.00
randomArrays,1,478,0.64,0.00,0.00
randomArrays,1,107,0.06,0.00,0.00
randomArrays,1,910,2.08,0.00,0.00
randomArrays,1,381,0.33,0.00,0.00
randomArrays,1,699,2.69,0.00,0.00
randomArrays,1,452,0.54,0.00,0.00
randomArrays,1,882,1.71,0.00,0.00
randomArrays,1,697,1.24,0.00,0.00
randomArrays,1,39,0.03,0.00,0.00
randomArrays,1,382,0.31,0.00,0.00
randomArrays,1,980,2.01,0.00,0.00
randomArrays,1,202,0.15,0.00,0.00
randomArrays,1,674,1.11,0.00,0.00
randomArrays,1,184,0.16,0.00,0.00
randomArrays,1,853,1.55,0.00,0.00
randomArrays,1,101,0.13,0.00,0.00
randomArrays,1,329,0.34,0.00,0.00
randomArrays,1,837,1.45,0.00,0.00
randomArrays,1,952,1.69,0.00,0.00
randomArrays,1,676,1.11,0.00,0.00
randomArrays,1,248,0.47,0.00,0.00
randomArrays,1,845,1.75,0.00,0.00
randomArrays,1,707,1.24,0.00,0.00
randomArrays,1,458,0.50,0.00,0.00
randomArrays,1,219,0.14,0.00,0.00
randomArrays,1,268,0.25,0.00,0.00
randomArrays,1,201,0.15,0.00,0.00
randomArrays,1,520,0.81,0.00,0.00
randomArrays,1,832,1.79,0.00,0.00
randomArrays,1,800,1.41,0.00,0.00
randomArrays,1,753,1.38,0.00,0.00
randomArrays,1,286,0.25,0.00,0.00
randomArrays,1,841,1.71,0.00,0.00
randomArrays,1,240,0.18,0.00,0.00
randomArrays,1,370,0.40,0.00,0.00
randomArrays,1,287,0.23,0.00,0.00
randomArrays,1,89,0.06,0.00,0.00
randomArrays,1,881,1.63,0.00,0.00
randomArrays,1,187,0.13,0.00,0.00
randomArrays,1,373,0.42,0.00,0.00
randomArrays,1,194,0.14,0.00,0.00
randomArrays,1,382,0.41,0.00,0.00
randomArrays,1,826,1.64,0.00,0.00
randomArrays,1,781,1.33,0.00,0.00
randomArrays,1,814,1.75,0.00,0.00
randomArrays,1,525,0.67,0.00,0.00
randomArrays,1,136,0.08,0.00,0.00
randomArrays,1,454,0.48,0.00,0.00
randomArrays,1,563,0.82,0.00,0.00
randomArrays,1,226,0.20,0.00,0.00
randomArrays,1,345,0.36,0.00,0.00
randomArrays,1,514,0.60,0.00,0.00
randomArrays,1,871,1.63,0.00,0.00
randomArrays,1,939,1.95,0.00,0.00
randomArrays,1,397,0.44,0.00,0.00
randomArrays,1,429,0.74,0.00,0.00
randomArrays,1,421,0.51,0.00,0.00
randomArrays,1,747,1.28,0.00,0.00
randomArrays,1,19,0.02,0.00,0.00
randomArrays,1,74,0.07,0.00,0.00
randomArrays,1,259,0.18,0.00,0.00
randomArrays,1,846,1.30,0.00,0.00
randomArrays,1,789,1.14,0.00,0.00
