dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,2.35,0.00,79.31
randomArrays,1,783,0.45,0.00,0.00
randomArrays,1,464,0.25,0.00,0.00
randomArrays,1,267,0.15,0.00,0.00
randomArrays,1,828,0.64,0.00,0.00
randomArrays,1,607,0.20,0.00,0.00
randomArrays,1,319,0.13,0.00,0.00
randomArrays,1,431,0.23,0.00,0.00
randomArrays,1,941,0.38,0.00,0.00
randomArrays,1,937,0.40,0.00,0.00
randomArrays,1,619,0.52,0.00,0.00
randomArrays,1,370,0.15,0.00,0.00
randomArrays,1,478,0.16,0.00,0.00
randomArrays,1,107,0.09,0.00,0.00
randomArrays,1,910,0.31,0.00,0.00
randomArrays,1,381,0.17,0.00,0.00
randomArrays,1,699,0.21,0.00,0.00
randomArrays,1,452,0.17,0.00,0.00
randomArrays,1,882,0.38,0.00,0.00
randomArrays,1,697,0.28,0.00,0.00
randomArrays,1,39,0.04,0.00,0.00
randomArrays,1,382,0.17,0.00,0.00
randomArrays,1,980,0.47,0.00,0.00
randomArrays,1,202,0.10,0.00,0.00
randomArrays,1,674,0.49,0.00,0.00
randomArrays,1,184,0.10,0.00,0.00
randomArrays,1,853,0.36,0.00,0.00
randomArrays,1,101,0.06,0.00,0.00
randomArrays,1,329,0.14,0.00,0.00
randomArrays,1,837,0.35,0.00,0.00
randomArrays,1,952,0.43,0.00,0.00
randomArrays,1,676,0.24,0.00,0.00
randomArrays,1,248,0.13,0.00,0.00
randomArrays,1,845,0.41,0.00,0.00
randomArrays,1,707,0.31,0.00,0.00
randomArrays,1,458,0.19,0.00,0.00
randomArrays,1,219,0.11,0.00,0.00
randomArrays,1,268,0.12,0.00,0.00
randomArrays,1,201,0.11,0.00,0.00
randomArrays,1,520,0.19,0.00,0.00
randomArrays,1,832,0.32,0.00,0.00
randomArrays,1,800,0.32,0.00,0.00
randomArrays,1,753,0.28,0.00,0.00
randomArrays,1,286,0.15,0.00,0.00
randomArrays,1,841,0.33,0.00,0.00
randomArrays,1,240,0.10,0.00,0.00
randomArrays,1,370,0.19,0.00,0.00
randomArrays,1,287,0.10,0.00,0.00
randomArrays,1,89,0.05,0.00,0.00
randomArrays,1,881,0.31,0.00,0.00
randomArrays,1,187,0.08,0.00,0.00
randomArrays,1,373,0.11,0.00,0.00
randomArrays,1,194,0.09,0.00,0.00
randomArrays,1,382,0.27,0.00,0.00
randomArrays,1,826,0.30,0.00,0.00
randomArrays,1,781,0.33,0.00,0.00
randomArrays,1,814,0.38,0.00,0.00
randomArrays,1,525,0.21,0.00,0.00
randomArrays,1,136,0.07,0.00,0.00
randomArrays,1,454,0.19,0.00,0.00
randomArrays,1,563,0.27,0.00,0.00
randomArrays,1,226,0.12,0.00,0.00
randomArrays,1,345,0.14,0.00,0.00
randomArrays,1,514,0.19,0.00,0.00
randomArrays,1,871,0.30,0.00,0.00
randomArrays,1,939,0.26,0.00,0.00
randomArrays,1,397,0.20,0.00,0.00
randomArrays,1,429,0.16,0.00,0.00
randomArrays,1,421,0.17,0.00,0.00
randomArrays,1,747,0.29,0.00,0.00
randomArrays,1,19,0.03,0.00,0.00
randomArrays,1,74,0.05,0.00,0.00
randomArrays,1,259,0.12,0.00,0.00
randomArrays,1,846,0.36,0.00,0.00
randomArrays,1,789,0.33,0.00,0.00
randomArrays,1,671,0.23,0.00,0.00
randomArrays,1,368,0.13,0.00,0.00
randomArrays,1,448,0.18,0.00,0.00
randomArrays,1,237,0.16,0.00,0.00
randomArrays,1,627,0.25,0.00,0.00
randomArrays,1,584,0.25,0.00,0.00
randomArrays,1,328,0.13,0.00,0.00
randomArrays,1,606,0.14,0.00,0.00
randomArrays,1,563,0.13,0.00,0.00
randomArrays,1,774,0.19,0.00,0.00
randomArrays,1,206,0.07,0.00,0.00
randomArrays,1,907,0.17,0.00,0.00
randomArrays,1,37,0.02,0.00,0.00
randomArrays,1,878,0.22,0.00,0.00
randomArrays,1,284,0.07,0.00,0.00
randomArrays,1,853,0.18,0.00,0.00
randomArrays,1,247,0.07,0.00,0.00
randomArrays,1,241,0.06,0.00,0.00
randomArrays,1,348,0.08,0.00,0.00
randomArrays,1,814,0.25,0.00,0.00
randomArrays,1,245,0.13,0.00,0.00
randomArrays,1,335,0.07,0.00,0.00
randomArrays,1,497,0.10,0.00,0.00
randomArrays,1,280,0.08,0.00,0.00
randomArrays,1,664,0.12,0.00,0.00
randomArrays,1,523,0.12,0.00,0.00
randomArrays,1,841,0.26,0.00,0.00
randomArrays,1,290,0.07,0.00,0.00
randomArrays,1,158,0.05,0.00,0.00
randomArrays,1,783,0.19,0.00,0.00
randomArrays,1,638,0.15,0.00,0.00
