dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,46.88,46.88,5915.48
randomArrays,1,783,0.56,0.00,116.10
randomArrays,1,464,0.12,0.00,115.48
randomArrays,1,267,0.08,0.00,115.09
randomArrays,1,828,0.15,0.00,116.19
randomArrays,1,607,0.12,0.00,115.76
randomArrays,1,319,0.13,0.00,115.20
randomArrays,1,431,0.09,0.00,115.41
randomArrays,1,941,0.21,0.00,231.44
randomArrays,1,937,0.12,0.00,231.89
randomArrays,1,619,0.13,0.00,115.78
randomArrays,1,370,0.10,0.00,115.30
randomArrays,1,478,0.11,0.00,115.51
randomArrays,1,107,0.05,0.00,114.78
randomArrays,1,910,0.21,0.00,234.48
randomArrays,1,381,0.10,0.00,115.31
randomArrays,1,699,0.15,0.00,115.94
randomArrays,1,452,0.07,0.00,115.45
randomArrays,1,882,0.11,0.00,116.30
randomArrays,1,697,0.16,0.00,115.93
randomArrays,1,39,0.05,0.00,114.65
randomArrays,1,382,0.10,0.00,115.32
randomArrays,1,980,0.14,0.00,231.06
randomArrays,1,202,0.06,0.00,114.97
randomArrays,1,674,0.11,0.00,115.89
randomArrays,1,184,0.08,0.00,114.93
randomArrays,1,853,0.13,0.00,116.23
randomArrays,1,101,0.07,0.00,114.77
randomArrays,1,329,0.13,0.00,115.21
randomArrays,1,837,0.16,0.00,116.20
randomArrays,1,952,0.22,0.00,231.02
randomArrays,1,676,0.16,0.00,115.89
randomArrays,1,248,0.05,0.00,115.05
randomArrays,1,845,0.22,0.00,116.22
randomArrays,1,707,0.09,0.00,115.95
randomArrays,1,458,0.06,0.00,115.47
randomArrays,1,219,0.04,0.00,115.00
randomArrays,1,268,0.05,0.00,115.09
randomArrays,1,201,0.06,0.00,114.96
randomArrays,1,520,0.10,0.00,115.59
randomArrays,1,832,0.16,0.00,116.20
randomArrays,1,800,0.13,0.00,116.13
randomArrays,1,753,0.12,0.00,116.04
randomArrays,1,286,0.06,0.00,115.13
randomArrays,1,841,0.13,0.00,116.21
randomArrays,1,240,0.04,0.00,115.04
randomArrays,1,370,0.06,0.00,115.30
randomArrays,1,287,0.05,0.00,115.13
randomArrays,1,89,0.03,0.00,114.74
randomArrays,1,881,0.10,0.00,116.29
randomArrays,1,187,0.04,0.00,114.94
randomArrays,1,373,0.06,0.00,115.30
randomArrays,1,194,0.08,0.00,114.95
randomArrays,1,382,0.10,0.00,115.32
randomArrays,1,826,0.11,0.00,116.19
randomArrays,1,781,0.12,0.00,116.09
randomArrays,1,814,0.12,0.00,116.16
randomArrays,1,525,0.09,0.00,115.59
randomArrays,1,136,0.07,0.00,114.84
randomArrays,1,454,0.07,0.00,115.46
randomArrays,1,563,0.07,0.00,115.67
randomArrays,1,226,0.05,0.00,115.02
randomArrays,1,345,0.05,0.00,115.24
randomArrays,1,514,0.07,0.00,115.58
randomArrays,1,871,0.10,0.00,116.27
randomArrays,1,939,0.15,0.00,231.90
randomArrays,1,397,0.07,0.00,115.34
randomArrays,1,429,0.09,0.00,115.41
randomArrays,1,421,0.08,0.00,115.39
randomArrays,1,747,0.09,0.00,116.03
randomArrays,1,19,0.03,0.00,114.61
randomArrays,1,74,0.03,0.00,114.72
randomArrays,1,259,0.05,0.00,115.08
randomArrays,1,846,0.16,0.00,116.23
randomArrays,1,789,0.10,0.00,116.11
randomArrays,1,671,0.10,0.00,115.88
randomArrays,1,368,0.06,0.00,115.29
randomArrays,1,448,0.08,0.00,115.45
randomArrays,1,237,0.08,0.00,115.03
randomArrays,1,627,0.10,0.00,115.80
randomArrays,1,584,0.11,0.00,115.71
randomArrays,1,328,0.05,0.00,115.21
