Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,InsertionSort,1,0.053100,0.00,0.00
randomArrays.txt,InsertionSort,2,0.164700,0.00,0.00
randomArrays.txt,InsertionSort,3,0.062400,0.00,0.00
randomArrays.txt,InsertionSort,1,0.148800,0.00,0.00
randomArrays.txt,InsertionSort,2,0.146300,0.00,0.00
randomArrays.txt,InsertionSort,3,0.158700,0.00,0.00
randomArrays.txt,InsertionSort,1,0.097200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.055500,0.00,0.00
randomArrays.txt,InsertionSort,3,0.055600,0.00,0.00
randomArrays.txt,InsertionSort,1,0.023300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.022100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.023300,0.00,0.00
randomArrays.txt,InsertionSort,1,0.183700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.161200,0.00,0.00
randomArrays.txt,InsertionSort,3,0.138500,2820.40,0.00
randomArrays.txt,InsertionSort,1,0.098400,0.00,0.00
randomArrays.txt,InsertionSort,2,0.099600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.100500,0.00,0.00
randomArrays.txt,InsertionSort,1,0.028200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.027500,0.00,0.00
randomArrays.txt,InsertionSort,3,0.030500,0.00,0.00
randomArrays.txt,InsertionSort,1,0.053900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.044700,0.00,0.00
randomArrays.txt,InsertionSort,3,0.046200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.197200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.229800,0.00,0.00
randomArrays.txt,InsertionSort,3,0.175000,0.00,0.00
randomArrays.txt,InsertionSort,1,0.489300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.185000,0.00,0.00
randomArrays.txt,InsertionSort,3,0.210500,0.00,0.00
randomArrays.txt,InsertionSort,1,0.093900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.092600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.098000,0.00,0.00
randomArrays.txt,InsertionSort,1,0.083300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.034300,0.00,0.00
randomArrays.txt,InsertionSort,3,0.037000,0.00,0.00
randomArrays.txt,InsertionSort,1,0.065000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.060600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.060800,0.00,0.00
randomArrays.txt,InsertionSort,1,0.005900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.006600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.007000,0.00,0.00
randomArrays.txt,InsertionSort,1,0.203300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.180400,0.00,0.00
randomArrays.txt,InsertionSort,3,0.195200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.041200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.041000,0.00,0.00
randomArrays.txt,InsertionSort,3,0.043300,0.00,0.00
randomArrays.txt,InsertionSort,1,0.136300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.111900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.116900,0.00,0.00
randomArrays.txt,InsertionSort,1,0.057100,0.00,0.00
randomArrays.txt,InsertionSort,2,0.067500,0.00,0.00
randomArrays.txt,InsertionSort,3,0.055000,0.00,0.00
randomArrays.txt,InsertionSort,1,0.175700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.235500,0.00,0.00
randomArrays.txt,InsertionSort,3,0.293200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.124900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.160700,0.00,0.00
randomArrays.txt,InsertionSort,3,0.124300,0.00,0.00
randomArrays.txt,InsertionSort,1,0.002600,0.00,0.00
randomArrays.txt,InsertionSort,2,0.003100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.002600,0.00,0.00
randomArrays.txt,InsertionSort,1,0.039700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.061000,0.00,0.00
randomArrays.txt,InsertionSort,3,0.039100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.231700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.185100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.182900,0.00,0.00
randomArrays.txt,InsertionSort,1,0.013400,0.00,0.00
randomArrays.txt,InsertionSort,2,0.012600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.013900,0.00,0.00
randomArrays.txt,InsertionSort,1,0.110300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.103200,0.00,0.00
randomArrays.txt,InsertionSort,3,0.102700,0.00,0.00
randomArrays.txt,InsertionSort,1,0.013800,0.00,0.00
randomArrays.txt,InsertionSort,2,0.013100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.009400,0.00,0.00
randomArrays.txt,InsertionSort,1,0.218500,0.00,0.00
randomArrays.txt,InsertionSort,2,0.189600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.174900,0.00,0.00
randomArrays.txt,InsertionSort,1,0.006800,0.00,0.00
randomArrays.txt,InsertionSort,2,0.006300,0.00,0.00
randomArrays.txt,InsertionSort,3,0.006200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.031200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.033800,0.00,0.00
randomArrays.txt,InsertionSort,3,0.030200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.758900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.163500,0.00,0.00
randomArrays.txt,InsertionSort,3,0.203200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.258600,0.00,0.00
randomArrays.txt,InsertionSort,2,0.227400,0.00,0.00
randomArrays.txt,InsertionSort,3,0.220000,0.00,0.00
randomArrays.txt,InsertionSort,1,0.128700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.122600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.101200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.020900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.022300,0.00,0.00
randomArrays.txt,InsertionSort,3,0.014600,0.00,0.00
randomArrays.txt,InsertionSort,1,0.166600,0.00,0.00
randomArrays.txt,InsertionSort,2,0.166900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.167800,0.00,0.00
randomArrays.txt,InsertionSort,1,0.090600,0.00,0.00
randomArrays.txt,InsertionSort,2,0.136900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.091700,0.00,0.00
randomArrays.txt,InsertionSort,1,0.054800,0.00,0.00
randomArrays.txt,InsertionSort,2,0.052400,0.00,0.00
randomArrays.txt,InsertionSort,3,0.055200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.017700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.017600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.017700,0.00,0.00
randomArrays.txt,InsertionSort,1,0.023000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.021200,0.00,0.00
randomArrays.txt,InsertionSort,3,0.022600,0.00,0.00
randomArrays.txt,InsertionSort,1,0.048900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.015000,0.00,0.00
randomArrays.txt,InsertionSort,3,0.015100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.069500,0.00,0.00
randomArrays.txt,InsertionSort,2,0.077800,0.00,0.00
randomArrays.txt,InsertionSort,3,0.076400,0.00,0.00
randomArrays.txt,InsertionSort,1,0.179000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.175600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.376700,0.00,0.00
randomArrays.txt,InsertionSort,1,0.148000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.135700,0.00,0.00
randomArrays.txt,InsertionSort,3,0.131200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.154300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.132000,0.00,0.00
randomArrays.txt,InsertionSort,3,0.134900,0.00,0.00
randomArrays.txt,InsertionSort,1,0.027700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.026900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.030700,0.00,0.00
randomArrays.txt,InsertionSort,1,0.185900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.160800,0.00,0.00
randomArrays.txt,InsertionSort,3,0.160700,0.00,0.00
randomArrays.txt,InsertionSort,1,0.017500,0.00,0.00
randomArrays.txt,InsertionSort,2,0.016600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.016600,0.00,0.00
randomArrays.txt,InsertionSort,1,0.038300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.041600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.041800,0.00,0.00
randomArrays.txt,InsertionSort,1,0.027000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.025400,0.00,0.00
randomArrays.txt,InsertionSort,3,0.025300,0.00,0.00
randomArrays.txt,InsertionSort,1,0.004700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.005900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.005100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.271400,0.00,0.00
randomArrays.txt,InsertionSort,2,0.189800,0.00,0.00
randomArrays.txt,InsertionSort,3,0.190600,0.00,0.00
randomArrays.txt,InsertionSort,1,0.015200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.060100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.013200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.038900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.039800,0.00,0.00
randomArrays.txt,InsertionSort,3,0.043200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.013200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.013900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.013100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.043100,0.00,0.00
randomArrays.txt,InsertionSort,2,0.044900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.043900,0.00,0.00
randomArrays.txt,InsertionSort,1,0.163000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.143300,0.00,0.00
randomArrays.txt,InsertionSort,3,0.191400,0.00,0.00
randomArrays.txt,InsertionSort,1,0.196700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.174100,0.00,0.00
randomArrays.txt,InsertionSort,3,1.459600,0.00,0.00
randomArrays.txt,InsertionSort,1,0.216700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.169200,0.00,0.00
randomArrays.txt,InsertionSort,3,0.167400,0.00,0.00
randomArrays.txt,InsertionSort,1,0.076000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.071700,0.00,0.00
randomArrays.txt,InsertionSort,3,0.079200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.008400,0.00,0.00
randomArrays.txt,InsertionSort,2,0.008900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.013100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.073700,0.00,0.00
randomArrays.txt,InsertionSort,2,0.057900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.059100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.093900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.082700,0.00,0.00
randomArrays.txt,InsertionSort,3,0.076300,0.00,0.00
randomArrays.txt,InsertionSort,1,0.016600,0.00,0.00
randomArrays.txt,InsertionSort,2,0.021300,0.00,0.00
randomArrays.txt,InsertionSort,3,0.018300,0.00,0.00
randomArrays.txt,InsertionSort,1,0.052200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.036900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.033200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.084400,0.00,0.00
randomArrays.txt,InsertionSort,2,0.073700,0.00,0.00
randomArrays.txt,InsertionSort,3,0.076400,0.00,0.00
randomArrays.txt,InsertionSort,1,0.172900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.180200,0.00,0.00
randomArrays.txt,InsertionSort,3,0.200100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.217500,0.00,0.00
randomArrays.txt,InsertionSort,2,0.216100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.209600,0.00,0.00
randomArrays.txt,InsertionSort,1,0.058100,0.00,0.00
randomArrays.txt,InsertionSort,2,0.043500,0.00,0.00
randomArrays.txt,InsertionSort,3,0.047100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.086000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.197100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.049200,0.00,0.00
randomArrays.txt,InsertionSort,1,0.078300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.051400,0.00,0.00
randomArrays.txt,InsertionSort,3,0.055300,0.00,0.00
randomArrays.txt,InsertionSort,1,0.143600,0.00,0.00
randomArrays.txt,InsertionSort,2,0.160900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.149800,0.00,0.00
randomArrays.txt,InsertionSort,1,0.001900,0.00,0.00
randomArrays.txt,InsertionSort,2,0.001900,0.00,0.00
randomArrays.txt,InsertionSort,3,0.001700,0.00,0.00
randomArrays.txt,InsertionSort,1,0.004400,0.00,0.00
randomArrays.txt,InsertionSort,2,0.005200,0.00,0.00
randomArrays.txt,InsertionSort,3,0.004100,0.00,0.00
randomArrays.txt,InsertionSort,1,0.072700,0.00,0.00
