Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,IterativeQuickSort,1,0.076200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.077000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.072700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.129500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.120200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.120400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.071500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.062500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.062700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.038500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.048500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.042400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.220200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.130600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.119600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.107400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.188200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.137500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.051500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.046200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.044100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.074300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.072600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.071700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.180200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.150600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.144100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.166300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.155700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.227600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.245000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.103000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.102900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.055200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.053400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.052300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.079300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.073500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.184800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.016100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.014200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.015300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.162000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.173700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.162400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.072400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.070300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.065900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.211300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.115500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.119600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.089600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.160400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.074000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.542100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.156700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.143400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.955000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.110200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.110400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.006400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.006000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.005000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.071100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.067300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.093700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.176800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.231800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.158600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.029600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.023300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.023500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.089500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.085600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.084700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.029500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.030400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.027600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.132900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.164200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.137400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.015700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.015800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.014100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.047400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.048600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.046700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.130500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.151700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.130000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.150500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.151500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.142700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.100200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.231800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.104100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.038800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.037400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.039700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.134900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.104900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.106200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.150500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.102500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.106200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.067900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.064800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.059900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.034300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.029200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.034400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.037500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.037000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.038000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.031900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.027100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.027400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.075400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.080700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.078200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.127400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.125400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.105000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.219400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.119400,3271.57,0.00
randomArrays.txt,IterativeQuickSort,3,0.117300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.114000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.110700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.112100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.040800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.039200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.038800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.111800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.107900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.108300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.046200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.031100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.036900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.056400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.065800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.057900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.047100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.043300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.061300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.014200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.012400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.012000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.164400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.138600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.136500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.029700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.027300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.028300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.089400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.053400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.052600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.028400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.029000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.027500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.058000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.056300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.057100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.133600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.133900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.136300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.139000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.129500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.126900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.133500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.158900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.129000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.078200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.076700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.076100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.023400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.021700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.018300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.063400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.065700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.073500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.154700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.090100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.082200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.031300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.034700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.033700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.056000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.055400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.057100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.080200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.077600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.078600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.135600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.161300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.128400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.145100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.135800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.143200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.094800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.075400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.062600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.062600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.064400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.080100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.078400,0.00,0.50
randomArrays.txt,IterativeQuickSort,2,0.444200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.036200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.117200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.110400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.116100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.003900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.003500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.004200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.012300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.010600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.010000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.041700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.041300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.039900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.161500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.134800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.127400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.127900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.133300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.164200,0.00,0.50
randomArrays.txt,IterativeQuickSort,1,0.102100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.199100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.095000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.052100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.057800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.058900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.068000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.062100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.067200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.038600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.036000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.034600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.101900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.095200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.209200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.105900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.090400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.090600,0.00,0.50
randomArrays.txt,IterativeQuickSort,1,0.051400,0.00,0.00
