Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,QuickSort,1,0.056000,0.00,0.00
randomArrays.txt,QuickSort,2,0.057900,0.00,0.00
randomArrays.txt,QuickSort,3,0.055000,0.00,0.00
randomArrays.txt,QuickSort,1,0.123700,0.00,0.00
randomArrays.txt,QuickSort,2,0.106900,0.00,0.00
randomArrays.txt,QuickSort,3,0.273600,0.00,0.00
randomArrays.txt,QuickSort,1,0.057700,0.00,0.00
randomArrays.txt,QuickSort,2,0.058000,0.00,0.00
randomArrays.txt,QuickSort,3,0.054000,0.00,0.00
randomArrays.txt,QuickSort,1,0.033800,0.00,0.00
randomArrays.txt,QuickSort,2,0.033300,0.00,0.00
randomArrays.txt,QuickSort,3,0.029900,0.00,0.00
randomArrays.txt,QuickSort,1,0.105000,0.00,0.00
randomArrays.txt,QuickSort,2,0.089700,0.00,0.00
randomArrays.txt,QuickSort,3,1.580400,0.00,0.00
randomArrays.txt,QuickSort,1,0.078500,0.00,0.00
randomArrays.txt,QuickSort,2,0.100000,0.00,0.00
randomArrays.txt,QuickSort,3,0.081000,0.00,0.00
randomArrays.txt,QuickSort,1,0.034700,0.00,0.00
randomArrays.txt,QuickSort,2,0.038700,0.00,0.00
randomArrays.txt,QuickSort,3,0.028300,0.00,0.00
randomArrays.txt,QuickSort,1,0.063300,0.00,0.00
randomArrays.txt,QuickSort,2,0.054400,0.00,0.00
randomArrays.txt,QuickSort,3,0.054400,0.00,0.00
randomArrays.txt,QuickSort,1,0.113500,0.00,0.00
randomArrays.txt,QuickSort,2,0.101100,0.00,0.00
randomArrays.txt,QuickSort,3,0.277600,0.00,0.00
randomArrays.txt,QuickSort,1,0.190800,0.00,0.00
randomArrays.txt,QuickSort,2,0.177200,0.00,0.00
randomArrays.txt,QuickSort,3,0.138300,0.00,0.00
randomArrays.txt,QuickSort,1,0.082800,0.00,0.00
randomArrays.txt,QuickSort,2,0.080000,0.00,0.00
randomArrays.txt,QuickSort,3,0.167500,0.00,0.00
