Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,RecursiveInsertionSort,1,3.541500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.711000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.746500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,2.741300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,2.017900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,1.475300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.174500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,3.127000,374.76,0.00
randomArrays.txt,RecursiveInsertionSort,3,8.399000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.096700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.072800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.073800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.399200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.378700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.465400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.354100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.367700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.367300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.091100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.072400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.071200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.172200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.175400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.138900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.315000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.322500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.340700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.105600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.108700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.108500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.402700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.182700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.175000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.013400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.012500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.076600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,1.345600,290.30,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.136100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.116600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.387700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.425800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.718500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.197200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.189000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.199300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.600700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.612700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.649700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.412200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.447100,873.69,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.295600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.007300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.003900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.003500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.131400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.143500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.128800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.036600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.036700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.028200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.453600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.431100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.350400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.034000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.033600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.033300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.663100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.666400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.668500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.013200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.011700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.012800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.107500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.102900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.089400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.705200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.695800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.640700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.303500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.276500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.281100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.050100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.050000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.050300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.393300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.622300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.399800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.274600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.272300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.276400,1413.26,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.189100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.113400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.190900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.062000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.050400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.050600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.066600,11730.48,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.067600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.066500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.046500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.048000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.047000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.205500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.208300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.214300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.892000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.635500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.539900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.345600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.483900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.533700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.499300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.454400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.444100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.083200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.080100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.083300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.573500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.615300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.565900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.049300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.048700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.089400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.123100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.112300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.116600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.085600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.088500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.082100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.012200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.536000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.016800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.730700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.702400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.702800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.123700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.050200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.039100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.118300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.126300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.178700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,2.753700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.037200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.035500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.128700,3035.16,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.133700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.368900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.546600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.544600,717.27,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.523200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.734600,531.75,0.00
