dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,127.64,125.00,0.00
duplicates_1000,2,1000,114.23,125.00,0.00
duplicates_1000,3,1000,117.07,93.75,0.00
duplicates_1000,4,1000,131.59,125.00,0.00
duplicates_1000,5,1000,123.92,125.00,0.00
duplicates_1000,6,1000,131.72,125.00,0.00
duplicates_1000,7,1000,112.80,109.38,0.00
duplicates_1000,8,1000,105.24,109.38,0.00
duplicates_1000,9,1000,115.76,93.75,0.00
duplicates_1000,10,1000,131.27,125.00,0.00
duplicates_1000,11,1000,115.74,109.38,0.00
duplicates_1000,12,1000,133.16,125.00,0.00
duplicates_1000,13,1000,104.89,109.38,0.00
duplicates_1000,14,1000,134.23,140.62,0.00
duplicates_1000,15,1000,104.80,93.75,0.00
duplicates_1000,16,1000,108.25,93.75,0.00
duplicates_1000,17,1000,120.15,109.38,0.00
duplicates_1000,18,1000,101.30,93.75,0.00
duplicates_1000,19,1000,112.70,109.38,0.00
duplicates_1000,20,1000,168.22,125.00,0.00
duplicates_1000,21,1000,190.63,140.62,0.00
duplicates_1000,22,1000,127.00,125.00,0.00
duplicates_1000,23,1000,140.19,140.62,0.00
duplicates_1000,24,1000,126.40,125.00,0.00
duplicates_1000,25,1000,132.98,125.00,0.00
duplicates_1000,26,1000,122.32,125.00,0.00
duplicates_1000,27,1000,122.92,109.38,0.00
duplicates_1000,28,1000,123.87,109.38,0.00
duplicates_1000,29,1000,96.74,93.75,0.00
duplicates_1000,30,1000,146.70,125.00,0.00
duplicates_5000,1,5000,3111.84,3062.50,0.00
duplicates_5000,2,5000,3079.18,3031.25,0.00
duplicates_5000,3,5000,3186.70,3156.25,0.00
duplicates_5000,4,5000,3117.53,3046.88,0.00
duplicates_5000,5,5000,3180.29,3125.00,0.00
duplicates_5000,6,5000,2957.80,2937.50,0.00
duplicates_5000,7,5000,3224.59,3203.12,0.00
duplicates_5000,8,5000,3031.37,2953.12,0.00
duplicates_5000,9,5000,3038.15,3015.62,0.00
duplicates_5000,10,5000,2949.86,2937.50,0.00
duplicates_5000,11,5000,3049.02,3031.25,0.00
duplicates_5000,12,5000,3055.34,2968.75,0.00
duplicates_5000,13,5000,3213.41,3156.25,0.00
duplicates_5000,14,5000,3114.66,2984.38,0.00
duplicates_5000,15,5000,2983.00,2953.12,0.00
duplicates_5000,16,5000,3179.58,3171.88,0.00
duplicates_5000,17,5000,3045.80,3031.25,0.00
duplicates_5000,18,5000,3040.70,2984.38,0.00
duplicates_5000,19,5000,1362.45,1343.75,0.00
duplicates_5000,20,5000,1238.30,1203.12,0.00
duplicates_5000,21,5000,1336.75,1265.62,0.00
duplicates_5000,22,5000,1249.75,1218.75,0.00
duplicates_5000,23,5000,1204.21,1203.12,0.00
duplicates_5000,24,5000,1289.50,1265.62,0.00
duplicates_5000,25,5000,1189.10,1171.88,0.00
duplicates_5000,26,5000,1212.03,1203.12,0.00
duplicates_5000,27,5000,1235.37,1203.12,0.00
duplicates_5000,28,5000,1200.21,1187.50,0.00
duplicates_5000,29,5000,1198.46,1187.50,0.00
duplicates_5000,30,5000,1170.63,1109.38,0.00
duplicates_10000,1,10000,5097.01,5031.25,0.00
duplicates_10000,2,10000,5122.47,5078.12,0.00
duplicates_10000,3,10000,4968.09,4937.50,0.00
duplicates_10000,4,10000,5032.33,5000.00,0.00
duplicates_10000,5,10000,4936.67,4921.88,0.00
duplicates_10000,6,10000,5052.28,4968.75,0.00
duplicates_10000,7,10000,5035.68,4984.38,0.00
duplicates_10000,8,10000,5174.77,5093.75,0.00
duplicates_10000,9,10000,5023.24,5000.00,0.00
duplicates_10000,10,10000,5045.46,4968.75,0.00
duplicates_10000,11,10000,5036.55,5015.62,0.00
duplicates_10000,12,10000,5036.05,4953.12,0.00
duplicates_10000,13,10000,4980.57,4906.25,0.00
duplicates_10000,14,10000,5041.63,4984.38,0.00
duplicates_10000,15,10000,4963.60,4937.50,0.00
duplicates_10000,16,10000,4935.52,4890.62,0.00
duplicates_10000,17,10000,5012.03,4984.38,0.00
duplicates_10000,18,10000,5025.05,5000.00,0.00
duplicates_10000,19,10000,5015.28,4953.12,0.00
duplicates_10000,20,10000,4908.39,4859.38,0.00
duplicates_10000,21,10000,5028.35,4953.12,0.00
duplicates_10000,22,10000,4985.29,4968.75,0.00
duplicates_10000,23,10000,5044.77,4968.75,0.00
duplicates_10000,24,10000,4939.52,4890.62,0.00
duplicates_10000,25,10000,4996.20,4859.38,0.00
duplicates_10000,26,10000,4985.56,4953.12,0.00
duplicates_10000,27,10000,4834.81,4796.88,0.00
duplicates_10000,28,10000,4984.38,4921.88,0.00
duplicates_10000,29,10000,4922.01,4875.00,0.00
duplicates_10000,30,10000,5025.62,4968.75,0.00
duplicates_50000,1,50000,125139.62,124046.88,0.00
duplicates_50000,2,50000,125025.83,124281.25,0.00
