dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,126.27,125.00,0.00
duplicates_1000,2,1000,161.67,156.25,0.00
duplicates_1000,3,1000,99.09,93.75,0.00
duplicates_1000,4,1000,119.00,125.00,0.00
duplicates_1000,5,1000,124.21,125.00,0.00
duplicates_1000,6,1000,113.51,109.38,0.00
duplicates_1000,7,1000,111.29,109.38,0.00
duplicates_1000,8,1000,122.07,125.00,0.00
duplicates_1000,9,1000,121.96,125.00,0.00
duplicates_1000,10,1000,117.83,125.00,0.00
duplicates_1000,11,1000,108.14,109.38,0.00
duplicates_1000,12,1000,120.89,125.00,0.00
duplicates_1000,13,1000,130.04,125.00,0.00
duplicates_1000,14,1000,114.70,109.38,0.00
duplicates_1000,15,1000,112.66,109.38,0.00
duplicates_1000,16,1000,101.80,109.38,0.00
duplicates_1000,17,1000,113.69,125.00,0.00
duplicates_1000,18,1000,122.21,125.00,0.00
duplicates_1000,19,1000,130.45,93.75,0.00
duplicates_1000,20,1000,115.15,125.00,0.00
duplicates_1000,21,1000,149.97,140.62,0.00
duplicates_1000,22,1000,113.10,109.38,0.00
duplicates_1000,23,1000,114.34,109.38,0.00
duplicates_1000,24,1000,137.96,140.62,0.00
duplicates_1000,25,1000,114.05,109.38,0.00
duplicates_1000,26,1000,116.35,125.00,0.00
duplicates_1000,27,1000,134.21,140.62,0.00
duplicates_1000,28,1000,132.57,140.62,0.00
duplicates_1000,29,1000,137.98,93.75,0.00
duplicates_1000,30,1000,116.53,125.00,0.00
duplicates_5000,1,5000,3158.49,3125.00,0.00
duplicates_5000,2,5000,3196.89,3156.25,0.00
duplicates_5000,3,5000,3311.50,3265.62,0.00
duplicates_5000,4,5000,3034.82,3015.62,0.00
duplicates_5000,5,5000,3199.46,3093.75,0.00
duplicates_5000,6,5000,3284.30,3218.75,0.00
duplicates_5000,7,5000,3074.92,3046.88,0.00
duplicates_5000,8,5000,3208.49,3171.88,0.00
duplicates_5000,9,5000,3087.77,3031.25,0.00
duplicates_5000,10,5000,3083.83,3078.12,0.00
duplicates_5000,11,5000,3346.00,3296.88,0.00
duplicates_5000,12,5000,3075.15,3031.25,0.00
duplicates_5000,13,5000,3040.96,3015.62,0.00
duplicates_5000,14,5000,3074.94,3000.00,0.00
duplicates_5000,15,5000,3258.85,3203.12,0.00
duplicates_5000,16,5000,3241.75,3156.25,0.00
duplicates_5000,17,5000,3140.38,3093.75,0.00
duplicates_5000,18,5000,3179.20,3171.88,0.00
duplicates_5000,19,5000,2480.01,2281.25,0.00
duplicates_5000,20,5000,1397.24,1328.12,0.00
duplicates_5000,21,5000,1213.93,1203.12,0.00
duplicates_5000,22,5000,1287.18,1250.00,0.00
duplicates_5000,23,5000,1379.32,1328.12,0.00
duplicates_5000,24,5000,1282.87,1234.38,0.00
duplicates_5000,25,5000,1250.25,1234.38,0.00
duplicates_5000,26,5000,1298.75,1281.25,0.00
duplicates_5000,27,5000,1295.58,1265.62,0.00
duplicates_5000,28,5000,1243.31,1234.38,0.00
duplicates_5000,29,5000,1256.07,1234.38,0.00
duplicates_5000,30,5000,1340.85,1296.88,0.00
duplicates_10000,1,10000,5199.71,5156.25,0.00
duplicates_10000,2,10000,5122.79,5000.00,0.00
duplicates_10000,3,10000,5248.84,5187.50,0.00
duplicates_10000,4,10000,5143.58,5046.88,0.00
duplicates_10000,5,10000,5189.82,5109.38,0.00
duplicates_10000,6,10000,5221.19,5156.25,0.00
duplicates_10000,7,10000,5018.56,4968.75,0.00
duplicates_10000,8,10000,5202.74,5187.50,0.00
duplicates_10000,9,10000,5125.44,5078.12,0.00
duplicates_10000,10,10000,5147.03,5078.12,0.00
duplicates_10000,11,10000,5189.49,5156.25,0.00
duplicates_10000,12,10000,5146.63,5125.00,0.00
duplicates_10000,13,10000,5025.20,5015.62,20.00
duplicates_10000,14,10000,5042.70,4968.75,0.00
duplicates_10000,15,10000,5240.77,5203.12,0.00
duplicates_10000,16,10000,4928.69,4906.25,0.00
duplicates_10000,17,10000,5185.70,5093.75,0.00
duplicates_10000,18,10000,5201.53,5078.12,0.00
duplicates_10000,19,10000,5015.31,4968.75,0.00
duplicates_10000,20,10000,5142.36,5109.38,0.00
duplicates_10000,21,10000,5134.23,5125.00,0.00
duplicates_10000,22,10000,5065.54,5000.00,0.00
duplicates_10000,23,10000,5174.63,5125.00,0.00
duplicates_10000,24,10000,5277.48,5125.00,0.00
duplicates_10000,25,10000,5110.85,5062.50,0.00
duplicates_10000,26,10000,5168.77,5140.62,0.00
duplicates_10000,27,10000,5147.06,5109.38,0.00
duplicates_10000,28,10000,5231.85,5171.88,0.00
duplicates_10000,29,10000,5329.98,5296.88,0.00
duplicates_10000,30,10000,5094.91,5046.88,0.00
duplicates_50000,1,50000,129600.67,128500.00,0.00
duplicates_50000,2,50000,129209.98,128500.00,0.00
