dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,2.30,15.62,0.00
duplicates_1000,2,1000,3.52,15.62,0.00
duplicates_1000,3,1000,2.42,0.00,0.00
duplicates_1000,4,1000,2.12,0.00,0.00
duplicates_1000,5,1000,2.04,0.00,0.00
duplicates_1000,6,1000,2.46,0.00,0.00
duplicates_1000,7,1000,2.11,0.00,0.00
duplicates_1000,8,1000,3.28,0.00,0.00
duplicates_1000,9,1000,1.98,0.00,0.00
duplicates_1000,10,1000,2.53,0.00,0.00
duplicates_1000,11,1000,2.29,0.00,0.00
duplicates_1000,12,1000,2.13,0.00,0.00
duplicates_1000,13,1000,1.99,0.00,0.00
duplicates_1000,14,1000,2.04,15.62,0.00
duplicates_1000,15,1000,2.11,0.00,0.00
duplicates_1000,16,1000,2.73,0.00,0.00
duplicates_1000,17,1000,1.98,0.00,0.00
duplicates_1000,18,1000,2.03,0.00,0.00
duplicates_1000,19,1000,2.00,0.00,0.00
duplicates_1000,20,1000,2.36,0.00,0.00
duplicates_1000,21,1000,2.12,0.00,0.00
duplicates_1000,22,1000,3.24,15.62,0.00
duplicates_1000,23,1000,2.00,0.00,0.00
duplicates_1000,24,1000,2.11,0.00,0.00
duplicates_1000,25,1000,2.76,0.00,0.00
duplicates_1000,26,1000,1.98,0.00,0.00
duplicates_1000,27,1000,2.00,0.00,0.00
duplicates_1000,28,1000,2.23,0.00,0.00
duplicates_1000,29,1000,2.39,0.00,0.00
duplicates_1000,30,1000,1.97,0.00,0.00
duplicates_5000,1,5000,13.56,15.62,0.00
duplicates_5000,2,5000,13.00,0.00,0.00
duplicates_5000,3,5000,13.12,15.62,0.00
duplicates_5000,4,5000,12.90,15.62,0.00
duplicates_5000,5,5000,13.91,15.62,0.00
duplicates_5000,6,5000,13.65,15.62,0.00
duplicates_5000,7,5000,13.14,15.62,0.00
duplicates_5000,8,5000,13.46,15.62,0.00
duplicates_5000,9,5000,12.96,15.62,0.00
duplicates_5000,10,5000,14.17,15.62,0.00
duplicates_5000,11,5000,13.04,15.62,0.00
duplicates_5000,12,5000,13.99,15.62,0.00
duplicates_5000,13,5000,14.33,15.62,0.00
duplicates_5000,14,5000,13.74,15.62,0.00
duplicates_5000,15,5000,14.00,0.00,0.00
duplicates_5000,16,5000,13.98,15.62,0.00
duplicates_5000,17,5000,14.37,15.62,0.00
duplicates_5000,18,5000,13.42,15.62,0.00
duplicates_5000,19,5000,13.67,15.62,0.00
duplicates_5000,20,5000,13.92,15.62,0.00
duplicates_5000,21,5000,14.13,15.62,0.00
duplicates_5000,22,5000,14.85,0.00,0.00
duplicates_5000,23,5000,13.56,15.62,0.00
duplicates_5000,24,5000,13.54,15.62,0.00
duplicates_5000,25,5000,13.41,15.62,0.00
duplicates_5000,26,5000,13.11,15.62,0.00
duplicates_5000,27,5000,26.09,31.25,0.00
duplicates_5000,28,5000,13.02,15.62,0.00
duplicates_5000,29,5000,13.01,15.62,0.00
duplicates_5000,30,5000,14.10,15.62,0.00
duplicates_10000,1,10000,27.84,31.25,0.00
duplicates_10000,2,10000,28.16,15.62,0.00
duplicates_10000,3,10000,29.73,31.25,0.00
duplicates_10000,4,10000,36.70,31.25,0.00
duplicates_10000,5,10000,28.92,31.25,0.00
duplicates_10000,6,10000,31.16,31.25,0.00
duplicates_10000,7,10000,34.08,31.25,0.00
duplicates_10000,8,10000,35.12,46.88,0.00
duplicates_10000,9,10000,28.51,15.62,0.00
duplicates_10000,10,10000,27.78,31.25,0.00
duplicates_10000,11,10000,28.42,31.25,0.00
duplicates_10000,12,10000,29.50,31.25,0.00
duplicates_10000,13,10000,29.19,31.25,0.00
duplicates_10000,14,10000,30.24,31.25,0.00
duplicates_10000,15,10000,29.93,31.25,0.00
duplicates_10000,16,10000,29.00,31.25,0.00
duplicates_10000,17,10000,28.67,31.25,0.00
duplicates_10000,18,10000,33.27,31.25,0.00
duplicates_10000,19,10000,28.92,31.25,0.00
duplicates_10000,20,10000,29.20,31.25,0.00
duplicates_10000,21,10000,28.82,31.25,0.00
duplicates_10000,22,10000,32.81,31.25,0.00
duplicates_10000,23,10000,30.56,31.25,0.00
duplicates_10000,24,10000,29.85,31.25,0.00
duplicates_10000,25,10000,31.35,31.25,0.00
duplicates_10000,26,10000,30.66,31.25,0.00
duplicates_10000,27,10000,31.34,31.25,0.00
duplicates_10000,28,10000,34.56,31.25,0.00
duplicates_10000,29,10000,30.09,31.25,0.00
duplicates_10000,30,10000,29.93,31.25,0.00
duplicates_50000,1,50000,172.82,171.88,0.00
duplicates_50000,2,50000,177.45,187.50,0.00
