dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,36.99,31.25,0.00
duplicates_1000,2,1000,34.14,46.88,0.00
duplicates_1000,3,1000,33.83,31.25,0.00
duplicates_1000,4,1000,35.70,31.25,0.00
duplicates_1000,5,1000,34.80,31.25,0.00
duplicates_1000,6,1000,33.54,31.25,0.00
duplicates_1000,7,1000,33.54,31.25,0.00
duplicates_1000,8,1000,34.61,31.25,0.00
duplicates_1000,9,1000,33.10,31.25,0.00
duplicates_1000,10,1000,34.48,31.25,0.00
duplicates_1000,11,1000,34.99,31.25,0.00
duplicates_1000,12,1000,34.21,31.25,0.00
duplicates_1000,13,1000,34.11,31.25,0.00
duplicates_1000,14,1000,33.17,46.88,0.00
duplicates_1000,15,1000,33.63,31.25,0.00
duplicates_1000,16,1000,34.17,31.25,0.00
duplicates_1000,17,1000,33.67,31.25,0.00
duplicates_1000,18,1000,35.33,31.25,0.00
duplicates_1000,19,1000,33.09,31.25,0.00
duplicates_1000,20,1000,33.32,31.25,0.00
duplicates_1000,21,1000,36.13,31.25,0.00
duplicates_1000,22,1000,33.54,31.25,0.00
duplicates_1000,23,1000,35.71,31.25,0.00
duplicates_1000,24,1000,33.95,31.25,0.00
duplicates_1000,25,1000,33.82,31.25,0.00
duplicates_1000,26,1000,33.38,31.25,0.00
duplicates_1000,27,1000,33.20,31.25,0.00
duplicates_1000,28,1000,39.20,46.88,0.00
duplicates_1000,29,1000,35.31,31.25,0.00
duplicates_1000,30,1000,36.07,46.88,0.00
duplicates_5000,1,5000,990.32,984.38,0.00
duplicates_5000,2,5000,877.08,875.00,0.00
duplicates_5000,3,5000,906.70,906.25,0.00
duplicates_5000,4,5000,859.68,859.38,0.00
duplicates_5000,5,5000,854.06,859.38,0.00
duplicates_5000,6,5000,886.77,890.62,0.00
duplicates_5000,7,5000,965.58,968.75,0.00
duplicates_5000,8,5000,959.65,953.12,0.00
duplicates_5000,9,5000,855.44,859.38,0.00
duplicates_5000,10,5000,857.76,843.75,0.00
duplicates_5000,11,5000,877.28,875.00,0.00
duplicates_5000,12,5000,947.01,937.50,0.00
duplicates_5000,13,5000,905.67,906.25,0.00
duplicates_5000,14,5000,935.25,937.50,0.00
duplicates_5000,15,5000,950.13,953.12,0.00
duplicates_5000,16,5000,947.82,953.12,0.00
duplicates_5000,17,5000,896.98,906.25,0.00
duplicates_5000,18,5000,939.73,937.50,0.00
duplicates_5000,19,5000,938.68,937.50,0.00
duplicates_5000,20,5000,957.09,968.75,0.00
duplicates_5000,21,5000,899.95,890.62,0.00
duplicates_5000,22,5000,928.50,906.25,0.00
duplicates_5000,23,5000,920.43,921.88,0.00
duplicates_5000,24,5000,924.97,921.88,0.00
duplicates_5000,25,5000,859.17,859.38,0.00
duplicates_5000,26,5000,930.18,937.50,0.00
duplicates_5000,27,5000,859.59,859.38,0.00
duplicates_5000,28,5000,959.22,953.12,0.00
duplicates_5000,29,5000,886.11,875.00,0.00
duplicates_5000,30,5000,878.48,890.62,0.00
duplicates_10000,1,10000,3678.41,3687.50,0.00
duplicates_10000,2,10000,3753.59,3750.00,0.00
duplicates_10000,3,10000,3563.04,3562.50,0.00
duplicates_10000,4,10000,3581.61,3562.50,0.00
duplicates_10000,5,10000,3805.09,3812.50,0.00
duplicates_10000,6,10000,3562.21,3531.25,0.00
duplicates_10000,7,10000,3528.45,3531.25,0.00
duplicates_10000,8,10000,3520.96,3531.25,0.00
duplicates_10000,9,10000,3531.29,3531.25,0.00
duplicates_10000,10,10000,3792.52,3796.88,0.00
duplicates_10000,11,10000,3800.13,3796.88,0.00
duplicates_10000,12,10000,3824.02,3828.12,0.00
duplicates_10000,13,10000,3803.76,3812.50,0.00
duplicates_10000,14,10000,3856.42,3859.38,0.00
duplicates_10000,15,10000,3927.77,3921.88,0.00
duplicates_10000,16,10000,3831.67,3828.12,0.00
duplicates_10000,17,10000,3812.72,3796.88,0.00
duplicates_10000,18,10000,3931.61,3906.25,0.00
duplicates_10000,19,10000,4074.29,4031.25,0.00
duplicates_10000,20,10000,3991.41,3984.38,68.00
duplicates_10000,21,10000,3578.93,3578.12,0.00
duplicates_10000,22,10000,3447.78,3437.50,0.00
duplicates_10000,23,10000,3538.92,3546.88,0.00
duplicates_10000,24,10000,3741.97,3734.38,0.00
duplicates_10000,25,10000,3731.31,3718.75,0.00
duplicates_10000,26,10000,3573.81,3578.12,0.00
duplicates_10000,27,10000,3490.27,3484.38,0.00
duplicates_10000,28,10000,3724.15,3718.75,0.00
duplicates_10000,29,10000,3738.99,3718.75,0.00
duplicates_10000,30,10000,3410.39,3390.62,0.00
duplicates_50000,1,50000,87829.72,87750.00,0.00
duplicates_50000,2,50000,87234.07,87156.25,0.00
