Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
duplicates_1000.csv,InsertionSort,1,67.365000,23.19,0.00
duplicates_1000.csv,InsertionSort,2,41.916800,18.64,0.00
duplicates_1000.csv,InsertionSort,3,54.079900,28.89,0.00
duplicates_1000.csv,InsertionSort,4,62.191200,25.12,0.00
duplicates_1000.csv,InsertionSort,5,89.000000,26.33,0.00
duplicates_1000.csv,InsertionSort,6,88.580800,22.05,0.00
duplicates_1000.csv,InsertionSort,7,90.662400,25.85,0.00
duplicates_1000.csv,InsertionSort,8,90.623200,25.86,0.00
duplicates_1000.csv,InsertionSort,9,93.704100,25.01,0.00
duplicates_1000.csv,InsertionSort,10,80.200100,24.35,0.00
duplicates_1000.csv,InsertionSort,11,90.885900,25.79,0.00
duplicates_1000.csv,InsertionSort,12,352.430400,9.98,0.00
duplicates_1000.csv,InsertionSort,13,144.383600,18.94,0.00
duplicates_1000.csv,InsertionSort,14,179.284300,15.25,0.00
duplicates_1000.csv,InsertionSort,15,181.864300,17.18,0.00
duplicates_1000.csv,InsertionSort,16,147.624100,10.58,0.00
duplicates_1000.csv,InsertionSort,17,104.542200,26.16,0.00
duplicates_1000.csv,InsertionSort,18,92.535700,25.33,0.00
duplicates_1000.csv,InsertionSort,19,146.957700,18.61,0.00
duplicates_1000.csv,InsertionSort,20,120.768500,22.64,0.00
duplicates_1000.csv,InsertionSort,21,91.544100,21.34,0.00
duplicates_1000.csv,InsertionSort,22,92.197000,25.42,0.00
duplicates_1000.csv,InsertionSort,23,111.988800,24.42,0.00
duplicates_1000.csv,InsertionSort,24,88.713100,17.61,0.00
duplicates_1000.csv,InsertionSort,25,54.291400,28.78,0.00
duplicates_1000.csv,InsertionSort,26,61.565700,25.38,0.00
duplicates_1000.csv,InsertionSort,27,50.534600,23.19,0.00
duplicates_1000.csv,InsertionSort,28,53.930000,28.97,0.00
duplicates_1000.csv,InsertionSort,29,51.983500,22.54,0.00
duplicates_1000.csv,InsertionSort,30,74.306000,26.28,0.00
duplicates_5000.csv,InsertionSort,1,2175.283800,24.60,0.00
duplicates_5000.csv,InsertionSort,2,1844.314200,24.99,0.00
duplicates_5000.csv,InsertionSort,3,2123.980900,25.01,0.00
duplicates_5000.csv,InsertionSort,4,2060.649300,25.02,0.00
duplicates_5000.csv,InsertionSort,5,2087.232600,25.08,0.00
duplicates_5000.csv,InsertionSort,6,2054.441200,24.91,0.00
duplicates_5000.csv,InsertionSort,7,2037.284800,24.93,0.00
duplicates_5000.csv,InsertionSort,8,2143.754100,24.96,0.00
duplicates_5000.csv,InsertionSort,9,2231.707200,24.50,0.00
duplicates_5000.csv,InsertionSort,10,2118.400200,24.71,0.00
duplicates_5000.csv,InsertionSort,11,1979.452300,25.06,0.00
duplicates_5000.csv,InsertionSort,12,2143.601200,24.97,0.00
duplicates_5000.csv,InsertionSort,13,2176.858400,25.12,0.04
duplicates_5000.csv,InsertionSort,14,2167.561300,24.87,0.00
duplicates_5000.csv,InsertionSort,15,2123.616900,24.83,0.00
duplicates_5000.csv,InsertionSort,16,2094.021500,25.00,0.00
duplicates_5000.csv,InsertionSort,17,2176.676000,24.94,0.00
duplicates_5000.csv,InsertionSort,18,2202.597200,25.01,0.00
duplicates_5000.csv,InsertionSort,19,2013.964700,25.02,0.00
duplicates_5000.csv,InsertionSort,20,2072.154500,25.07,0.00
duplicates_5000.csv,InsertionSort,21,2133.584900,24.90,0.00
duplicates_5000.csv,InsertionSort,22,2065.802200,24.96,0.00
duplicates_5000.csv,InsertionSort,23,2166.011900,24.89,0.00
duplicates_5000.csv,InsertionSort,24,2228.461100,24.89,0.00
duplicates_5000.csv,InsertionSort,25,2054.897600,25.09,0.00
duplicates_5000.csv,InsertionSort,26,2027.316200,25.05,0.00
duplicates_5000.csv,InsertionSort,27,2192.780500,24.94,0.00
duplicates_5000.csv,InsertionSort,28,2076.569200,25.02,0.00
duplicates_5000.csv,InsertionSort,29,2057.483600,25.06,0.00
duplicates_5000.csv,InsertionSort,30,2124.699400,25.00,0.00
duplicates_10000.csv,InsertionSort,1,8182.028000,24.97,0.00
duplicates_10000.csv,InsertionSort,2,8390.413200,25.00,0.00
duplicates_10000.csv,InsertionSort,3,8170.782300,25.00,0.00
duplicates_10000.csv,InsertionSort,4,8293.542800,25.01,0.00
duplicates_10000.csv,InsertionSort,5,8668.299700,25.01,0.00
duplicates_10000.csv,InsertionSort,6,8189.457400,24.80,0.00
duplicates_10000.csv,InsertionSort,7,8557.036100,25.02,0.00
duplicates_10000.csv,InsertionSort,8,7609.232100,25.00,0.00
duplicates_10000.csv,InsertionSort,9,7777.078500,25.01,0.00
duplicates_10000.csv,InsertionSort,10,7566.785100,24.99,0.00
duplicates_10000.csv,InsertionSort,11,7970.599400,24.99,0.00
duplicates_10000.csv,InsertionSort,12,7854.009700,24.97,0.00
duplicates_10000.csv,InsertionSort,13,7932.135000,24.92,0.00
duplicates_10000.csv,InsertionSort,14,8139.856500,25.00,0.00
duplicates_10000.csv,InsertionSort,15,7809.345600,24.96,0.00
duplicates_10000.csv,InsertionSort,16,8199.696400,24.92,0.00
duplicates_10000.csv,InsertionSort,17,7400.168200,25.02,0.00
duplicates_10000.csv,InsertionSort,18,7703.604700,25.00,0.00
duplicates_10000.csv,InsertionSort,19,7545.235100,25.01,0.00
duplicates_10000.csv,InsertionSort,20,7361.803300,24.99,0.00
duplicates_10000.csv,InsertionSort,21,8120.389900,24.77,0.00
duplicates_10000.csv,InsertionSort,22,7735.686100,25.05,0.00
duplicates_10000.csv,InsertionSort,23,8123.655100,25.00,0.00
duplicates_10000.csv,InsertionSort,24,7967.234900,25.00,0.00
duplicates_10000.csv,InsertionSort,25,7881.000500,24.98,0.00
duplicates_10000.csv,InsertionSort,26,7792.500200,25.01,0.00
duplicates_10000.csv,InsertionSort,27,8125.579500,25.00,0.00
duplicates_10000.csv,InsertionSort,28,8061.248400,24.81,0.00
duplicates_10000.csv,InsertionSort,29,8086.377800,24.97,0.00
duplicates_10000.csv,InsertionSort,30,7693.878700,24.98,0.04
duplicates_50000.csv,InsertionSort,1,197225.090400,24.86,0.00
duplicates_50000.csv,InsertionSort,2,188330.959800,24.97,0.00
