dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,2.50,0.00,40.00
duplicates_1000,2,1000,2.73,0.00,8.00
duplicates_1000,3,1000,2.37,0.00,8.00
duplicates_1000,4,1000,2.12,0.00,0.00
duplicates_1000,5,1000,2.20,0.00,116.00
duplicates_1000,6,1000,2.18,15.62,16.00
duplicates_1000,7,1000,2.12,0.00,0.00
duplicates_1000,8,1000,2.20,0.00,0.00
duplicates_1000,9,1000,2.34,0.00,0.00
duplicates_1000,10,1000,2.14,0.00,0.00
duplicates_1000,11,1000,2.14,0.00,0.00
duplicates_1000,12,1000,2.17,0.00,0.00
duplicates_1000,13,1000,2.55,0.00,0.00
duplicates_1000,14,1000,2.81,0.00,0.00
duplicates_1000,15,1000,2.14,0.00,80.00
duplicates_1000,16,1000,2.16,0.00,48.00
duplicates_1000,17,1000,2.22,0.00,32.00
duplicates_1000,18,1000,2.12,15.62,0.00
duplicates_1000,19,1000,2.11,0.00,0.00
duplicates_1000,20,1000,2.13,15.62,0.00
duplicates_1000,21,1000,2.51,0.00,0.00
duplicates_1000,22,1000,2.16,0.00,0.00
duplicates_1000,23,1000,2.12,0.00,0.00
duplicates_1000,24,1000,2.19,0.00,0.00
duplicates_1000,25,1000,2.19,0.00,140.00
duplicates_1000,26,1000,2.27,0.00,16.00
duplicates_1000,27,1000,2.27,0.00,0.00
duplicates_1000,28,1000,2.17,0.00,32.00
duplicates_1000,29,1000,2.19,0.00,0.00
duplicates_1000,30,1000,2.20,0.00,0.00
duplicates_5000,1,5000,14.49,0.00,92.00
duplicates_5000,2,5000,14.51,15.62,68.00
duplicates_5000,3,5000,13.67,15.62,120.00
duplicates_5000,4,5000,13.41,15.62,148.00
duplicates_5000,5,5000,28.22,31.25,184.00
duplicates_5000,6,5000,13.77,15.62,120.00
duplicates_5000,7,5000,13.25,15.62,148.00
duplicates_5000,8,5000,13.74,15.62,196.00
duplicates_5000,9,5000,14.17,15.62,136.00
duplicates_5000,10,5000,13.74,15.62,180.00
duplicates_5000,11,5000,13.78,15.62,168.00
duplicates_5000,12,5000,14.09,0.00,120.00
duplicates_5000,13,5000,14.05,15.62,148.00
duplicates_5000,14,5000,13.74,15.62,216.00
duplicates_5000,15,5000,13.96,15.62,232.00
duplicates_5000,16,5000,13.96,0.00,168.00
duplicates_5000,17,5000,15.61,15.62,136.00
duplicates_5000,18,5000,13.78,15.62,272.00
duplicates_5000,19,5000,14.98,15.62,228.00
duplicates_5000,20,5000,13.86,0.00,172.00
duplicates_5000,21,5000,13.69,15.62,224.00
duplicates_5000,22,5000,13.47,15.62,208.00
duplicates_5000,23,5000,13.70,15.62,196.00
duplicates_5000,24,5000,13.72,15.62,156.00
duplicates_5000,25,5000,13.36,15.62,148.00
duplicates_5000,26,5000,14.59,15.62,240.00
duplicates_5000,27,5000,13.23,15.62,224.00
duplicates_5000,28,5000,13.94,15.62,240.00
duplicates_5000,29,5000,14.43,15.62,196.00
duplicates_5000,30,5000,13.45,15.62,224.00
duplicates_10000,1,10000,28.68,31.25,64.00
duplicates_10000,2,10000,34.74,31.25,88.00
duplicates_10000,3,10000,29.66,31.25,44.00
duplicates_10000,4,10000,29.63,31.25,88.00
duplicates_10000,5,10000,31.80,31.25,76.00
duplicates_10000,6,10000,29.20,31.25,104.00
duplicates_10000,7,10000,30.16,31.25,44.00
duplicates_10000,8,10000,29.35,15.62,104.00
duplicates_10000,9,10000,29.50,31.25,44.00
duplicates_10000,10,10000,28.68,31.25,92.00
duplicates_10000,11,10000,31.41,31.25,44.00
duplicates_10000,12,10000,31.13,31.25,88.00
duplicates_10000,13,10000,31.08,15.62,44.00
duplicates_10000,14,10000,35.65,31.25,104.00
duplicates_10000,15,10000,30.97,31.25,44.00
duplicates_10000,16,10000,37.30,31.25,88.00
duplicates_10000,17,10000,38.11,31.25,60.00
duplicates_10000,18,10000,33.57,31.25,88.00
duplicates_10000,19,10000,37.32,31.25,44.00
duplicates_10000,20,10000,32.54,31.25,88.00
duplicates_10000,21,10000,28.78,31.25,92.00
duplicates_10000,22,10000,28.68,31.25,88.00
duplicates_10000,23,10000,36.76,31.25,76.00
duplicates_10000,24,10000,36.19,31.25,88.00
duplicates_10000,25,10000,32.28,46.88,92.00
duplicates_10000,26,10000,30.09,31.25,88.00
duplicates_10000,27,10000,45.19,31.25,76.00
duplicates_10000,28,10000,45.26,31.25,88.00
duplicates_10000,29,10000,29.42,31.25,76.00
duplicates_10000,30,10000,30.23,31.25,88.00
duplicates_50000,1,50000,185.08,187.50,524.00
duplicates_50000,2,50000,173.60,171.88,512.00
