Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
duplicates_1000.csv,IterativeQuickSort,1,4.785700,81.62,0.00
duplicates_1000.csv,IterativeQuickSort,2,4.798400,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,3,4.821900,81.01,0.00
duplicates_1000.csv,IterativeQuickSort,4,5.757400,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,5,5.219800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,6,5.162900,75.66,0.00
duplicates_1000.csv,IterativeQuickSort,7,3.856700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,8,4.832000,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,9,3.939300,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,10,5.364900,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,11,4.943200,79.02,0.00
duplicates_1000.csv,IterativeQuickSort,12,5.643700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,13,4.885800,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,14,5.083400,76.84,0.00
duplicates_1000.csv,IterativeQuickSort,15,4.914200,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,16,2.577700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,17,4.877000,80.10,0.00
duplicates_1000.csv,IterativeQuickSort,18,3.548200,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,19,4.083100,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,20,4.850200,80.54,0.00
duplicates_1000.csv,IterativeQuickSort,21,4.845200,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,22,4.046700,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,23,4.861300,80.35,0.00
duplicates_1000.csv,IterativeQuickSort,24,4.842600,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,25,7.067100,55.27,0.00
duplicates_1000.csv,IterativeQuickSort,26,5.635000,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,27,5.364300,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,28,4.897200,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,29,3.398000,0.00,0.00
duplicates_1000.csv,IterativeQuickSort,30,4.019600,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,1,11.815800,33.06,0.00
duplicates_5000.csv,IterativeQuickSort,2,27.511000,28.40,0.00
duplicates_5000.csv,IterativeQuickSort,3,27.517700,28.39,0.00
duplicates_5000.csv,IterativeQuickSort,4,21.768400,17.94,0.00
duplicates_5000.csv,IterativeQuickSort,5,25.350800,30.82,0.00
duplicates_5000.csv,IterativeQuickSort,6,18.575600,21.03,0.00
duplicates_5000.csv,IterativeQuickSort,7,27.815300,14.04,0.00
duplicates_5000.csv,IterativeQuickSort,8,27.346700,28.57,0.00
duplicates_5000.csv,IterativeQuickSort,9,12.542200,31.14,0.00
duplicates_5000.csv,IterativeQuickSort,10,27.343800,28.57,0.00
duplicates_5000.csv,IterativeQuickSort,11,31.166000,12.53,0.00
duplicates_5000.csv,IterativeQuickSort,12,19.831400,19.70,0.00
duplicates_5000.csv,IterativeQuickSort,13,12.753700,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,14,22.031900,35.46,0.00
duplicates_5000.csv,IterativeQuickSort,15,27.472300,28.44,0.00
duplicates_5000.csv,IterativeQuickSort,16,11.469300,34.06,0.00
duplicates_5000.csv,IterativeQuickSort,17,27.372800,14.27,0.00
duplicates_5000.csv,IterativeQuickSort,18,27.284300,14.32,0.00
duplicates_5000.csv,IterativeQuickSort,19,19.923900,39.21,0.00
duplicates_5000.csv,IterativeQuickSort,20,11.544800,0.00,0.00
duplicates_5000.csv,IterativeQuickSort,21,27.346200,14.28,0.00
duplicates_5000.csv,IterativeQuickSort,22,27.411000,28.50,0.00
duplicates_5000.csv,IterativeQuickSort,23,26.377300,29.62,0.00
duplicates_5000.csv,IterativeQuickSort,24,19.363700,20.17,0.00
duplicates_5000.csv,IterativeQuickSort,25,27.422900,28.49,0.00
duplicates_5000.csv,IterativeQuickSort,26,27.540200,28.37,0.00
duplicates_5000.csv,IterativeQuickSort,27,19.118300,20.43,0.00
duplicates_5000.csv,IterativeQuickSort,28,48.991100,31.89,0.00
duplicates_5000.csv,IterativeQuickSort,29,31.047400,25.16,0.00
duplicates_5000.csv,IterativeQuickSort,30,25.492000,15.32,0.00
duplicates_10000.csv,IterativeQuickSort,1,36.950900,31.71,0.00
duplicates_10000.csv,IterativeQuickSort,2,57.038300,27.39,0.00
duplicates_10000.csv,IterativeQuickSort,3,34.960500,22.35,0.00
duplicates_10000.csv,IterativeQuickSort,4,40.789600,28.73,0.00
duplicates_10000.csv,IterativeQuickSort,5,24.894400,31.38,0.00
