Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
duplicates_1000.csv,QuickSort,1,4.917200,0.00,0.00
duplicates_1000.csv,QuickSort,2,6.866800,56.89,0.00
duplicates_1000.csv,QuickSort,3,6.541600,0.00,0.00
duplicates_1000.csv,QuickSort,4,3.858900,101.23,0.00
duplicates_1000.csv,QuickSort,5,5.342100,0.00,0.00
duplicates_1000.csv,QuickSort,6,5.892300,66.29,0.00
duplicates_1000.csv,QuickSort,7,6.227600,0.00,0.00
duplicates_1000.csv,QuickSort,8,4.582900,85.24,0.00
duplicates_1000.csv,QuickSort,9,3.018000,0.00,0.00
duplicates_1000.csv,QuickSort,10,3.926000,0.00,0.00
duplicates_1000.csv,QuickSort,11,3.996000,0.00,0.00
duplicates_1000.csv,QuickSort,12,4.925700,0.00,0.00
duplicates_1000.csv,QuickSort,13,4.875200,0.00,0.00
duplicates_1000.csv,QuickSort,14,3.324800,117.49,0.00
duplicates_1000.csv,QuickSort,15,3.655500,0.00,0.00
duplicates_1000.csv,QuickSort,16,4.903500,0.00,0.00
duplicates_1000.csv,QuickSort,17,5.429200,71.95,0.00
duplicates_1000.csv,QuickSort,18,4.898100,0.00,0.00
duplicates_1000.csv,QuickSort,19,4.880200,0.00,0.00
duplicates_1000.csv,QuickSort,20,3.801300,102.76,0.00
duplicates_1000.csv,QuickSort,21,4.902700,0.00,0.00
duplicates_1000.csv,QuickSort,22,4.867500,0.00,0.00
duplicates_1000.csv,QuickSort,23,5.172400,75.52,0.00
duplicates_1000.csv,QuickSort,24,5.088500,0.00,0.00
duplicates_1000.csv,QuickSort,25,4.892500,0.00,0.00
duplicates_1000.csv,QuickSort,26,7.271900,0.00,0.00
duplicates_1000.csv,QuickSort,27,4.157200,0.00,0.00
duplicates_1000.csv,QuickSort,28,5.796300,67.39,0.00
duplicates_1000.csv,QuickSort,29,3.230700,0.00,0.00
duplicates_1000.csv,QuickSort,30,4.880400,0.00,0.00
duplicates_5000.csv,QuickSort,1,18.873200,41.39,0.00
duplicates_5000.csv,QuickSort,2,15.972100,24.46,0.00
