dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,2.52,0.00,0.00
duplicates_1000,2,1000,3.20,0.00,0.00
duplicates_1000,3,1000,2.52,0.00,0.00
duplicates_1000,4,1000,2.51,0.00,0.00
duplicates_1000,5,1000,2.57,0.00,0.00
duplicates_1000,6,1000,3.41,0.00,0.00
duplicates_1000,7,1000,2.52,0.00,0.00
duplicates_1000,8,1000,2.51,0.00,0.00
duplicates_1000,9,1000,3.03,0.00,0.00
duplicates_1000,10,1000,2.52,0.00,0.00
duplicates_1000,11,1000,2.95,0.00,0.00
duplicates_1000,12,1000,2.49,0.00,0.00
duplicates_1000,13,1000,2.60,15.62,0.00
duplicates_1000,14,1000,3.69,0.00,0.00
duplicates_1000,15,1000,2.70,0.00,0.00
duplicates_1000,16,1000,2.49,0.00,0.00
duplicates_1000,17,1000,2.52,0.00,0.00
duplicates_1000,18,1000,2.50,0.00,0.00
duplicates_1000,19,1000,3.08,0.00,0.00
duplicates_1000,20,1000,2.67,15.62,0.00
duplicates_1000,21,1000,2.66,15.62,0.00
duplicates_1000,22,1000,2.48,0.00,0.00
duplicates_1000,23,1000,2.53,0.00,0.00
duplicates_1000,24,1000,2.61,0.00,0.00
duplicates_1000,25,1000,2.98,0.00,0.00
duplicates_1000,26,1000,2.48,0.00,0.00
duplicates_1000,27,1000,2.48,0.00,0.00
duplicates_1000,28,1000,2.53,0.00,0.00
duplicates_1000,29,1000,2.48,0.00,0.00
duplicates_1000,30,1000,2.65,15.62,0.00
duplicates_5000,1,5000,16.75,15.62,0.00
duplicates_5000,2,5000,18.05,15.62,0.00
duplicates_5000,3,5000,17.18,15.62,0.00
duplicates_5000,4,5000,17.14,15.62,0.00
duplicates_5000,5,5000,19.75,15.62,0.00
duplicates_5000,6,5000,17.82,15.62,0.00
duplicates_5000,7,5000,16.35,15.62,0.00
duplicates_5000,8,5000,17.53,15.62,0.00
duplicates_5000,9,5000,16.61,15.62,0.00
duplicates_5000,10,5000,16.38,15.62,0.00
duplicates_5000,11,5000,16.47,15.62,0.00
duplicates_5000,12,5000,18.27,15.62,0.00
duplicates_5000,13,5000,17.92,15.62,0.00
duplicates_5000,14,5000,19.55,31.25,0.00
duplicates_5000,15,5000,17.29,15.62,0.00
duplicates_5000,16,5000,17.19,15.62,0.00
duplicates_5000,17,5000,19.77,15.62,0.00
duplicates_5000,18,5000,17.50,31.25,0.00
duplicates_5000,19,5000,16.97,15.62,0.00
duplicates_5000,20,5000,17.99,15.62,0.00
duplicates_5000,21,5000,16.71,15.62,0.00
duplicates_5000,22,5000,17.00,15.62,0.00
duplicates_5000,23,5000,17.10,15.62,0.00
duplicates_5000,24,5000,17.34,15.62,0.00
duplicates_5000,25,5000,16.98,15.62,0.00
duplicates_5000,26,5000,17.38,15.62,0.00
duplicates_5000,27,5000,16.18,15.62,0.00
duplicates_5000,28,5000,16.22,15.62,0.00
duplicates_5000,29,5000,17.05,15.62,0.00
duplicates_5000,30,5000,16.21,15.62,0.00
duplicates_10000,1,10000,36.33,46.88,0.00
duplicates_10000,2,10000,36.68,31.25,0.00
duplicates_10000,3,10000,41.01,46.88,0.00
duplicates_10000,4,10000,49.09,46.88,0.00
duplicates_10000,5,10000,35.22,31.25,0.00
duplicates_10000,6,10000,42.41,46.88,0.00
duplicates_10000,7,10000,41.12,31.25,0.00
duplicates_10000,8,10000,35.80,46.88,0.00
duplicates_10000,9,10000,35.18,31.25,0.00
duplicates_10000,10,10000,35.88,31.25,0.00
duplicates_10000,11,10000,35.87,31.25,0.00
duplicates_10000,12,10000,36.10,31.25,0.00
duplicates_10000,13,10000,36.36,46.88,0.00
duplicates_10000,14,10000,39.58,46.88,0.00
duplicates_10000,15,10000,36.88,46.88,0.00
duplicates_10000,16,10000,36.09,46.88,0.00
duplicates_10000,17,10000,39.99,46.88,0.00
duplicates_10000,18,10000,38.79,46.88,0.00
duplicates_10000,19,10000,36.00,46.88,0.00
duplicates_10000,20,10000,37.52,46.88,0.00
duplicates_10000,21,10000,37.90,46.88,0.00
duplicates_10000,22,10000,40.45,31.25,0.00
duplicates_10000,23,10000,37.92,31.25,0.00
duplicates_10000,24,10000,38.44,31.25,0.00
duplicates_10000,25,10000,37.81,31.25,0.00
duplicates_10000,26,10000,37.31,31.25,0.00
duplicates_10000,27,10000,43.59,46.88,0.00
duplicates_10000,28,10000,44.44,46.88,0.00
duplicates_10000,29,10000,36.37,46.88,0.00
duplicates_10000,30,10000,35.67,46.88,0.00
duplicates_50000,1,50000,230.70,218.75,0.00
duplicates_50000,2,50000,232.77,234.38,0.00
