dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,2.27,0.00,8.00
duplicates_1000,2,1000,1.79,0.00,64.00
duplicates_1000,3,1000,1.80,0.00,32.00
duplicates_1000,4,1000,1.78,0.00,0.00
duplicates_1000,5,1000,1.94,0.00,440.00
duplicates_1000,6,1000,1.80,0.00,8.00
duplicates_1000,7,1000,3.06,0.00,32.00
duplicates_1000,8,1000,1.79,0.00,0.00
duplicates_1000,9,1000,1.72,15.62,0.00
duplicates_1000,10,1000,1.76,0.00,0.00
duplicates_1000,11,1000,1.75,0.00,0.00
duplicates_1000,12,1000,1.86,0.00,0.00
duplicates_1000,13,1000,1.77,0.00,0.00
duplicates_1000,14,1000,1.74,0.00,0.00
duplicates_1000,15,1000,1.93,0.00,408.00
duplicates_1000,16,1000,1.81,15.62,56.00
duplicates_1000,17,1000,1.74,0.00,0.00
duplicates_1000,18,1000,2.21,0.00,0.00
duplicates_1000,19,1000,1.87,0.00,0.00
duplicates_1000,20,1000,1.75,0.00,0.00
duplicates_1000,21,1000,1.72,0.00,0.00
duplicates_1000,22,1000,1.89,0.00,0.00
duplicates_1000,23,1000,1.72,0.00,0.00
duplicates_1000,24,1000,1.80,0.00,0.00
duplicates_1000,25,1000,2.11,15.62,444.00
duplicates_1000,26,1000,2.30,0.00,40.00
duplicates_1000,27,1000,1.82,15.62,0.00
duplicates_1000,28,1000,1.73,0.00,0.00
duplicates_1000,29,1000,1.76,0.00,0.00
duplicates_1000,30,1000,2.08,0.00,0.00
duplicates_5000,1,5000,11.10,15.62,896.00
duplicates_5000,2,5000,11.38,15.62,1104.00
duplicates_5000,3,5000,12.65,15.62,1108.00
duplicates_5000,4,5000,11.54,15.62,1272.00
duplicates_5000,5,5000,14.88,15.62,1384.00
duplicates_5000,6,5000,11.81,15.62,1444.00
duplicates_5000,7,5000,11.70,15.62,1416.00
duplicates_5000,8,5000,11.48,0.00,1388.00
duplicates_5000,9,5000,12.53,15.62,1448.00
duplicates_5000,10,5000,10.96,0.00,1412.00
duplicates_5000,11,5000,12.10,0.00,1440.00
duplicates_5000,12,5000,11.89,15.62,1476.00
duplicates_5000,13,5000,11.46,15.62,1448.00
duplicates_5000,14,5000,11.01,15.62,1356.00
duplicates_5000,15,5000,11.36,15.62,1352.00
duplicates_5000,16,5000,16.74,15.62,1412.00
duplicates_5000,17,5000,11.62,0.00,1472.00
duplicates_5000,18,5000,11.73,15.62,1476.00
duplicates_5000,19,5000,11.06,0.00,1464.00
duplicates_5000,20,5000,10.91,15.62,1540.00
duplicates_5000,21,5000,11.53,15.62,1504.00
duplicates_5000,22,5000,11.44,0.00,1508.00
duplicates_5000,23,5000,11.06,15.62,1496.00
duplicates_5000,24,5000,10.87,15.62,1572.00
duplicates_5000,25,5000,11.55,15.62,1568.00
duplicates_5000,26,5000,11.85,0.00,1508.00
duplicates_5000,27,5000,11.76,0.00,1432.00
duplicates_5000,28,5000,11.93,15.62,1476.00
duplicates_5000,29,5000,15.07,15.62,1472.00
duplicates_5000,30,5000,11.17,15.62,1476.00
duplicates_10000,1,10000,22.81,15.62,1860.00
duplicates_10000,2,10000,24.82,15.62,1788.00
duplicates_10000,3,10000,23.66,31.25,1836.00
duplicates_10000,4,10000,23.83,15.62,1812.00
duplicates_10000,5,10000,25.37,15.62,1844.00
duplicates_10000,6,10000,24.68,31.25,1836.00
duplicates_10000,7,10000,23.38,15.62,1884.00
duplicates_10000,8,10000,23.68,31.25,1836.00
duplicates_10000,9,10000,23.86,15.62,1836.00
duplicates_10000,10,10000,24.08,15.62,1836.00
duplicates_10000,11,10000,24.12,31.25,1884.00
duplicates_10000,12,10000,23.89,31.25,1836.00
duplicates_10000,13,10000,36.64,46.88,1852.00
duplicates_10000,14,10000,28.12,31.25,1812.00
duplicates_10000,15,10000,23.80,31.25,1876.00
duplicates_10000,16,10000,29.36,31.25,1844.00
duplicates_10000,17,10000,31.46,31.25,1876.00
duplicates_10000,18,10000,27.35,0.00,1804.00
duplicates_10000,19,10000,33.99,31.25,1876.00
duplicates_10000,20,10000,23.36,31.25,1764.00
duplicates_10000,21,10000,23.65,15.62,1788.00
duplicates_10000,22,10000,25.06,31.25,1756.00
duplicates_10000,23,10000,24.10,15.62,1804.00
duplicates_10000,24,10000,25.55,31.25,1756.00
duplicates_10000,25,10000,26.46,31.25,1796.00
duplicates_10000,26,10000,22.86,15.62,1788.00
duplicates_10000,27,10000,27.93,31.25,1796.00
duplicates_10000,28,10000,24.61,31.25,1788.00
duplicates_10000,29,10000,24.74,15.62,1828.00
duplicates_10000,30,10000,24.77,31.25,1796.00
duplicates_50000,1,50000,131.07,109.38,3740.00
duplicates_50000,2,50000,141.38,125.00,3740.00
