dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,22.38,31.25,0.00
duplicates_1000,2,1000,20.67,31.25,0.00
duplicates_1000,3,1000,18.82,15.62,0.00
duplicates_1000,4,1000,18.74,15.62,0.00
duplicates_1000,5,1000,18.61,15.62,0.00
duplicates_1000,6,1000,19.29,15.62,0.00
duplicates_1000,7,1000,19.10,31.25,0.00
duplicates_1000,8,1000,20.16,15.62,0.00
duplicates_1000,9,1000,19.03,15.62,0.00
duplicates_1000,10,1000,19.34,15.62,0.00
duplicates_1000,11,1000,18.80,15.62,0.00
duplicates_1000,12,1000,19.41,15.62,0.00
duplicates_1000,13,1000,18.54,15.62,0.00
duplicates_1000,14,1000,18.52,15.62,0.00
duplicates_1000,15,1000,19.08,15.62,0.00
duplicates_1000,16,1000,19.14,15.62,0.00
duplicates_1000,17,1000,20.46,15.62,0.00
duplicates_1000,18,1000,18.57,15.62,0.00
duplicates_1000,19,1000,18.83,31.25,0.00
duplicates_1000,20,1000,18.72,15.62,0.00
duplicates_1000,21,1000,34.76,31.25,0.00
duplicates_1000,22,1000,20.63,15.62,0.00
duplicates_1000,23,1000,19.10,15.62,0.00
duplicates_1000,24,1000,18.39,15.62,0.00
duplicates_1000,25,1000,18.53,15.62,0.00
duplicates_1000,26,1000,18.94,15.62,0.00
duplicates_1000,27,1000,19.21,15.62,0.00
duplicates_1000,28,1000,18.49,15.62,0.00
duplicates_1000,29,1000,18.74,15.62,0.00
duplicates_1000,30,1000,18.96,15.62,0.00
duplicates_5000,1,5000,523.81,515.62,0.00
duplicates_5000,2,5000,547.96,546.88,0.00
duplicates_5000,3,5000,524.51,531.25,0.00
duplicates_5000,4,5000,538.97,531.25,0.00
duplicates_5000,5,5000,511.17,484.38,0.00
duplicates_5000,6,5000,531.14,531.25,0.00
duplicates_5000,7,5000,511.60,515.62,0.00
duplicates_5000,8,5000,526.91,531.25,0.00
duplicates_5000,9,5000,473.15,468.75,0.00
duplicates_5000,10,5000,483.72,468.75,0.00
duplicates_5000,11,5000,470.57,468.75,0.00
duplicates_5000,12,5000,504.69,500.00,0.00
duplicates_5000,13,5000,520.22,531.25,0.00
duplicates_5000,14,5000,476.04,484.38,0.00
duplicates_5000,15,5000,511.94,515.62,0.00
duplicates_5000,16,5000,540.67,546.88,0.00
duplicates_5000,17,5000,537.00,546.88,0.00
duplicates_5000,18,5000,516.87,515.62,0.00
duplicates_5000,19,5000,474.32,468.75,0.00
duplicates_5000,20,5000,543.88,531.25,0.00
duplicates_5000,21,5000,510.08,515.62,0.00
duplicates_5000,22,5000,528.80,531.25,0.00
duplicates_5000,23,5000,525.91,531.25,0.00
duplicates_5000,24,5000,505.27,500.00,0.00
duplicates_5000,25,5000,481.65,484.38,0.00
duplicates_5000,26,5000,473.26,468.75,0.00
duplicates_5000,27,5000,488.66,484.38,0.00
duplicates_5000,28,5000,473.91,468.75,0.00
duplicates_5000,29,5000,528.32,531.25,0.00
duplicates_5000,30,5000,485.41,484.38,0.00
duplicates_10000,1,10000,1933.14,1937.50,0.00
duplicates_10000,2,10000,2103.80,2093.75,0.00
duplicates_10000,3,10000,1959.92,1968.75,0.00
duplicates_10000,4,10000,1983.06,1984.38,0.00
duplicates_10000,5,10000,1923.08,1921.88,0.00
duplicates_10000,6,10000,2018.89,2015.62,0.00
duplicates_10000,7,10000,2075.30,2062.50,0.00
duplicates_10000,8,10000,1968.05,1968.75,0.00
duplicates_10000,9,10000,1888.82,1890.62,0.00
duplicates_10000,10,10000,2121.84,2109.38,0.00
duplicates_10000,11,10000,1936.00,1906.25,0.00
duplicates_10000,12,10000,1969.39,1968.75,0.00
duplicates_10000,13,10000,2063.04,2062.50,0.00
duplicates_10000,14,10000,2245.87,2250.00,0.00
duplicates_10000,15,10000,2147.80,2140.62,0.00
duplicates_10000,16,10000,2281.78,2281.25,0.00
duplicates_10000,17,10000,2260.44,2234.38,0.00
duplicates_10000,18,10000,2103.82,2109.38,0.00
duplicates_10000,19,10000,2289.57,2281.25,0.00
duplicates_10000,20,10000,2297.50,2296.88,0.00
duplicates_10000,21,10000,2372.04,2359.38,0.00
duplicates_10000,22,10000,2148.72,2125.00,0.00
duplicates_10000,23,10000,2134.38,2125.00,0.00
duplicates_10000,24,10000,2113.84,2109.38,0.00
duplicates_10000,25,10000,1906.69,1906.25,0.00
duplicates_10000,26,10000,1940.14,1953.12,0.00
duplicates_10000,27,10000,2103.16,2078.12,0.00
duplicates_10000,28,10000,1921.59,1906.25,0.00
duplicates_10000,29,10000,1966.49,1968.75,0.00
duplicates_10000,30,10000,2042.71,2046.88,0.00
duplicates_50000,1,50000,51041.51,50703.12,0.00
duplicates_50000,2,50000,48964.40,48953.12,0.00
