dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,22.48,31.25,0.00
randomArrays,1,783,95.11,93.75,0.00
randomArrays,1,464,26.62,15.62,0.00
randomArrays,1,267,6.98,0.00,0.00
randomArrays,1,828,91.40,93.75,0.00
randomArrays,1,607,41.09,31.25,0.00
randomArrays,1,319,11.97,0.00,0.00
randomArrays,1,431,20.06,15.62,0.00
randomArrays,1,941,108.97,109.38,0.00
randomArrays,1,937,128.78,125.00,0.00
randomArrays,1,619,41.57,46.88,0.00
randomArrays,1,370,13.16,15.62,0.00
randomArrays,1,478,26.88,15.62,0.00
randomArrays,1,107,1.08,0.00,0.00
randomArrays,1,910,94.20,93.75,0.00
randomArrays,1,381,15.53,15.62,0.00
randomArrays,1,699,62.26,62.50,0.00
randomArrays,1,452,26.31,31.25,0.00
randomArrays,1,882,107.26,109.38,0.00
randomArrays,1,697,48.52,62.50,0.00
randomArrays,1,39,0.21,0.00,0.00
randomArrays,1,382,13.24,15.62,0.00
randomArrays,1,980,134.72,140.62,0.00
randomArrays,1,202,5.25,0.00,0.00
randomArrays,1,674,47.39,46.88,0.00
randomArrays,1,184,3.80,0.00,0.00
randomArrays,1,853,93.14,93.75,0.00
randomArrays,1,101,0.82,0.00,0.00
randomArrays,1,329,8.77,0.00,0.00
randomArrays,1,837,86.15,78.12,0.00
randomArrays,1,952,88.67,93.75,0.00
randomArrays,1,676,65.02,78.12,0.00
randomArrays,1,248,7.88,0.00,0.00
randomArrays,1,845,76.75,78.12,0.00
randomArrays,1,707,69.65,62.50,0.00
randomArrays,1,458,28.63,31.25,0.00
randomArrays,1,219,5.04,0.00,0.00
randomArrays,1,268,6.21,15.62,0.00
randomArrays,1,201,4.75,0.00,0.00
randomArrays,1,520,30.97,31.25,0.00
randomArrays,1,832,67.74,62.50,0.00
randomArrays,1,800,75.20,78.12,0.00
randomArrays,1,753,68.80,78.12,0.00
randomArrays,1,286,9.00,0.00,0.00
randomArrays,1,841,87.91,93.75,0.00
randomArrays,1,240,5.65,0.00,0.00
randomArrays,1,370,15.23,15.62,0.00
randomArrays,1,287,8.57,0.00,0.00
randomArrays,1,89,0.98,0.00,0.00
randomArrays,1,881,112.79,109.38,0.00
randomArrays,1,187,3.33,15.62,0.00
randomArrays,1,373,15.50,15.62,0.00
randomArrays,1,194,3.98,0.00,0.00
randomArrays,1,382,15.65,15.62,0.00
randomArrays,1,826,84.33,93.75,0.00
randomArrays,1,781,81.64,78.12,0.00
randomArrays,1,814,90.97,93.75,0.00
randomArrays,1,525,27.88,31.25,0.00
randomArrays,1,136,1.43,0.00,0.00
randomArrays,1,454,23.86,31.25,0.00
randomArrays,1,563,41.40,31.25,0.00
randomArrays,1,226,5.19,15.62,0.00
randomArrays,1,345,10.78,15.62,0.00
randomArrays,1,514,29.44,15.62,0.00
randomArrays,1,871,90.77,93.75,0.00
randomArrays,1,939,91.87,78.12,0.00
randomArrays,1,397,20.57,15.62,0.00
randomArrays,1,429,17.42,15.62,0.00
randomArrays,1,421,24.08,31.25,0.00
randomArrays,1,747,63.87,62.50,0.00
randomArrays,1,19,0.05,0.00,0.00
randomArrays,1,74,0.53,0.00,0.00
randomArrays,1,259,7.34,0.00,0.00
randomArrays,1,846,89.00,78.12,0.00
