dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,23.09,0.00,8.00
randomArrays,1,783,62.66,62.50,0.00
randomArrays,1,464,26.40,31.25,0.00
randomArrays,1,267,7.81,15.62,0.00
randomArrays,1,828,92.30,78.12,0.00
randomArrays,1,607,47.21,46.88,0.00
randomArrays,1,319,12.20,15.62,0.00
randomArrays,1,431,22.19,31.25,0.00
randomArrays,1,941,107.66,109.38,0.00
randomArrays,1,937,105.19,109.38,0.00
randomArrays,1,619,43.82,46.88,0.00
randomArrays,1,370,12.25,15.62,0.00
randomArrays,1,478,23.78,31.25,0.00
randomArrays,1,107,1.38,0.00,0.00
randomArrays,1,910,100.09,109.38,0.00
randomArrays,1,381,16.16,15.62,0.00
randomArrays,1,699,57.90,62.50,0.00
randomArrays,1,452,26.61,15.62,0.00
randomArrays,1,882,101.80,93.75,0.00
randomArrays,1,697,61.28,62.50,0.00
randomArrays,1,39,0.21,0.00,0.00
randomArrays,1,382,19.94,15.62,0.00
randomArrays,1,980,118.72,109.38,0.00
randomArrays,1,202,5.64,0.00,0.00
randomArrays,1,674,58.29,62.50,0.00
randomArrays,1,184,4.07,15.62,0.00
randomArrays,1,853,94.52,93.75,0.00
randomArrays,1,101,1.04,0.00,0.00
randomArrays,1,329,12.32,15.62,0.00
randomArrays,1,837,97.52,109.38,0.00
randomArrays,1,952,115.74,109.38,0.00
randomArrays,1,676,52.18,62.50,0.00
randomArrays,1,248,5.88,15.62,0.00
randomArrays,1,845,88.16,93.75,0.00
randomArrays,1,707,58.72,62.50,0.00
randomArrays,1,458,29.88,31.25,0.00
randomArrays,1,219,6.74,0.00,0.00
randomArrays,1,268,6.17,15.62,0.00
randomArrays,1,201,3.51,0.00,0.00
randomArrays,1,520,30.19,31.25,0.00
randomArrays,1,832,74.60,78.12,0.00
randomArrays,1,800,61.41,62.50,0.00
randomArrays,1,753,75.19,62.50,0.00
randomArrays,1,286,9.37,15.62,0.00
randomArrays,1,841,91.61,78.12,0.00
randomArrays,1,240,5.93,15.62,0.00
randomArrays,1,370,14.81,15.62,0.00
randomArrays,1,287,9.23,15.62,0.00
randomArrays,1,89,0.88,0.00,0.00
randomArrays,1,881,98.13,93.75,0.00
randomArrays,1,187,4.50,0.00,0.00
randomArrays,1,373,15.75,15.62,0.00
randomArrays,1,194,4.35,0.00,0.00
randomArrays,1,382,16.94,15.62,0.00
randomArrays,1,826,86.47,78.12,0.00
randomArrays,1,781,78.29,78.12,0.00
randomArrays,1,814,80.18,78.12,0.00
randomArrays,1,525,42.59,46.88,0.00
randomArrays,1,136,1.45,0.00,0.00
randomArrays,1,454,21.18,15.62,0.00
randomArrays,1,563,37.73,46.88,0.00
randomArrays,1,226,6.06,15.62,0.00
randomArrays,1,345,11.00,0.00,0.00
randomArrays,1,514,35.85,31.25,0.00
randomArrays,1,871,88.62,93.75,0.00
randomArrays,1,939,113.53,125.00,0.00
randomArrays,1,397,22.95,31.25,0.00
randomArrays,1,429,19.57,15.62,0.00
randomArrays,1,421,19.53,15.62,0.00
randomArrays,1,747,76.41,78.12,0.00
randomArrays,1,19,0.08,0.00,0.00
randomArrays,1,74,0.56,0.00,0.00
randomArrays,1,259,7.02,15.62,0.00
randomArrays,1,846,103.47,109.38,0.00
randomArrays,1,789,68.09,78.12,0.00
randomArrays,1,671,56.73,62.50,0.00
randomArrays,1,368,15.52,15.62,0.00
randomArrays,1,448,25.31,31.25,0.00
randomArrays,1,237,5.84,15.62,0.00
randomArrays,1,627,75.75,62.50,0.00
randomArrays,1,584,37.11,31.25,0.00
randomArrays,1,328,10.19,0.00,0.00
randomArrays,1,606,36.97,31.25,0.00
randomArrays,1,563,39.94,31.25,0.00
randomArrays,1,774,58.83,62.50,0.00
randomArrays,1,206,5.32,15.62,0.00
randomArrays,1,907,102.80,93.75,0.00
randomArrays,1,37,0.21,0.00,0.00
randomArrays,1,878,112.78,125.00,0.00
randomArrays,1,284,7.02,0.00,0.00
randomArrays,1,853,91.92,78.12,0.00
randomArrays,1,247,6.08,15.62,0.00
randomArrays,1,241,6.73,0.00,0.00
randomArrays,1,348,15.42,15.62,0.00
randomArrays,1,814,88.75,93.75,0.00
randomArrays,1,245,5.15,0.00,0.00
randomArrays,1,335,11.38,15.62,0.00
randomArrays,1,497,29.63,31.25,0.00
randomArrays,1,280,9.03,0.00,0.00
randomArrays,1,664,55.47,62.50,0.00
randomArrays,1,523,34.04,31.25,0.00
randomArrays,1,841,91.42,93.75,0.00
randomArrays,1,290,8.72,0.00,0.00
randomArrays,1,158,2.64,0.00,0.00
randomArrays,1,783,81.19,78.12,0.00
randomArrays,1,638,53.08,46.88,0.00
randomArrays,1,314,14.01,15.62,0.00
randomArrays,1,484,21.35,15.62,0.00
randomArrays,1,972,116.63,109.38,0.00
randomArrays,1,652,49.35,46.88,0.00
randomArrays,1,543,35.58,15.62,0.00
randomArrays,1,487,28.61,31.25,0.00
randomArrays,1,686,59.72,62.50,0.00
randomArrays,1,183,5.06,0.00,0.00
randomArrays,1,572,43.94,46.88,0.00
randomArrays,1,747,80.61,78.12,0.00
randomArrays,1,780,77.36,78.12,0.00
randomArrays,1,828,82.60,78.12,0.00
randomArrays,1,591,45.68,31.25,0.00
randomArrays,1,415,27.28,31.25,0.00
randomArrays,1,648,55.28,46.88,0.00
randomArrays,1,204,4.93,0.00,0.00
randomArrays,1,510,44.06,46.88,0.00
randomArrays,1,422,16.97,15.62,0.00
randomArrays,1,541,32.09,31.25,0.00
randomArrays,1,875,89.67,93.75,0.00
randomArrays,1,742,60.48,62.50,0.00
randomArrays,1,384,17.13,15.62,0.00
randomArrays,1,266,5.92,0.00,0.00
randomArrays,1,137,2.21,0.00,0.00
