dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,0.82,0.00,4.00
randomArrays,1,783,1.63,0.00,0.00
randomArrays,1,464,0.80,0.00,0.00
randomArrays,1,267,0.40,0.00,0.00
randomArrays,1,828,1.57,0.00,0.00
randomArrays,1,607,1.12,15.62,0.00
randomArrays,1,319,0.50,0.00,0.00
randomArrays,1,431,0.74,0.00,0.00
randomArrays,1,941,2.05,0.00,0.00
randomArrays,1,937,2.51,0.00,0.00
randomArrays,1,619,1.51,0.00,0.00
randomArrays,1,370,0.62,0.00,0.00
randomArrays,1,478,0.89,0.00,0.00
randomArrays,1,107,0.14,0.00,0.00
randomArrays,1,910,1.79,0.00,0.00
randomArrays,1,381,0.66,0.00,0.00
randomArrays,1,699,1.30,0.00,0.00
randomArrays,1,452,0.79,0.00,0.00
randomArrays,1,882,2.26,0.00,0.00
randomArrays,1,697,1.29,0.00,0.00
randomArrays,1,39,0.07,0.00,0.00
randomArrays,1,382,0.64,0.00,0.00
randomArrays,1,980,4.33,0.00,0.00
randomArrays,1,202,0.38,0.00,0.00
randomArrays,1,674,1.28,0.00,0.00
randomArrays,1,184,0.57,0.00,0.00
randomArrays,1,853,2.38,0.00,0.00
randomArrays,1,101,0.14,0.00,0.00
randomArrays,1,329,0.63,0.00,0.00
randomArrays,1,837,1.73,0.00,0.00
randomArrays,1,952,2.19,0.00,0.00
randomArrays,1,676,1.83,0.00,0.00
randomArrays,1,248,0.36,0.00,0.00
randomArrays,1,845,2.30,0.00,0.00
randomArrays,1,707,1.53,0.00,0.00
randomArrays,1,458,0.84,0.00,0.00
randomArrays,1,219,0.32,0.00,0.00
randomArrays,1,268,0.46,0.00,0.00
randomArrays,1,201,0.30,0.00,0.00
randomArrays,1,520,0.92,0.00,0.00
randomArrays,1,832,2.20,15.62,0.00
randomArrays,1,800,1.59,0.00,0.00
randomArrays,1,753,1.81,0.00,0.00
randomArrays,1,286,0.55,0.00,0.00
randomArrays,1,841,1.75,0.00,0.00
randomArrays,1,240,0.37,0.00,0.00
randomArrays,1,370,0.62,0.00,0.00
randomArrays,1,287,0.45,0.00,0.00
randomArrays,1,89,0.22,0.00,0.00
randomArrays,1,881,1.73,0.00,0.00
randomArrays,1,187,0.37,0.00,0.00
randomArrays,1,373,0.69,0.00,0.00
randomArrays,1,194,0.27,0.00,0.00
randomArrays,1,382,0.69,0.00,0.00
randomArrays,1,826,1.60,0.00,0.00
randomArrays,1,781,1.60,0.00,0.00
randomArrays,1,814,1.59,0.00,0.00
randomArrays,1,525,1.03,0.00,0.00
randomArrays,1,136,0.20,0.00,0.00
randomArrays,1,454,0.92,0.00,0.00
randomArrays,1,563,1.02,0.00,0.00
randomArrays,1,226,0.33,0.00,0.00
randomArrays,1,345,0.64,0.00,0.00
randomArrays,1,514,0.89,0.00,0.00
randomArrays,1,871,2.33,0.00,0.00
randomArrays,1,939,1.87,0.00,0.00
randomArrays,1,397,0.77,0.00,0.00
randomArrays,1,429,0.80,0.00,0.00
randomArrays,1,421,0.74,0.00,0.00
randomArrays,1,747,1.42,0.00,0.00
randomArrays,1,19,0.04,0.00,0.00
randomArrays,1,74,0.09,0.00,0.00
randomArrays,1,259,0.39,0.00,0.00
randomArrays,1,846,2.36,15.62,0.00
randomArrays,1,789,2.21,0.00,0.00
randomArrays,1,671,1.23,0.00,0.00
randomArrays,1,368,0.91,0.00,0.00
randomArrays,1,448,0.77,0.00,0.00
randomArrays,1,237,0.51,0.00,0.00
randomArrays,1,627,1.67,0.00,0.00
randomArrays,1,584,2.80,0.00,0.00
randomArrays,1,328,0.68,0.00,0.00
randomArrays,1,606,1.81,0.00,0.00
randomArrays,1,563,1.97,0.00,0.00
randomArrays,1,774,2.10,0.00,0.00
randomArrays,1,206,0.61,0.00,0.00
randomArrays,1,907,2.01,0.00,0.00
randomArrays,1,37,0.05,0.00,0.00
randomArrays,1,878,1.92,0.00,0.00
randomArrays,1,284,0.67,0.00,0.00
randomArrays,1,853,2.12,0.00,0.00
randomArrays,1,247,0.61,0.00,0.00
