dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,6.65,0.00,0.00
randomArrays,1,783,20.91,15.62,0.00
randomArrays,1,464,8.28,0.00,0.00
randomArrays,1,267,1.88,0.00,0.00
randomArrays,1,828,44.35,31.25,0.00
randomArrays,1,607,21.62,15.62,0.00
randomArrays,1,319,2.89,15.62,0.00
randomArrays,1,431,5.71,0.00,0.00
randomArrays,1,941,30.09,31.25,0.00
randomArrays,1,937,29.69,31.25,0.00
randomArrays,1,619,12.72,15.62,0.00
randomArrays,1,370,4.32,0.00,0.00
randomArrays,1,478,7.01,15.62,0.00
randomArrays,1,107,0.29,0.00,0.00
randomArrays,1,910,27.86,15.62,0.00
randomArrays,1,381,4.29,0.00,0.00
randomArrays,1,699,15.77,15.62,0.00
randomArrays,1,452,6.65,0.00,0.00
randomArrays,1,882,25.40,31.25,0.00
randomArrays,1,697,15.87,15.62,0.00
randomArrays,1,39,0.06,0.00,0.00
randomArrays,1,382,5.02,0.00,0.00
randomArrays,1,980,31.20,31.25,0.00
randomArrays,1,202,1.02,0.00,0.00
randomArrays,1,674,14.21,15.62,0.00
randomArrays,1,184,2.80,0.00,0.00
randomArrays,1,853,24.30,31.25,0.00
randomArrays,1,101,0.28,0.00,0.00
randomArrays,1,329,3.41,0.00,0.00
randomArrays,1,837,26.67,15.62,0.00
randomArrays,1,952,43.66,31.25,0.00
randomArrays,1,676,15.24,15.62,0.00
randomArrays,1,248,5.11,0.00,0.00
randomArrays,1,845,32.64,31.25,0.00
randomArrays,1,707,16.75,15.62,0.00
randomArrays,1,458,6.87,0.00,0.00
randomArrays,1,219,1.35,0.00,0.00
randomArrays,1,268,2.56,0.00,0.00
randomArrays,1,201,1.10,0.00,0.00
randomArrays,1,520,10.33,0.00,0.00
randomArrays,1,832,23.26,15.62,0.00
randomArrays,1,800,23.69,31.25,0.00
randomArrays,1,753,20.11,15.62,0.00
randomArrays,1,286,2.25,0.00,0.00
randomArrays,1,841,24.51,15.62,0.00
randomArrays,1,240,1.41,0.00,0.00
randomArrays,1,370,4.65,0.00,0.00
randomArrays,1,287,2.40,0.00,0.00
randomArrays,1,89,0.23,0.00,0.00
randomArrays,1,881,29.88,31.25,0.00
randomArrays,1,187,0.92,0.00,0.00
randomArrays,1,373,4.18,15.62,0.00
randomArrays,1,194,0.97,0.00,0.00
randomArrays,1,382,4.44,0.00,0.00
randomArrays,1,826,22.65,15.62,0.00
randomArrays,1,781,20.37,15.62,0.00
randomArrays,1,814,22.61,31.25,0.00
randomArrays,1,525,8.48,15.62,0.00
randomArrays,1,136,0.47,0.00,0.00
randomArrays,1,454,7.60,0.00,0.00
randomArrays,1,563,9.68,0.00,0.00
randomArrays,1,226,1.34,0.00,0.00
randomArrays,1,345,3.51,15.62,0.00
randomArrays,1,514,8.78,0.00,0.00
randomArrays,1,871,24.74,31.25,0.00
randomArrays,1,939,30.67,31.25,0.00
randomArrays,1,397,4.69,0.00,0.00
randomArrays,1,429,6.48,0.00,0.00
randomArrays,1,421,5.60,0.00,0.00
randomArrays,1,747,18.30,31.25,0.00
randomArrays,1,19,0.02,0.00,0.00
randomArrays,1,74,0.17,0.00,0.00
randomArrays,1,259,2.11,0.00,0.00
randomArrays,1,846,23.58,15.62,0.00
randomArrays,1,789,20.42,15.62,0.00
randomArrays,1,671,15.70,15.62,0.00
randomArrays,1,368,4.35,0.00,0.00
randomArrays,1,448,6.43,0.00,0.00
randomArrays,1,237,1.49,0.00,0.00
randomArrays,1,627,12.53,0.00,0.00
randomArrays,1,584,11.33,0.00,0.00
randomArrays,1,328,3.05,0.00,0.00
randomArrays,1,606,11.56,15.62,0.00
randomArrays,1,563,9.87,15.62,0.00
randomArrays,1,774,19.34,15.62,0.00
randomArrays,1,206,1.07,0.00,0.00
randomArrays,1,907,27.67,31.25,0.00
randomArrays,1,37,0.05,0.00,0.00
randomArrays,1,878,24.99,15.62,0.00
randomArrays,1,284,2.60,0.00,0.00
randomArrays,1,853,25.00,15.62,0.00
randomArrays,1,247,1.60,0.00,0.00
randomArrays,1,241,1.82,0.00,0.00
randomArrays,1,348,4.24,0.00,0.00
randomArrays,1,814,22.97,15.62,0.00
randomArrays,1,245,1.57,0.00,0.00
randomArrays,1,335,3.12,15.62,0.00
randomArrays,1,497,7.47,0.00,0.00
randomArrays,1,280,2.02,0.00,0.00
randomArrays,1,664,13.91,15.62,0.00
randomArrays,1,523,9.17,15.62,0.00
randomArrays,1,841,22.69,15.62,0.00
