Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,InsertionSort,1,20.997700,18.60,0.00
randomArrays.txt,InsertionSort,2,11.766200,33.20,0.00
randomArrays.txt,InsertionSort,3,19.532900,20.00,0.00
randomArrays.txt,InsertionSort,1,40.240900,19.41,0.00
randomArrays.txt,InsertionSort,2,58.531200,26.70,0.00
randomArrays.txt,InsertionSort,3,56.001200,20.93,0.00
randomArrays.txt,InsertionSort,1,19.904400,19.63,0.00
randomArrays.txt,InsertionSort,2,11.953100,32.68,0.00
randomArrays.txt,InsertionSort,3,11.465200,34.07,0.00
randomArrays.txt,InsertionSort,1,6.489300,60.20,0.00
randomArrays.txt,InsertionSort,2,6.463500,0.00,0.00
randomArrays.txt,InsertionSort,3,41.677600,9.37,0.00
randomArrays.txt,InsertionSort,1,88.849100,21.98,0.00
randomArrays.txt,InsertionSort,2,48.224900,24.30,0.00
randomArrays.txt,InsertionSort,3,63.760900,24.51,0.00
randomArrays.txt,InsertionSort,1,27.928500,27.97,0.00
randomArrays.txt,InsertionSort,2,27.166200,14.38,0.00
randomArrays.txt,InsertionSort,3,33.908100,34.56,0.00
randomArrays.txt,InsertionSort,1,7.376600,0.00,0.00
randomArrays.txt,InsertionSort,2,7.474600,52.26,0.00
randomArrays.txt,InsertionSort,3,4.973200,0.00,0.00
randomArrays.txt,InsertionSort,1,15.188400,25.72,0.00
randomArrays.txt,InsertionSort,2,19.876100,19.65,0.00
randomArrays.txt,InsertionSort,3,9.042200,43.20,0.00
randomArrays.txt,InsertionSort,1,58.435200,20.05,0.00
randomArrays.txt,InsertionSort,2,58.526800,26.70,0.00
randomArrays.txt,InsertionSort,3,53.865800,21.76,0.00
randomArrays.txt,InsertionSort,1,53.153100,29.40,0.00
randomArrays.txt,InsertionSort,2,68.723300,22.74,0.00
randomArrays.txt,InsertionSort,3,81.770400,23.89,0.00
randomArrays.txt,InsertionSort,1,17.979700,21.73,0.00
randomArrays.txt,InsertionSort,2,20.645900,18.92,0.00
randomArrays.txt,InsertionSort,3,25.133900,31.08,0.00
randomArrays.txt,InsertionSort,1,8.261200,47.28,0.00
randomArrays.txt,InsertionSort,2,12.122200,32.22,0.00
randomArrays.txt,InsertionSort,3,8.482200,0.00,0.00
randomArrays.txt,InsertionSort,1,8.449000,0.00,0.00
randomArrays.txt,InsertionSort,2,19.621800,39.82,0.00
randomArrays.txt,InsertionSort,3,16.259200,24.02,0.00
randomArrays.txt,InsertionSort,1,0.908500,0.00,0.00
randomArrays.txt,InsertionSort,2,1.165100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.965300,0.00,0.00
randomArrays.txt,InsertionSort,1,61.913100,25.24,0.00
randomArrays.txt,InsertionSort,2,74.404300,26.25,0.00
randomArrays.txt,InsertionSort,3,73.051100,21.39,0.00
randomArrays.txt,InsertionSort,1,5.924900,0.00,0.00
randomArrays.txt,InsertionSort,2,14.432000,27.07,0.00
randomArrays.txt,InsertionSort,3,13.235000,29.51,0.00
randomArrays.txt,InsertionSort,1,23.647700,33.04,0.00
randomArrays.txt,InsertionSort,2,29.191800,13.38,0.00
randomArrays.txt,InsertionSort,3,27.775300,14.06,0.00
randomArrays.txt,InsertionSort,1,13.668800,28.58,0.00
randomArrays.txt,InsertionSort,2,19.146300,20.40,0.00
randomArrays.txt,InsertionSort,3,8.822900,0.00,0.00
randomArrays.txt,InsertionSort,1,37.803100,31.00,0.00
randomArrays.txt,InsertionSort,2,37.465600,20.85,0.00
randomArrays.txt,InsertionSort,3,69.096900,28.27,0.00
randomArrays.txt,InsertionSort,1,29.192300,13.38,0.00
randomArrays.txt,InsertionSort,2,33.225400,23.51,0.00
randomArrays.txt,InsertionSort,3,44.178100,26.53,0.00
randomArrays.txt,InsertionSort,1,0.098800,0.00,0.00
randomArrays.txt,InsertionSort,2,0.236300,0.00,0.00
randomArrays.txt,InsertionSort,3,0.169000,0.00,0.00
randomArrays.txt,InsertionSort,1,11.602300,0.00,0.00
randomArrays.txt,InsertionSort,2,14.001000,27.90,0.00
randomArrays.txt,InsertionSort,3,10.682200,36.57,0.00
randomArrays.txt,InsertionSort,1,58.690300,19.97,0.00
randomArrays.txt,InsertionSort,2,43.263100,27.09,0.00
randomArrays.txt,InsertionSort,3,92.087400,25.45,0.00
randomArrays.txt,InsertionSort,1,3.080200,0.00,0.00
randomArrays.txt,InsertionSort,2,1.978000,0.00,0.00
randomArrays.txt,InsertionSort,3,2.245600,0.00,0.00
randomArrays.txt,InsertionSort,1,40.162600,19.45,0.00
randomArrays.txt,InsertionSort,2,29.599500,26.39,0.00
randomArrays.txt,InsertionSort,3,19.041600,20.51,0.00
randomArrays.txt,InsertionSort,1,1.978500,0.00,0.00
randomArrays.txt,InsertionSort,2,3.332500,0.00,0.00
randomArrays.txt,InsertionSort,3,2.228900,0.00,0.00
randomArrays.txt,InsertionSort,1,47.993000,24.42,0.00
randomArrays.txt,InsertionSort,2,35.439500,22.04,0.00
randomArrays.txt,InsertionSort,3,52.121000,29.98,0.00
randomArrays.txt,InsertionSort,1,0.882200,0.00,0.00
randomArrays.txt,InsertionSort,2,0.921100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.920600,0.00,0.00
randomArrays.txt,InsertionSort,1,12.752700,30.63,0.00
randomArrays.txt,InsertionSort,2,7.164200,0.00,0.00
randomArrays.txt,InsertionSort,3,4.702900,0.00,0.00
randomArrays.txt,InsertionSort,1,41.729100,28.08,0.00
randomArrays.txt,InsertionSort,2,29.815200,26.20,0.00
randomArrays.txt,InsertionSort,3,69.504000,22.48,0.00
randomArrays.txt,InsertionSort,1,79.495700,14.74,0.00
randomArrays.txt,InsertionSort,2,82.772100,28.32,0.00
randomArrays.txt,InsertionSort,3,81.924900,23.84,0.00
randomArrays.txt,InsertionSort,1,25.986300,30.06,0.00
randomArrays.txt,InsertionSort,2,34.976000,22.34,0.00
randomArrays.txt,InsertionSort,3,24.301900,32.15,0.00
randomArrays.txt,InsertionSort,1,5.906600,66.13,0.00
randomArrays.txt,InsertionSort,2,5.446600,0.00,0.00
randomArrays.txt,InsertionSort,3,4.568700,0.00,0.00
randomArrays.txt,InsertionSort,1,47.915700,24.46,0.00
randomArrays.txt,InsertionSort,2,66.409100,23.53,0.00
randomArrays.txt,InsertionSort,3,65.870400,23.72,0.00
randomArrays.txt,InsertionSort,1,50.970800,22.99,0.00
randomArrays.txt,InsertionSort,2,22.983300,17.00,0.00
randomArrays.txt,InsertionSort,3,27.543100,28.36,0.00
randomArrays.txt,InsertionSort,1,28.220900,27.68,0.00
randomArrays.txt,InsertionSort,2,47.355700,24.75,0.00
randomArrays.txt,InsertionSort,3,31.780500,24.58,0.00
randomArrays.txt,InsertionSort,1,4.836600,0.00,0.00
randomArrays.txt,InsertionSort,2,4.959400,0.00,0.00
randomArrays.txt,InsertionSort,3,5.672700,0.00,0.00
randomArrays.txt,InsertionSort,1,5.115500,76.36,0.00
randomArrays.txt,InsertionSort,2,6.983000,0.00,0.00
randomArrays.txt,InsertionSort,3,4.638300,0.00,0.00
randomArrays.txt,InsertionSort,1,3.036000,0.00,0.00
randomArrays.txt,InsertionSort,2,4.184800,0.00,0.00
randomArrays.txt,InsertionSort,3,2.555700,152.84,0.00
randomArrays.txt,InsertionSort,1,17.050000,22.91,0.00
randomArrays.txt,InsertionSort,2,26.368900,14.81,0.00
randomArrays.txt,InsertionSort,3,20.670300,37.80,0.00
randomArrays.txt,InsertionSort,1,51.360000,22.82,0.00
randomArrays.txt,InsertionSort,2,59.246700,26.37,0.00
randomArrays.txt,InsertionSort,3,64.430700,24.25,0.00
randomArrays.txt,InsertionSort,1,60.103500,26.00,0.00
randomArrays.txt,InsertionSort,2,37.165700,31.53,0.00
randomArrays.txt,InsertionSort,3,59.577300,26.23,0.00
randomArrays.txt,InsertionSort,1,27.863800,28.04,0.00
randomArrays.txt,InsertionSort,2,28.716900,27.21,0.00
randomArrays.txt,InsertionSort,3,29.547600,26.44,0.00
randomArrays.txt,InsertionSort,1,10.809200,36.14,0.00
randomArrays.txt,InsertionSort,2,5.113200,0.00,0.00
randomArrays.txt,InsertionSort,3,8.780900,44.49,0.00
randomArrays.txt,InsertionSort,1,46.477700,25.21,0.00
randomArrays.txt,InsertionSort,2,43.433500,26.98,0.00
randomArrays.txt,InsertionSort,3,44.558300,26.30,0.00
randomArrays.txt,InsertionSort,1,4.911200,0.00,0.00
randomArrays.txt,InsertionSort,2,4.824800,80.96,0.00
randomArrays.txt,InsertionSort,3,5.685700,0.00,0.00
randomArrays.txt,InsertionSort,1,8.796500,44.41,0.00
randomArrays.txt,InsertionSort,2,11.746200,0.00,0.00
randomArrays.txt,InsertionSort,3,13.651400,28.61,0.00
randomArrays.txt,InsertionSort,1,5.413900,0.00,0.00
randomArrays.txt,InsertionSort,2,7.488200,0.00,0.00
randomArrays.txt,InsertionSort,3,7.614300,0.00,0.00
randomArrays.txt,InsertionSort,1,0.551600,0.00,0.00
randomArrays.txt,InsertionSort,2,0.497600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.507300,0.00,0.00
randomArrays.txt,InsertionSort,1,41.077900,28.53,0.00
randomArrays.txt,InsertionSort,2,42.141300,18.54,0.00
randomArrays.txt,InsertionSort,3,75.196600,25.97,0.00
randomArrays.txt,InsertionSort,1,3.283100,118.98,0.00
randomArrays.txt,InsertionSort,2,1.889100,0.00,0.00
randomArrays.txt,InsertionSort,3,3.339500,0.00,0.00
randomArrays.txt,InsertionSort,1,19.358900,20.18,0.00
randomArrays.txt,InsertionSort,2,13.751100,28.41,0.00
randomArrays.txt,InsertionSort,3,11.340000,34.45,0.00
randomArrays.txt,InsertionSort,1,2.291200,0.00,0.00
randomArrays.txt,InsertionSort,2,2.379500,164.16,0.00
randomArrays.txt,InsertionSort,3,3.127000,0.00,0.00
randomArrays.txt,InsertionSort,1,13.084900,0.00,0.00
randomArrays.txt,InsertionSort,2,7.467200,52.31,0.00
randomArrays.txt,InsertionSort,3,8.174800,0.00,0.00
randomArrays.txt,InsertionSort,1,34.481800,33.99,0.00
randomArrays.txt,InsertionSort,2,58.987900,19.87,0.00
randomArrays.txt,InsertionSort,3,50.794600,30.76,0.00
randomArrays.txt,InsertionSort,1,52.363400,29.84,0.00
randomArrays.txt,InsertionSort,2,44.868700,26.12,0.00
randomArrays.txt,InsertionSort,3,48.800800,24.01,0.00
randomArrays.txt,InsertionSort,1,50.773100,30.77,0.00
randomArrays.txt,InsertionSort,2,53.128900,22.06,0.00
randomArrays.txt,InsertionSort,3,44.254600,26.48,0.00
randomArrays.txt,InsertionSort,1,24.706200,31.62,0.00
randomArrays.txt,InsertionSort,2,18.234000,21.42,0.00
randomArrays.txt,InsertionSort,3,21.460400,36.40,0.00
randomArrays.txt,InsertionSort,1,1.562700,0.00,0.00
randomArrays.txt,InsertionSort,2,1.562500,0.00,0.00
randomArrays.txt,InsertionSort,3,1.534500,0.00,0.00
randomArrays.txt,InsertionSort,1,14.886600,26.24,0.00
randomArrays.txt,InsertionSort,2,43.892200,8.90,0.00
randomArrays.txt,InsertionSort,3,9.371100,0.00,0.00
randomArrays.txt,InsertionSort,1,19.274700,20.27,0.00
randomArrays.txt,InsertionSort,2,29.510000,26.47,0.00
randomArrays.txt,InsertionSort,3,39.709100,19.67,0.00
randomArrays.txt,InsertionSort,1,2.634600,0.00,0.00
randomArrays.txt,InsertionSort,2,2.437800,0.00,0.00
randomArrays.txt,InsertionSort,3,4.677000,83.52,0.00
randomArrays.txt,InsertionSort,1,5.373400,0.00,0.00
randomArrays.txt,InsertionSort,2,5.483300,0.00,0.00
randomArrays.txt,InsertionSort,3,5.942200,65.74,0.00
randomArrays.txt,InsertionSort,1,11.223700,34.80,0.00
randomArrays.txt,InsertionSort,2,11.200700,34.88,0.00
randomArrays.txt,InsertionSort,3,23.124100,16.89,0.00
randomArrays.txt,InsertionSort,1,53.155100,29.40,0.00
randomArrays.txt,InsertionSort,2,57.746000,20.29,0.00
randomArrays.txt,InsertionSort,3,49.153100,31.79,0.00
randomArrays.txt,InsertionSort,1,67.315600,29.01,0.00
randomArrays.txt,InsertionSort,2,79.949400,24.43,0.00
randomArrays.txt,InsertionSort,3,60.618100,25.78,0.00
randomArrays.txt,InsertionSort,1,14.404700,27.12,0.00
randomArrays.txt,InsertionSort,2,15.743000,24.81,0.00
randomArrays.txt,InsertionSort,3,11.373700,34.34,0.00
randomArrays.txt,InsertionSort,1,15.633600,24.99,0.00
randomArrays.txt,InsertionSort,2,14.269300,27.38,0.00
randomArrays.txt,InsertionSort,3,16.899800,23.11,0.00
randomArrays.txt,InsertionSort,1,16.035900,24.36,0.00
randomArrays.txt,InsertionSort,2,19.048900,41.01,0.00
randomArrays.txt,InsertionSort,3,17.391400,22.46,0.00
randomArrays.txt,InsertionSort,1,53.316900,29.31,0.00
randomArrays.txt,InsertionSort,2,50.085800,23.40,0.00
randomArrays.txt,InsertionSort,3,50.776300,23.08,0.00
randomArrays.txt,InsertionSort,1,0.037300,0.00,0.00
randomArrays.txt,InsertionSort,2,0.076600,0.00,0.00
randomArrays.txt,InsertionSort,3,0.049500,0.00,0.00
randomArrays.txt,InsertionSort,1,0.478000,0.00,0.00
randomArrays.txt,InsertionSort,2,0.542500,0.00,0.00
randomArrays.txt,InsertionSort,3,0.883900,0.00,0.00
randomArrays.txt,InsertionSort,1,3.315800,0.00,0.00
randomArrays.txt,InsertionSort,2,46.881600,8.33,0.00
randomArrays.txt,InsertionSort,3,9.815300,0.00,0.00
randomArrays.txt,InsertionSort,1,71.473600,27.33,0.00
randomArrays.txt,InsertionSort,2,68.642800,22.76,0.00
randomArrays.txt,InsertionSort,3,63.023100,24.79,0.00
randomArrays.txt,InsertionSort,1,69.868800,22.36,0.00
randomArrays.txt,InsertionSort,2,80.119400,24.38,0.00
randomArrays.txt,InsertionSort,3,92.627600,21.09,0.00
randomArrays.txt,InsertionSort,1,37.180600,31.52,0.00
randomArrays.txt,InsertionSort,2,31.868000,24.52,0.00
randomArrays.txt,InsertionSort,3,28.378400,27.53,0.00
randomArrays.txt,InsertionSort,1,12.281700,31.81,0.00
randomArrays.txt,InsertionSort,2,7.033400,55.54,0.00
randomArrays.txt,InsertionSort,3,9.934300,0.00,0.00
randomArrays.txt,InsertionSort,1,18.384400,21.25,0.00
randomArrays.txt,InsertionSort,2,7.794800,50.11,0.00
randomArrays.txt,InsertionSort,3,11.107400,35.17,0.00
randomArrays.txt,InsertionSort,1,5.265700,0.00,0.00
randomArrays.txt,InsertionSort,2,5.263400,74.22,0.00
randomArrays.txt,InsertionSort,3,5.169200,0.00,0.00
randomArrays.txt,InsertionSort,1,20.404200,38.29,0.00
randomArrays.txt,InsertionSort,2,30.228900,25.84,0.00
randomArrays.txt,InsertionSort,3,32.559400,23.99,0.00
randomArrays.txt,InsertionSort,1,21.693500,18.01,0.00
randomArrays.txt,InsertionSort,2,29.691700,26.31,0.00
randomArrays.txt,InsertionSort,3,14.922700,26.18,0.00
randomArrays.txt,InsertionSort,1,7.317600,53.38,0.00
randomArrays.txt,InsertionSort,2,10.501700,37.20,0.00
randomArrays.txt,InsertionSort,3,7.916200,0.00,0.00
randomArrays.txt,InsertionSort,1,35.391300,22.07,0.00
randomArrays.txt,InsertionSort,2,30.189900,25.88,0.00
randomArrays.txt,InsertionSort,3,33.796700,23.12,0.00
randomArrays.txt,InsertionSort,1,22.731400,17.18,0.00
randomArrays.txt,InsertionSort,2,15.688000,24.90,0.00
randomArrays.txt,InsertionSort,3,15.631200,24.99,0.00
randomArrays.txt,InsertionSort,1,45.231100,25.91,0.00
randomArrays.txt,InsertionSort,2,39.765600,29.47,0.00
randomArrays.txt,InsertionSort,3,85.630200,22.81,0.00
randomArrays.txt,InsertionSort,1,1.765900,0.00,0.00
randomArrays.txt,InsertionSort,2,3.440600,0.00,0.00
randomArrays.txt,InsertionSort,3,2.029500,0.00,0.00
randomArrays.txt,InsertionSort,1,96.828000,24.21,0.00
randomArrays.txt,InsertionSort,2,59.728700,19.62,0.00
randomArrays.txt,InsertionSort,3,49.374300,31.65,0.00
randomArrays.txt,InsertionSort,1,0.073500,0.00,0.00
randomArrays.txt,InsertionSort,2,0.118100,0.00,0.00
randomArrays.txt,InsertionSort,3,0.116300,0.00,0.00
randomArrays.txt,InsertionSort,1,68.745700,22.73,0.00
randomArrays.txt,InsertionSort,2,50.284000,23.31,0.00
randomArrays.txt,InsertionSort,3,47.303700,24.77,0.00
randomArrays.txt,InsertionSort,1,7.466800,52.31,0.00
randomArrays.txt,InsertionSort,2,3.619300,0.00,0.00
randomArrays.txt,InsertionSort,3,7.417000,52.67,0.00
randomArrays.txt,InsertionSort,1,42.252000,27.74,0.00
randomArrays.txt,InsertionSort,2,67.143500,23.27,0.00
randomArrays.txt,InsertionSort,3,69.156500,28.24,0.00
randomArrays.txt,InsertionSort,1,4.043300,0.00,0.00
randomArrays.txt,InsertionSort,2,4.050300,0.00,0.00
randomArrays.txt,InsertionSort,3,6.865700,0.00,0.00
randomArrays.txt,InsertionSort,1,5.160000,0.00,0.00
randomArrays.txt,InsertionSort,2,2.470600,0.00,0.00
randomArrays.txt,InsertionSort,3,4.476900,87.25,0.00
randomArrays.txt,InsertionSort,1,10.643300,0.00,0.00
randomArrays.txt,InsertionSort,2,10.655000,36.66,0.00
randomArrays.txt,InsertionSort,3,9.379000,41.65,0.00
randomArrays.txt,InsertionSort,1,40.080500,29.24,0.00
randomArrays.txt,InsertionSort,2,61.552600,25.38,0.00
randomArrays.txt,InsertionSort,3,61.683400,25.33,0.00
randomArrays.txt,InsertionSort,1,5.511200,0.00,0.00
randomArrays.txt,InsertionSort,2,5.412800,0.00,0.00
randomArrays.txt,InsertionSort,3,5.419800,0.00,0.00
randomArrays.txt,InsertionSort,1,7.777400,50.23,0.00
randomArrays.txt,InsertionSort,2,8.699800,0.00,0.00
randomArrays.txt,InsertionSort,3,10.645000,36.70,0.00
randomArrays.txt,InsertionSort,1,23.352600,33.45,0.00
randomArrays.txt,InsertionSort,2,15.172300,25.75,0.00
randomArrays.txt,InsertionSort,3,18.972100,20.59,0.00
randomArrays.txt,InsertionSort,1,6.929500,0.00,0.00
randomArrays.txt,InsertionSort,2,6.538300,0.00,0.00
randomArrays.txt,InsertionSort,3,6.701200,0.00,0.00
randomArrays.txt,InsertionSort,1,34.338300,34.13,0.00
randomArrays.txt,InsertionSort,2,28.717000,27.21,0.00
randomArrays.txt,InsertionSort,3,54.613700,21.46,0.00
randomArrays.txt,InsertionSort,1,20.717300,37.71,0.00
randomArrays.txt,InsertionSort,2,18.153900,21.52,0.00
randomArrays.txt,InsertionSort,3,15.916500,24.54,0.00
randomArrays.txt,InsertionSort,1,45.544900,17.15,0.00
randomArrays.txt,InsertionSort,2,61.513800,19.05,0.00
randomArrays.txt,InsertionSort,3,64.357200,24.28,0.00
randomArrays.txt,InsertionSort,1,7.546400,51.76,0.00
randomArrays.txt,InsertionSort,2,3.998200,0.00,0.00
randomArrays.txt,InsertionSort,3,6.796800,0.00,0.00
randomArrays.txt,InsertionSort,1,2.449300,0.00,0.00
randomArrays.txt,InsertionSort,2,1.443100,0.00,0.00
randomArrays.txt,InsertionSort,3,2.328900,167.73,0.00
randomArrays.txt,InsertionSort,1,49.015400,7.97,0.00
randomArrays.txt,InsertionSort,2,46.700400,25.09,0.00
randomArrays.txt,InsertionSort,3,60.298900,25.91,0.00
randomArrays.txt,InsertionSort,1,23.063300,33.87,0.00
randomArrays.txt,InsertionSort,2,26.875400,29.07,0.00
randomArrays.txt,InsertionSort,3,24.824600,15.74,0.00
randomArrays.txt,InsertionSort,1,7.558700,0.00,0.00
randomArrays.txt,InsertionSort,2,13.585400,0.00,0.00
randomArrays.txt,InsertionSort,3,10.450400,37.38,0.00
randomArrays.txt,InsertionSort,1,21.088300,18.52,0.00
randomArrays.txt,InsertionSort,2,23.060400,33.88,0.00
randomArrays.txt,InsertionSort,3,22.194700,17.60,0.00
randomArrays.txt,InsertionSort,1,95.813200,24.46,0.00
randomArrays.txt,InsertionSort,2,73.599400,26.54,0.00
randomArrays.txt,InsertionSort,3,59.618500,19.66,0.00
randomArrays.txt,InsertionSort,1,27.534000,28.37,0.00
randomArrays.txt,InsertionSort,2,28.216600,13.84,0.00
randomArrays.txt,InsertionSort,3,20.872400,18.71,0.00
randomArrays.txt,InsertionSort,1,16.778900,23.28,0.00
randomArrays.txt,InsertionSort,2,19.823500,19.71,0.00
randomArrays.txt,InsertionSort,3,19.257700,20.28,0.00
randomArrays.txt,InsertionSort,1,24.290300,16.08,0.00
randomArrays.txt,InsertionSort,2,13.853300,28.20,0.00
randomArrays.txt,InsertionSort,3,12.812300,30.49,0.00
randomArrays.txt,InsertionSort,1,48.440400,24.19,0.00
randomArrays.txt,InsertionSort,2,26.793700,29.16,0.00
randomArrays.txt,InsertionSort,3,48.299100,24.26,0.00
randomArrays.txt,InsertionSort,1,2.962900,0.00,0.00
randomArrays.txt,InsertionSort,2,3.015200,129.55,0.00
randomArrays.txt,InsertionSort,3,2.890200,0.00,0.00
randomArrays.txt,InsertionSort,1,17.961400,21.75,0.00
randomArrays.txt,InsertionSort,2,32.159300,24.29,0.00
randomArrays.txt,InsertionSort,3,17.330000,22.54,0.00
randomArrays.txt,InsertionSort,1,35.977800,21.71,0.00
randomArrays.txt,InsertionSort,2,41.636600,28.15,0.00
randomArrays.txt,InsertionSort,3,39.703200,19.68,0.00
randomArrays.txt,InsertionSort,1,51.586500,30.29,0.00
randomArrays.txt,InsertionSort,2,51.784800,22.63,0.00
randomArrays.txt,InsertionSort,3,54.832700,21.37,0.00
randomArrays.txt,InsertionSort,1,50.206500,23.34,0.00
randomArrays.txt,InsertionSort,2,28.214100,13.85,0.00
randomArrays.txt,InsertionSort,3,60.480600,25.83,0.00
randomArrays.txt,InsertionSort,1,31.091200,25.13,0.00
randomArrays.txt,InsertionSort,2,19.080000,40.95,0.00
randomArrays.txt,InsertionSort,3,24.911100,15.68,0.00
randomArrays.txt,InsertionSort,1,6.641400,0.00,0.00
randomArrays.txt,InsertionSort,2,17.513600,22.30,0.00
randomArrays.txt,InsertionSort,3,9.445200,41.36,0.00
randomArrays.txt,InsertionSort,1,42.447100,27.61,0.00
randomArrays.txt,InsertionSort,2,38.670800,20.20,0.00
randomArrays.txt,InsertionSort,3,27.161800,28.76,0.00
randomArrays.txt,InsertionSort,1,3.408700,0.00,0.00
randomArrays.txt,InsertionSort,2,5.791100,0.00,0.00
randomArrays.txt,InsertionSort,3,2.185000,0.00,0.00
randomArrays.txt,InsertionSort,1,20.913400,37.36,0.00
randomArrays.txt,InsertionSort,2,14.792100,26.41,0.00
randomArrays.txt,InsertionSort,3,14.780600,26.43,0.00
randomArrays.txt,InsertionSort,1,19.210800,20.33,0.00
randomArrays.txt,InsertionSort,2,11.853900,32.95,0.00
randomArrays.txt,InsertionSort,3,13.911500,28.08,0.00
