dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,4.78,15.62,4.00
randomArrays,1,783,2.45,0.00,0.00
randomArrays,1,464,0.93,0.00,0.00
randomArrays,1,267,0.61,0.00,0.00
randomArrays,1,828,1.80,0.00,0.00
randomArrays,1,607,1.32,0.00,0.00
randomArrays,1,319,0.63,0.00,0.00
randomArrays,1,431,0.88,0.00,0.00
randomArrays,1,941,2.59,0.00,0.00
randomArrays,1,937,2.03,0.00,0.00
randomArrays,1,619,1.32,0.00,0.00
randomArrays,1,370,0.72,0.00,0.00
randomArrays,1,478,0.92,0.00,0.00
randomArrays,1,107,0.19,0.00,0.00
randomArrays,1,910,2.02,0.00,0.00
randomArrays,1,381,0.90,0.00,8.00
randomArrays,1,699,1.49,0.00,0.00
randomArrays,1,452,1.07,0.00,4.00
randomArrays,1,882,2.17,0.00,0.00
randomArrays,1,697,1.45,0.00,0.00
randomArrays,1,39,0.07,0.00,0.00
randomArrays,1,382,0.79,0.00,0.00
randomArrays,1,980,2.10,0.00,32.00
randomArrays,1,202,0.37,0.00,0.00
randomArrays,1,674,1.41,0.00,0.00
randomArrays,1,184,0.33,0.00,0.00
randomArrays,1,853,1.86,0.00,0.00
randomArrays,1,101,0.24,0.00,0.00
randomArrays,1,329,0.67,0.00,0.00
randomArrays,1,837,1.88,0.00,0.00
randomArrays,1,952,2.09,0.00,0.00
randomArrays,1,676,4.56,0.00,0.00
randomArrays,1,248,1.16,0.00,4.00
randomArrays,1,845,3.46,0.00,0.00
randomArrays,1,707,2.22,0.00,4.00
randomArrays,1,458,0.95,0.00,16.00
randomArrays,1,219,0.41,0.00,0.00
randomArrays,1,268,0.55,0.00,4.00
randomArrays,1,201,0.37,0.00,0.00
randomArrays,1,520,1.17,0.00,32.00
randomArrays,1,832,1.82,0.00,8.00
randomArrays,1,800,1.72,0.00,0.00
randomArrays,1,753,1.59,0.00,0.00
randomArrays,1,286,0.56,0.00,0.00
randomArrays,1,841,1.79,0.00,0.00
randomArrays,1,240,0.44,0.00,8.00
randomArrays,1,370,0.72,0.00,0.00
randomArrays,1,287,0.55,0.00,0.00
randomArrays,1,89,0.18,0.00,0.00
randomArrays,1,881,1.86,0.00,0.00
randomArrays,1,187,0.36,0.00,0.00
randomArrays,1,373,0.75,0.00,0.00
randomArrays,1,194,0.36,0.00,0.00
randomArrays,1,382,0.77,0.00,8.00
randomArrays,1,826,1.74,0.00,0.00
randomArrays,1,781,1.65,0.00,0.00
randomArrays,1,814,1.77,0.00,36.00
randomArrays,1,525,1.13,0.00,16.00
randomArrays,1,136,0.34,0.00,0.00
randomArrays,1,454,0.90,0.00,12.00
randomArrays,1,563,1.45,0.00,32.00
randomArrays,1,226,0.44,0.00,8.00
randomArrays,1,345,0.71,0.00,16.00
randomArrays,1,514,1.23,0.00,8.00
randomArrays,1,871,1.91,0.00,16.00
randomArrays,1,939,2.18,0.00,0.00
randomArrays,1,397,0.79,0.00,0.00
randomArrays,1,429,0.83,0.00,0.00
randomArrays,1,421,0.81,0.00,0.00
randomArrays,1,747,1.57,0.00,4.00
randomArrays,1,19,0.04,0.00,0.00
randomArrays,1,74,0.19,0.00,0.00
randomArrays,1,259,0.59,0.00,0.00
randomArrays,1,846,2.27,0.00,8.00
randomArrays,1,789,2.04,0.00,0.00
randomArrays,1,671,1.42,15.62,0.00
randomArrays,1,368,0.74,0.00,8.00
randomArrays,1,448,0.88,0.00,0.00
randomArrays,1,237,0.44,0.00,0.00
randomArrays,1,627,1.34,0.00,0.00
randomArrays,1,584,1.24,0.00,8.00
randomArrays,1,328,0.63,0.00,0.00
randomArrays,1,606,1.28,0.00,8.00
randomArrays,1,563,1.19,0.00,0.00
randomArrays,1,774,2.23,15.62,0.00
randomArrays,1,206,0.59,0.00,0.00
randomArrays,1,907,1.96,0.00,20.00
randomArrays,1,37,0.07,0.00,0.00
randomArrays,1,878,1.96,0.00,0.00
randomArrays,1,284,0.56,0.00,0.00
randomArrays,1,853,1.84,0.00,16.00
randomArrays,1,247,0.46,0.00,0.00
randomArrays,1,241,0.45,0.00,0.00
randomArrays,1,348,0.68,0.00,0.00
randomArrays,1,814,1.73,0.00,0.00
randomArrays,1,245,0.47,0.00,0.00
randomArrays,1,335,0.66,0.00,4.00
randomArrays,1,497,0.97,0.00,0.00
randomArrays,1,280,0.56,0.00,0.00
randomArrays,1,664,1.38,0.00,0.00
randomArrays,1,523,1.97,0.00,16.00
randomArrays,1,841,2.33,0.00,16.00
randomArrays,1,290,0.58,0.00,0.00
randomArrays,1,158,0.47,0.00,0.00
randomArrays,1,783,1.78,0.00,0.00
randomArrays,1,638,2.11,0.00,32.00
randomArrays,1,314,0.79,0.00,0.00
randomArrays,1,484,1.05,0.00,16.00
randomArrays,1,972,2.16,0.00,4.00
randomArrays,1,652,1.39,0.00,12.00
randomArrays,1,543,1.16,0.00,0.00
randomArrays,1,487,0.99,0.00,0.00
randomArrays,1,686,1.61,0.00,0.00
randomArrays,1,183,0.43,0.00,0.00
randomArrays,1,572,1.33,0.00,0.00
randomArrays,1,747,1.65,0.00,16.00
randomArrays,1,780,1.72,0.00,0.00
randomArrays,1,828,1.83,0.00,8.00
randomArrays,1,591,1.53,0.00,0.00
randomArrays,1,415,0.83,0.00,0.00
randomArrays,1,648,1.42,0.00,28.00
randomArrays,1,204,0.37,0.00,0.00
randomArrays,1,510,1.23,0.00,12.00
randomArrays,1,422,1.62,0.00,0.00
randomArrays,1,541,1.23,0.00,24.00
randomArrays,1,875,2.08,0.00,32.00
randomArrays,1,742,1.58,0.00,0.00
randomArrays,1,384,0.96,0.00,0.00
randomArrays,1,266,0.92,0.00,0.00
randomArrays,1,137,0.25,0.00,0.00
randomArrays,1,970,2.12,0.00,0.00
randomArrays,1,685,2.62,0.00,0.00
randomArrays,1,665,1.39,0.00,0.00
randomArrays,1,319,0.62,0.00,0.00
randomArrays,1,808,1.85,15.62,0.00
randomArrays,1,143,0.44,0.00,0.00
randomArrays,1,147,0.27,0.00,0.00
randomArrays,1,929,2.01,0.00,20.00
randomArrays,1,906,1.98,0.00,8.00
randomArrays,1,425,1.16,0.00,8.00
randomArrays,1,736,1.61,0.00,16.00
randomArrays,1,65,0.12,0.00,0.00
randomArrays,1,305,0.64,0.00,0.00
randomArrays,1,194,0.35,0.00,0.00
randomArrays,1,545,1.87,0.00,16.00
randomArrays,1,49,0.09,0.00,0.00
randomArrays,1,731,1.57,0.00,8.00
randomArrays,1,712,1.48,0.00,0.00
randomArrays,1,732,3.07,0.00,0.00
randomArrays,1,57,0.13,0.00,0.00
randomArrays,1,983,2.80,0.00,32.00
randomArrays,1,345,0.69,0.00,12.00
randomArrays,1,152,0.31,0.00,0.00
randomArrays,1,963,2.04,0.00,0.00
randomArrays,1,544,1.16,0.00,8.00
randomArrays,1,870,1.86,0.00,32.00
randomArrays,1,557,1.20,0.00,0.00
randomArrays,1,168,0.31,0.00,0.00
randomArrays,1,373,0.72,0.00,0.00
randomArrays,1,416,0.80,0.00,0.00
randomArrays,1,942,2.00,15.62,0.00
randomArrays,1,966,2.06,0.00,0.00
randomArrays,1,363,0.70,0.00,0.00
randomArrays,1,955,2.03,0.00,0.00
randomArrays,1,626,1.34,0.00,0.00
randomArrays,1,948,2.98,0.00,0.00
randomArrays,1,193,0.52,0.00,0.00
