Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,IterativeQuickSort,1,1.998700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.430000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.509500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.614900,59.05,0.00
randomArrays.txt,IterativeQuickSort,2,6.430200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.640700,69.25,0.00
randomArrays.txt,IterativeQuickSort,1,3.833600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.379000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.801400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.727200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.733300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.667800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.417800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,6.640200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.593100,108.72,0.00
randomArrays.txt,IterativeQuickSort,1,4.671700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,4.670000,83.65,0.00
randomArrays.txt,IterativeQuickSort,3,3.959600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.361200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.333100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.859700,210.05,0.00
randomArrays.txt,IterativeQuickSort,1,3.258500,119.88,0.00
randomArrays.txt,IterativeQuickSort,2,3.170800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.244500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.680600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,4.878900,80.06,0.00
randomArrays.txt,IterativeQuickSort,3,7.851500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,9.674300,40.38,0.00
randomArrays.txt,IterativeQuickSort,2,6.712700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,7.879000,49.58,0.00
randomArrays.txt,IterativeQuickSort,1,5.179700,75.41,0.00
randomArrays.txt,IterativeQuickSort,2,5.168600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.516000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.492000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.541700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.514500,155.35,0.00
randomArrays.txt,IterativeQuickSort,1,2.308300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.547800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.557600,109.80,0.00
randomArrays.txt,IterativeQuickSort,1,0.521700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.735100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.736700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,4.521400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,7.669100,50.93,0.00
randomArrays.txt,IterativeQuickSort,3,8.026100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.507500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.500700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.516400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,4.029600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.242100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.221700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.468400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.494600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.504200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.498500,52.09,0.00
randomArrays.txt,IterativeQuickSort,2,7.418200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,8.726400,44.76,0.00
randomArrays.txt,IterativeQuickSort,1,5.752200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,4.958700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.756000,67.86,0.00
randomArrays.txt,IterativeQuickSort,1,0.172600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.233500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.175400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.133500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.142500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.205900,177.08,0.00
randomArrays.txt,IterativeQuickSort,1,8.313700,46.99,0.00
randomArrays.txt,IterativeQuickSort,2,7.430100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,8.484200,46.04,0.00
randomArrays.txt,IterativeQuickSort,1,1.074000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.067400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.067700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.785500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.645200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.778200,67.60,0.00
randomArrays.txt,IterativeQuickSort,1,1.342800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.839900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.138800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,4.061600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,7.483100,52.20,0.00
randomArrays.txt,IterativeQuickSort,3,7.415600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.547100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.543300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.994900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.132700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.503700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.111500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.669200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,6.201800,62.99,0.00
randomArrays.txt,IterativeQuickSort,3,7.623100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.256000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,8.962300,43.59,0.00
randomArrays.txt,IterativeQuickSort,3,8.302500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.651800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.652600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.648800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.381000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.377700,283.53,0.00
randomArrays.txt,IterativeQuickSort,3,1.380500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.021900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,6.891300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,7.176700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.472500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.721500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.693800,68.61,0.00
randomArrays.txt,IterativeQuickSort,1,3.325400,117.47,0.00
randomArrays.txt,IterativeQuickSort,2,3.317000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.311400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.331000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.335400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.370000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.604700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.593800,245.09,0.00
randomArrays.txt,IterativeQuickSort,3,1.510700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.237400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.240500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.256800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.131300,183.28,0.00
randomArrays.txt,IterativeQuickSort,2,2.236300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.269800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.226300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.374100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,6.732700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.241900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,6.212100,62.88,0.00
randomArrays.txt,IterativeQuickSort,3,6.186900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.110300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,4.949200,78.93,0.00
randomArrays.txt,IterativeQuickSort,3,6.124900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.471600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.478600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.579900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.250800,53.87,0.00
randomArrays.txt,IterativeQuickSort,2,7.192000,54.31,0.00
randomArrays.txt,IterativeQuickSort,3,7.225100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.430300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.179700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.366600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.646200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.682200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.651700,147.31,0.00
randomArrays.txt,IterativeQuickSort,1,3.316700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.462500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.594300,245.01,0.00
randomArrays.txt,IterativeQuickSort,1,0.449800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.461700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.476100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.766200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,7.854600,49.73,0.00
randomArrays.txt,IterativeQuickSort,3,7.794400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.256700,310.83,0.00
randomArrays.txt,IterativeQuickSort,2,1.260300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.524600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.657300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.633700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.748800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.948900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.929700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.928400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.083600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.870500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.879800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.481400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,7.325300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,4.195400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.187600,63.13,0.00
randomArrays.txt,IterativeQuickSort,2,6.188600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,6.194600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,10.843500,36.02,0.00
randomArrays.txt,IterativeQuickSort,2,6.978900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.274300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.849500,66.78,0.00
randomArrays.txt,IterativeQuickSort,2,5.787800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.233200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.756100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.354800,288.33,0.00
randomArrays.txt,IterativeQuickSort,3,0.873500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.928600,65.89,0.00
randomArrays.txt,IterativeQuickSort,2,4.956200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.092100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.951500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.541200,153.72,0.00
randomArrays.txt,IterativeQuickSort,3,2.358400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.798800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.483200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.499100,260.57,0.00
randomArrays.txt,IterativeQuickSort,1,2.794900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.595500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.536800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.925700,99.50,0.00
randomArrays.txt,IterativeQuickSort,2,3.882500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.337600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.667500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,7.373100,52.98,0.00
randomArrays.txt,IterativeQuickSort,3,7.294200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.717800,50.61,0.00
randomArrays.txt,IterativeQuickSort,2,7.487300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,6.432100,60.73,0.00
randomArrays.txt,IterativeQuickSort,1,2.883900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.848400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.018600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.139100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.245800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.212500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.235500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.035000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.805300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.094600,64.09,0.00
randomArrays.txt,IterativeQuickSort,2,4.355400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.845600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.061200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.065600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.081100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.562900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.393000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,0.385200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.138600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.668500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.663800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.071100,55.24,0.00
randomArrays.txt,IterativeQuickSort,2,5.465000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,7.059600,55.33,0.00
randomArrays.txt,IterativeQuickSort,1,6.805500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,6.406900,60.97,0.00
randomArrays.txt,IterativeQuickSort,3,6.715200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.309100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.343000,73.11,0.00
randomArrays.txt,IterativeQuickSort,3,5.335800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.560000,250.40,0.00
randomArrays.txt,IterativeQuickSort,2,2.912800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.732800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.117800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.085500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.098800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.639100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.635900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.633700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.311300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.620100,69.50,0.00
randomArrays.txt,IterativeQuickSort,3,5.225200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,4.558800,85.69,0.00
randomArrays.txt,IterativeQuickSort,2,4.485600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,4.460100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.467200,158.33,0.00
randomArrays.txt,IterativeQuickSort,2,2.154000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.161400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.155700,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.391700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.888500,100.46,0.00
randomArrays.txt,IterativeQuickSort,1,4.260600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.248900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,4.385900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.530600,59.81,0.00
randomArrays.txt,IterativeQuickSort,2,9.281100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,7.904600,49.42,0.00
randomArrays.txt,IterativeQuickSort,1,1.756800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.438400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.182800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,8.285000,47.15,0.00
randomArrays.txt,IterativeQuickSort,2,8.787900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,6.418000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,0.134300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,0.166200,2350.33,0.00
randomArrays.txt,IterativeQuickSort,3,0.134200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.326400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,7.212700,54.16,0.00
randomArrays.txt,IterativeQuickSort,3,8.429200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.898000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.886800,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.889100,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,4.555800,85.74,0.00
randomArrays.txt,IterativeQuickSort,2,7.339900,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,7.410700,52.71,0.00
randomArrays.txt,IterativeQuickSort,1,1.161300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.830500,213.40,0.00
randomArrays.txt,IterativeQuickSort,3,1.191200,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.471600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.474200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.514700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.269800,172.10,0.00
randomArrays.txt,IterativeQuickSort,2,1.991200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.155900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.617600,59.03,0.00
randomArrays.txt,IterativeQuickSort,2,5.228500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,6.582200,59.35,0.00
randomArrays.txt,IterativeQuickSort,1,2.508600,155.71,0.00
randomArrays.txt,IterativeQuickSort,2,3.137100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.497800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.462300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.217000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.239600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.610300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.611500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.600900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.033600,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.033000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.020800,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.729500,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.658900,69.03,0.00
randomArrays.txt,IterativeQuickSort,3,5.173900,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,4.551100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.706500,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,4.534700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.062900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,6.041100,64.66,0.00
randomArrays.txt,IterativeQuickSort,3,7.084300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.690400,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.680300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.660300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.053800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.066700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.072400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,7.194300,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,6.773600,57.67,0.00
randomArrays.txt,IterativeQuickSort,3,6.605500,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.865100,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,4.333000,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.514900,70.83,0.00
randomArrays.txt,IterativeQuickSort,1,3.436000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,2.505400,155.91,0.00
randomArrays.txt,IterativeQuickSort,3,2.119000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.037200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,4.119200,94.83,0.00
randomArrays.txt,IterativeQuickSort,3,2.853600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,4.046700,96.53,0.00
randomArrays.txt,IterativeQuickSort,2,8.577700,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,7.280500,53.65,0.00
randomArrays.txt,IterativeQuickSort,1,5.636800,69.30,0.00
randomArrays.txt,IterativeQuickSort,2,5.667100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,5.614300,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,3.920900,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,3.925100,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.634000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,2.510400,155.60,0.00
randomArrays.txt,IterativeQuickSort,2,4.823300,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.406000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,5.708200,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,5.592400,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,3.078700,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,1.946800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,1.274200,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,1.164000,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,4.323800,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,4.308600,0.00,0.00
randomArrays.txt,IterativeQuickSort,3,2.841400,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.623000,0.00,0.00
randomArrays.txt,IterativeQuickSort,2,6.588800,59.29,0.00
randomArrays.txt,IterativeQuickSort,3,6.699600,0.00,0.00
randomArrays.txt,IterativeQuickSort,1,6.571100,0.00,0.00
