Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,QuickSort,1,2.335000,0.00,0.00
randomArrays.txt,QuickSort,2,3.615000,0.00,0.00
randomArrays.txt,QuickSort,3,3.408400,114.61,0.00
randomArrays.txt,QuickSort,1,6.825200,57.23,0.00
randomArrays.txt,QuickSort,2,3.488800,0.00,0.00
randomArrays.txt,QuickSort,3,6.380700,0.00,0.00
randomArrays.txt,QuickSort,1,3.720500,0.00,0.00
randomArrays.txt,QuickSort,2,3.762200,0.00,0.00
randomArrays.txt,QuickSort,3,3.851000,101.43,0.00
randomArrays.txt,QuickSort,1,4.492700,0.00,0.00
randomArrays.txt,QuickSort,2,2.702400,144.55,0.00
randomArrays.txt,QuickSort,3,2.703500,0.00,0.00
randomArrays.txt,QuickSort,1,6.553200,59.61,0.00
randomArrays.txt,QuickSort,2,6.579300,0.00,0.00
randomArrays.txt,QuickSort,3,6.637200,58.85,0.00
randomArrays.txt,QuickSort,1,4.641900,0.00,0.00
randomArrays.txt,QuickSort,2,4.647000,84.06,0.00
randomArrays.txt,QuickSort,3,3.474000,0.00,0.00
randomArrays.txt,QuickSort,1,2.236700,0.00,0.00
randomArrays.txt,QuickSort,2,2.703600,0.00,0.00
randomArrays.txt,QuickSort,3,1.500800,0.00,0.00
randomArrays.txt,QuickSort,1,3.216700,0.00,0.00
randomArrays.txt,QuickSort,2,3.238000,0.00,0.00
randomArrays.txt,QuickSort,3,3.265200,0.00,0.00
randomArrays.txt,QuickSort,1,6.944800,56.25,0.00
randomArrays.txt,QuickSort,2,8.021400,0.00,0.00
randomArrays.txt,QuickSort,3,6.481900,60.26,0.00
randomArrays.txt,QuickSort,1,4.370000,89.39,0.00
randomArrays.txt,QuickSort,2,8.158100,0.00,0.00
randomArrays.txt,QuickSort,3,8.813500,44.32,0.00
randomArrays.txt,QuickSort,1,4.606000,84.81,0.00
randomArrays.txt,QuickSort,2,4.449000,0.00,0.00
randomArrays.txt,QuickSort,3,5.093300,0.00,0.00
randomArrays.txt,QuickSort,1,2.484000,157.26,0.00
randomArrays.txt,QuickSort,2,2.489900,0.00,0.00
randomArrays.txt,QuickSort,3,2.471000,0.00,0.00
randomArrays.txt,QuickSort,1,3.508900,0.00,0.00
randomArrays.txt,QuickSort,2,3.502000,0.00,0.00
randomArrays.txt,QuickSort,3,3.521700,110.92,0.00
randomArrays.txt,QuickSort,1,0.511300,0.00,0.00
randomArrays.txt,QuickSort,2,0.520400,0.00,0.00
randomArrays.txt,QuickSort,3,0.515400,0.00,0.00
randomArrays.txt,QuickSort,1,7.853800,49.74,0.00
randomArrays.txt,QuickSort,2,7.311200,53.43,0.00
randomArrays.txt,QuickSort,3,5.561700,0.00,0.00
randomArrays.txt,QuickSort,1,2.484900,0.00,0.00
randomArrays.txt,QuickSort,2,2.485700,0.00,0.00
randomArrays.txt,QuickSort,3,1.706000,0.00,0.00
randomArrays.txt,QuickSort,1,4.926000,0.00,0.00
randomArrays.txt,QuickSort,2,5.189200,75.28,0.00
randomArrays.txt,QuickSort,3,5.144700,0.00,0.00
randomArrays.txt,QuickSort,1,3.467900,0.00,0.00
randomArrays.txt,QuickSort,2,3.472600,0.00,0.00
randomArrays.txt,QuickSort,3,3.472900,112.48,0.00
randomArrays.txt,QuickSort,1,7.147400,54.65,0.00
randomArrays.txt,QuickSort,2,8.666500,0.00,0.00
randomArrays.txt,QuickSort,3,8.622900,45.30,0.00
