dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,1.01,0.00,0.00
randomArrays,1,783,1.81,0.00,0.00
randomArrays,1,464,1.35,0.00,0.00
randomArrays,1,267,0.52,0.00,0.00
randomArrays,1,828,1.96,0.00,0.00
randomArrays,1,607,1.52,0.00,0.00
randomArrays,1,319,0.63,0.00,0.00
randomArrays,1,431,1.00,0.00,0.00
randomArrays,1,941,2.39,0.00,0.00
randomArrays,1,937,2.33,0.00,0.00
randomArrays,1,619,1.73,0.00,0.00
randomArrays,1,370,0.75,0.00,0.00
randomArrays,1,478,1.25,0.00,0.00
randomArrays,1,107,0.17,0.00,0.00
randomArrays,1,910,2.22,0.00,0.00
randomArrays,1,381,0.79,0.00,0.00
randomArrays,1,699,1.71,0.00,0.00
randomArrays,1,452,1.10,0.00,0.00
randomArrays,1,882,2.12,0.00,0.00
randomArrays,1,697,1.69,0.00,0.00
randomArrays,1,39,0.06,0.00,0.00
randomArrays,1,382,0.84,0.00,0.00
randomArrays,1,980,2.47,0.00,0.00
randomArrays,1,202,0.37,0.00,0.00
randomArrays,1,674,2.61,0.00,0.00
randomArrays,1,184,0.34,0.00,0.00
randomArrays,1,853,2.30,0.00,0.00
randomArrays,1,101,0.21,0.00,0.00
randomArrays,1,329,0.65,0.00,0.00
randomArrays,1,837,2.87,0.00,0.00
randomArrays,1,952,2.68,15.62,0.00
randomArrays,1,676,1.55,0.00,0.00
randomArrays,1,248,0.98,0.00,0.00
randomArrays,1,845,2.17,0.00,0.00
randomArrays,1,707,1.71,0.00,0.00
randomArrays,1,458,0.97,0.00,0.00
randomArrays,1,219,0.62,0.00,0.00
randomArrays,1,268,0.53,0.00,0.00
randomArrays,1,201,0.36,0.00,0.00
randomArrays,1,520,1.41,0.00,0.00
randomArrays,1,832,1.99,0.00,0.00
randomArrays,1,800,2.66,0.00,0.00
randomArrays,1,753,1.77,0.00,0.00
randomArrays,1,286,0.95,15.62,0.00
randomArrays,1,841,2.10,0.00,0.00
randomArrays,1,240,0.54,0.00,0.00
randomArrays,1,370,0.94,0.00,0.00
randomArrays,1,287,0.57,0.00,0.00
randomArrays,1,89,0.18,0.00,0.00
randomArrays,1,881,2.13,0.00,0.00
randomArrays,1,187,0.49,0.00,0.00
randomArrays,1,373,0.77,0.00,0.00
randomArrays,1,194,0.36,0.00,0.00
randomArrays,1,382,0.85,0.00,0.00
randomArrays,1,826,2.15,15.62,0.00
randomArrays,1,781,1.94,0.00,0.00
randomArrays,1,814,1.98,0.00,0.00
randomArrays,1,525,1.51,0.00,0.00
randomArrays,1,136,0.41,0.00,0.00
randomArrays,1,454,1.48,0.00,0.00
randomArrays,1,563,1.29,0.00,0.00
randomArrays,1,226,0.45,0.00,0.00
randomArrays,1,345,0.71,0.00,0.00
randomArrays,1,514,1.23,0.00,0.00
randomArrays,1,871,2.18,0.00,0.00
randomArrays,1,939,2.38,0.00,0.00
randomArrays,1,397,0.85,0.00,0.00
randomArrays,1,429,0.92,0.00,0.00
randomArrays,1,421,0.87,0.00,0.00
randomArrays,1,747,2.22,0.00,0.00
randomArrays,1,19,0.03,0.00,0.00
randomArrays,1,74,0.14,0.00,0.00
randomArrays,1,259,0.55,0.00,0.00
randomArrays,1,846,2.66,15.62,0.00
randomArrays,1,789,2.25,0.00,0.00
randomArrays,1,671,1.69,0.00,0.00
randomArrays,1,368,1.05,0.00,0.00
randomArrays,1,448,1.25,0.00,0.00
randomArrays,1,237,0.75,0.00,0.00
randomArrays,1,627,3.35,0.00,0.00
randomArrays,1,584,1.73,0.00,0.00
randomArrays,1,328,0.96,0.00,0.00
randomArrays,1,606,2.04,0.00,0.00
randomArrays,1,563,1.30,0.00,0.00
randomArrays,1,774,2.69,0.00,0.00
randomArrays,1,206,0.63,0.00,0.00
randomArrays,1,907,2.91,15.62,0.00
randomArrays,1,37,0.07,0.00,0.00
randomArrays,1,878,3.95,0.00,0.00
randomArrays,1,284,0.79,0.00,0.00
randomArrays,1,853,2.28,0.00,0.00
randomArrays,1,247,0.56,0.00,0.00
randomArrays,1,241,0.92,0.00,0.00
randomArrays,1,348,1.08,0.00,0.00
randomArrays,1,814,2.23,0.00,0.00
randomArrays,1,245,0.49,0.00,0.00
randomArrays,1,335,0.75,0.00,0.00
randomArrays,1,497,1.16,0.00,0.00
randomArrays,1,280,0.62,0.00,0.00
randomArrays,1,664,9.92,15.62,0.00
randomArrays,1,523,1.24,0.00,0.00
randomArrays,1,841,16.10,0.00,0.00
randomArrays,1,290,3.04,0.00,0.00
randomArrays,1,158,0.40,0.00,0.00
randomArrays,1,783,4.49,15.62,0.00
randomArrays,1,638,1.71,15.62,0.00
randomArrays,1,314,0.84,0.00,0.00
randomArrays,1,484,1.09,0.00,0.00
randomArrays,1,972,2.41,0.00,0.00
randomArrays,1,652,1.48,0.00,0.00
randomArrays,1,543,1.22,0.00,0.00
randomArrays,1,487,1.19,0.00,0.00
randomArrays,1,686,2.10,0.00,0.00
randomArrays,1,183,0.43,0.00,0.00
randomArrays,1,572,1.31,0.00,0.00
randomArrays,1,747,2.17,0.00,0.00
randomArrays,1,780,2.46,0.00,0.00
randomArrays,1,828,2.61,0.00,0.00
randomArrays,1,591,1.39,0.00,0.00
randomArrays,1,415,0.95,0.00,0.00
randomArrays,1,648,2.19,0.00,0.00
randomArrays,1,204,0.48,0.00,0.00
randomArrays,1,510,1.16,0.00,0.00
randomArrays,1,422,1.10,0.00,0.00
randomArrays,1,541,1.79,0.00,0.00
randomArrays,1,875,2.11,0.00,0.00
randomArrays,1,742,1.97,0.00,0.00
randomArrays,1,384,0.80,0.00,0.00
randomArrays,1,266,0.86,0.00,0.00
randomArrays,1,137,0.33,0.00,0.00
randomArrays,1,970,3.54,0.00,0.00
randomArrays,1,685,1.58,0.00,0.00
randomArrays,1,665,1.59,0.00,0.00
randomArrays,1,319,1.47,0.00,0.00
randomArrays,1,808,4.57,0.00,0.00
randomArrays,1,143,0.27,0.00,0.00
randomArrays,1,147,0.25,0.00,0.00
randomArrays,1,929,2.24,0.00,0.00
randomArrays,1,906,5.02,0.00,0.00
randomArrays,1,425,1.85,0.00,0.00
randomArrays,1,736,1.71,0.00,0.00
randomArrays,1,65,0.14,0.00,0.00
randomArrays,1,305,1.01,0.00,0.00
randomArrays,1,194,0.51,0.00,0.00
randomArrays,1,545,1.23,0.00,0.00
randomArrays,1,49,0.10,0.00,0.00
randomArrays,1,731,1.71,0.00,0.00
randomArrays,1,712,2.49,0.00,0.00
randomArrays,1,732,2.17,0.00,0.00
randomArrays,1,57,0.09,0.00,0.00
randomArrays,1,983,2.94,0.00,0.00
randomArrays,1,345,0.95,0.00,0.00
randomArrays,1,152,0.33,0.00,0.00
randomArrays,1,963,2.64,15.62,0.00
randomArrays,1,544,1.96,0.00,0.00
randomArrays,1,870,2.08,0.00,0.00
randomArrays,1,557,2.46,0.00,0.00
randomArrays,1,168,0.30,0.00,0.00
randomArrays,1,373,1.07,0.00,0.00
randomArrays,1,416,1.10,15.62,0.00
randomArrays,1,942,2.98,0.00,0.00
randomArrays,1,966,2.59,0.00,0.00
randomArrays,1,363,1.17,0.00,0.00
randomArrays,1,955,3.62,0.00,0.00
