Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,RecursiveInsertionSort,1,20.894900,18.69,0.02
randomArrays.txt,RecursiveInsertionSort,2,21.316500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,16.161100,24.17,0.00
randomArrays.txt,RecursiveInsertionSort,1,55.695300,21.04,0.00
randomArrays.txt,RecursiveInsertionSort,2,53.745000,29.07,0.00
randomArrays.txt,RecursiveInsertionSort,3,53.807600,21.78,0.00
randomArrays.txt,RecursiveInsertionSort,1,14.702000,26.57,0.00
randomArrays.txt,RecursiveInsertionSort,2,20.006400,19.53,0.00
randomArrays.txt,RecursiveInsertionSort,3,9.487800,41.17,0.00
randomArrays.txt,RecursiveInsertionSort,1,9.564100,40.84,0.00
randomArrays.txt,RecursiveInsertionSort,2,23.876400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,9.646600,40.49,0.00
randomArrays.txt,RecursiveInsertionSort,1,53.881000,29.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,48.561500,24.13,0.00
randomArrays.txt,RecursiveInsertionSort,3,32.448800,24.08,0.00
randomArrays.txt,RecursiveInsertionSort,1,30.161400,25.90,0.00
randomArrays.txt,RecursiveInsertionSort,2,32.588700,23.97,0.00
randomArrays.txt,RecursiveInsertionSort,3,33.490300,23.33,0.00
randomArrays.txt,RecursiveInsertionSort,1,4.297100,90.90,0.00
randomArrays.txt,RecursiveInsertionSort,2,8.518500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,3.786200,103.17,0.00
randomArrays.txt,RecursiveInsertionSort,1,9.674300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,11.836600,33.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,7.671700,50.92,0.00
randomArrays.txt,RecursiveInsertionSort,1,20.228200,19.31,0.00
randomArrays.txt,RecursiveInsertionSort,2,37.291700,31.42,0.00
randomArrays.txt,RecursiveInsertionSort,3,38.804200,20.13,0.00
randomArrays.txt,RecursiveInsertionSort,1,8.325700,46.92,0.00
randomArrays.txt,RecursiveInsertionSort,2,7.401600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,12.066500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,10.183300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,16.697600,23.39,0.00
randomArrays.txt,RecursiveInsertionSort,3,21.865200,17.87,0.00
randomArrays.txt,RecursiveInsertionSort,1,1.235000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,1.316300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,1.172900,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,12.783900,30.56,0.00
randomArrays.txt,RecursiveInsertionSort,2,6.133400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,11.351000,34.41,0.00
randomArrays.txt,RecursiveInsertionSort,1,27.333300,28.58,0.00
randomArrays.txt,RecursiveInsertionSort,2,40.561300,28.89,0.00
randomArrays.txt,RecursiveInsertionSort,3,48.037000,24.40,0.00
randomArrays.txt,RecursiveInsertionSort,1,16.178100,24.15,0.00
randomArrays.txt,RecursiveInsertionSort,2,20.198500,38.68,0.00
randomArrays.txt,RecursiveInsertionSort,3,19.295700,20.24,0.00
randomArrays.txt,RecursiveInsertionSort,1,68.635600,22.77,0.00
randomArrays.txt,RecursiveInsertionSort,2,75.044600,26.03,0.00
randomArrays.txt,RecursiveInsertionSort,3,64.529700,24.21,0.00
randomArrays.txt,RecursiveInsertionSort,1,25.264400,15.46,0.00
randomArrays.txt,RecursiveInsertionSort,2,38.377100,30.54,0.00
randomArrays.txt,RecursiveInsertionSort,3,25.158500,31.05,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.178100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.175100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.174500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,15.666000,24.93,0.00
randomArrays.txt,RecursiveInsertionSort,2,13.074700,29.88,0.00
randomArrays.txt,RecursiveInsertionSort,3,6.102500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,3.610600,108.19,0.00
randomArrays.txt,RecursiveInsertionSort,2,2.179100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,4.031200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,28.337500,27.57,0.00
randomArrays.txt,RecursiveInsertionSort,2,44.969300,26.06,0.00
randomArrays.txt,RecursiveInsertionSort,3,38.288800,20.40,0.00
randomArrays.txt,RecursiveInsertionSort,1,2.541600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,2.897800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,3.482800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,48.613800,24.11,0.00
randomArrays.txt,RecursiveInsertionSort,2,61.339700,25.47,0.00
randomArrays.txt,RecursiveInsertionSort,3,60.804900,25.70,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.965000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.961500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.953100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,7.155100,54.59,0.00
randomArrays.txt,RecursiveInsertionSort,2,7.845800,49.79,0.00
randomArrays.txt,RecursiveInsertionSort,3,8.274100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,62.501900,25.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,58.259800,26.82,0.00
randomArrays.txt,RecursiveInsertionSort,3,61.283700,25.50,0.00
randomArrays.txt,RecursiveInsertionSort,1,42.904000,27.31,0.00
randomArrays.txt,RecursiveInsertionSort,2,34.063100,22.94,0.00
randomArrays.txt,RecursiveInsertionSort,3,43.543000,26.91,0.00
randomArrays.txt,RecursiveInsertionSort,1,6.535700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,5.052700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,4.789400,81.56,0.00
randomArrays.txt,RecursiveInsertionSort,1,64.263600,30.39,0.00
randomArrays.txt,RecursiveInsertionSort,2,50.791500,23.07,0.00
randomArrays.txt,RecursiveInsertionSort,3,70.384700,22.20,0.00
randomArrays.txt,RecursiveInsertionSort,1,31.839200,24.54,0.00
randomArrays.txt,RecursiveInsertionSort,2,29.213400,26.74,0.00
randomArrays.txt,RecursiveInsertionSort,3,50.670200,23.13,0.00
randomArrays.txt,RecursiveInsertionSort,1,37.945000,30.88,0.00
randomArrays.txt,RecursiveInsertionSort,2,23.550500,16.59,0.00
randomArrays.txt,RecursiveInsertionSort,3,8.304700,47.04,0.00
randomArrays.txt,RecursiveInsertionSort,1,6.258400,62.42,0.00
randomArrays.txt,RecursiveInsertionSort,2,5.067300,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,2.703500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,6.776400,57.64,0.00
randomArrays.txt,RecursiveInsertionSort,2,5.918100,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,8.134900,48.02,0.00
randomArrays.txt,RecursiveInsertionSort,1,4.817500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,3.941400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,3.935300,99.26,0.00
randomArrays.txt,RecursiveInsertionSort,1,15.612400,25.02,0.00
randomArrays.txt,RecursiveInsertionSort,2,17.114700,22.82,0.00
randomArrays.txt,RecursiveInsertionSort,3,19.459300,20.07,0.00
randomArrays.txt,RecursiveInsertionSort,1,60.360200,25.89,0.00
randomArrays.txt,RecursiveInsertionSort,2,55.838200,27.98,0.00
randomArrays.txt,RecursiveInsertionSort,3,56.170900,27.82,0.00
randomArrays.txt,RecursiveInsertionSort,1,52.535000,22.31,0.00
randomArrays.txt,RecursiveInsertionSort,2,64.137000,24.36,0.00
randomArrays.txt,RecursiveInsertionSort,3,53.884900,29.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,49.158000,23.84,0.00
randomArrays.txt,RecursiveInsertionSort,2,44.337200,26.43,0.00
randomArrays.txt,RecursiveInsertionSort,3,25.455400,30.69,0.00
randomArrays.txt,RecursiveInsertionSort,1,5.999000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,7.057100,55.35,0.00
randomArrays.txt,RecursiveInsertionSort,3,8.745200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,59.391700,26.31,0.00
randomArrays.txt,RecursiveInsertionSort,2,61.494000,25.41,0.00
randomArrays.txt,RecursiveInsertionSort,3,60.051800,26.02,0.00
randomArrays.txt,RecursiveInsertionSort,1,4.677000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,3.267500,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,4.152800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,10.177200,38.38,0.00
randomArrays.txt,RecursiveInsertionSort,2,9.094100,42.95,0.00
randomArrays.txt,RecursiveInsertionSort,3,8.038700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,5.859200,66.67,0.00
randomArrays.txt,RecursiveInsertionSort,2,7.153700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,5.531200,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,0.533400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,0.535000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,0.601600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,43.436200,26.98,0.00
randomArrays.txt,RecursiveInsertionSort,2,76.007900,25.70,0.00
randomArrays.txt,RecursiveInsertionSort,3,64.683600,24.16,0.00
randomArrays.txt,RecursiveInsertionSort,1,3.396000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,3.384000,115.43,0.00
randomArrays.txt,RecursiveInsertionSort,3,4.677400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,7.980800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,11.678600,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,8.943900,43.68,0.00
randomArrays.txt,RecursiveInsertionSort,1,3.034800,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,4.414000,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,3,2.065700,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,1,12.797400,0.00,0.00
randomArrays.txt,RecursiveInsertionSort,2,9.828900,39.74,0.00
randomArrays.txt,RecursiveInsertionSort,3,13.348000,29.26,0.00
randomArrays.txt,RecursiveInsertionSort,1,51.003900,22.98,0.00
randomArrays.txt,RecursiveInsertionSort,2,36.350200,21.49,0.00
randomArrays.txt,RecursiveInsertionSort,3,52.406200,29.82,0.00
randomArrays.txt,RecursiveInsertionSort,1,47.976400,24.43,0.00
randomArrays.txt,RecursiveInsertionSort,2,24.954800,31.31,0.00
randomArrays.txt,RecursiveInsertionSort,3,32.639600,23.94,0.00
randomArrays.txt,RecursiveInsertionSort,1,51.243200,22.87,0.00
randomArrays.txt,RecursiveInsertionSort,2,31.338500,37.39,0.00
randomArrays.txt,RecursiveInsertionSort,3,45.340300,17.23,0.00
randomArrays.txt,RecursiveInsertionSort,1,13.430300,29.09,0.00
randomArrays.txt,RecursiveInsertionSort,2,43.581500,17.93,0.00
