dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,0.78,0.00,4.00
randomArrays,1,783,1.37,0.00,8.00
randomArrays,1,464,0.92,0.00,32.00
randomArrays,1,267,0.68,0.00,0.00
randomArrays,1,828,2.22,0.00,0.00
randomArrays,1,607,1.32,0.00,60.00
randomArrays,1,319,0.53,0.00,0.00
randomArrays,1,431,0.72,0.00,0.00
randomArrays,1,941,2.86,0.00,0.00
randomArrays,1,937,1.93,0.00,0.00
randomArrays,1,619,1.41,0.00,0.00
randomArrays,1,370,0.61,0.00,0.00
randomArrays,1,478,0.79,0.00,20.00
randomArrays,1,107,0.16,0.00,0.00
randomArrays,1,910,1.73,15.62,64.00
randomArrays,1,381,0.60,0.00,0.00
randomArrays,1,699,1.35,0.00,0.00
randomArrays,1,452,1.33,0.00,0.00
randomArrays,1,882,1.54,0.00,4.00
randomArrays,1,697,1.18,15.62,0.00
randomArrays,1,39,0.06,0.00,0.00
randomArrays,1,382,0.65,0.00,0.00
randomArrays,1,980,1.74,0.00,60.00
randomArrays,1,202,0.33,0.00,0.00
randomArrays,1,674,1.14,0.00,0.00
randomArrays,1,184,0.54,0.00,0.00
randomArrays,1,853,1.55,0.00,28.00
randomArrays,1,101,0.16,0.00,0.00
randomArrays,1,329,0.56,0.00,8.00
randomArrays,1,837,1.53,0.00,24.00
randomArrays,1,952,1.79,0.00,36.00
randomArrays,1,676,1.21,0.00,16.00
randomArrays,1,248,0.99,0.00,4.00
randomArrays,1,845,5.24,0.00,0.00
randomArrays,1,707,2.14,0.00,16.00
randomArrays,1,458,0.86,0.00,12.00
randomArrays,1,219,0.36,0.00,4.00
randomArrays,1,268,0.72,0.00,8.00
randomArrays,1,201,0.35,0.00,0.00
randomArrays,1,520,1.00,0.00,24.00
randomArrays,1,832,1.48,0.00,8.00
randomArrays,1,800,1.40,0.00,44.00
randomArrays,1,753,1.56,0.00,8.00
randomArrays,1,286,0.45,0.00,0.00
randomArrays,1,841,1.45,0.00,0.00
randomArrays,1,240,0.39,0.00,4.00
randomArrays,1,370,0.61,0.00,8.00
randomArrays,1,287,0.50,0.00,0.00
randomArrays,1,89,0.15,0.00,0.00
randomArrays,1,881,2.02,0.00,0.00
randomArrays,1,187,0.43,0.00,0.00
randomArrays,1,373,0.61,0.00,0.00
randomArrays,1,194,0.50,0.00,8.00
randomArrays,1,382,0.64,0.00,8.00
randomArrays,1,826,2.73,0.00,16.00
randomArrays,1,781,1.40,0.00,0.00
randomArrays,1,814,1.61,0.00,0.00
randomArrays,1,525,0.90,0.00,32.00
randomArrays,1,136,0.20,0.00,0.00
randomArrays,1,454,0.75,0.00,16.00
randomArrays,1,563,1.01,0.00,40.00
randomArrays,1,226,0.36,0.00,0.00
randomArrays,1,345,0.58,0.00,4.00
randomArrays,1,514,1.02,0.00,0.00
