dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,3.93,0.00,0.00
randomArrays,1,783,12.15,0.00,0.00
randomArrays,1,464,4.28,0.00,0.00
randomArrays,1,267,1.20,0.00,0.00
randomArrays,1,828,16.31,15.62,0.00
randomArrays,1,607,7.06,0.00,0.00
randomArrays,1,319,1.73,0.00,0.00
randomArrays,1,431,3.32,0.00,0.00
randomArrays,1,941,16.90,15.62,0.00
randomArrays,1,937,16.69,15.62,0.00
randomArrays,1,619,6.99,0.00,0.00
randomArrays,1,370,2.39,0.00,0.00
randomArrays,1,478,4.05,15.62,0.00
randomArrays,1,107,0.23,0.00,0.00
randomArrays,1,910,15.86,15.62,0.00
randomArrays,1,381,2.44,0.00,0.00
randomArrays,1,699,9.09,15.62,0.00
randomArrays,1,452,3.70,0.00,0.00
randomArrays,1,882,14.42,15.62,0.00
randomArrays,1,697,9.37,15.62,0.00
randomArrays,1,39,0.04,0.00,0.00
randomArrays,1,382,3.09,0.00,0.00
randomArrays,1,980,18.16,31.25,0.00
randomArrays,1,202,1.17,0.00,0.00
randomArrays,1,674,8.86,0.00,0.00
randomArrays,1,184,0.53,0.00,0.00
randomArrays,1,853,13.06,15.62,0.00
randomArrays,1,101,0.18,0.00,0.00
randomArrays,1,329,2.24,0.00,0.00
randomArrays,1,837,14.95,15.62,0.00
randomArrays,1,952,17.66,15.62,0.00
randomArrays,1,676,8.27,0.00,0.00
randomArrays,1,248,1.61,0.00,0.00
randomArrays,1,845,29.09,31.25,0.00
randomArrays,1,707,12.38,0.00,0.00
randomArrays,1,458,3.84,0.00,0.00
randomArrays,1,219,0.75,0.00,0.00
randomArrays,1,268,1.18,0.00,0.00
randomArrays,1,201,0.63,0.00,0.00
randomArrays,1,520,5.19,0.00,0.00
randomArrays,1,832,17.80,15.62,0.00
randomArrays,1,800,19.91,31.25,0.00
randomArrays,1,753,10.30,15.62,0.00
randomArrays,1,286,1.46,0.00,0.00
randomArrays,1,841,13.15,15.62,0.00
randomArrays,1,240,0.86,0.00,0.00
randomArrays,1,370,2.94,0.00,0.00
randomArrays,1,287,1.29,0.00,0.00
randomArrays,1,89,0.14,0.00,0.00
randomArrays,1,881,16.36,15.62,0.00
randomArrays,1,187,0.53,0.00,0.00
randomArrays,1,373,2.40,15.62,0.00
randomArrays,1,194,0.59,0.00,0.00
randomArrays,1,382,2.52,0.00,0.00
randomArrays,1,826,12.68,15.62,0.00
randomArrays,1,781,11.36,0.00,0.00
randomArrays,1,814,12.31,0.00,0.00
randomArrays,1,525,4.81,0.00,0.00
randomArrays,1,136,0.39,0.00,0.00
randomArrays,1,454,4.32,0.00,0.00
randomArrays,1,563,5.62,0.00,0.00
randomArrays,1,226,0.80,0.00,0.00
randomArrays,1,345,2.05,0.00,0.00
randomArrays,1,514,5.07,0.00,0.00
randomArrays,1,871,14.14,15.62,0.00
randomArrays,1,939,19.21,31.25,0.00
randomArrays,1,397,2.74,0.00,0.00
randomArrays,1,429,3.71,0.00,0.00
randomArrays,1,421,3.19,0.00,0.00
randomArrays,1,747,10.93,0.00,0.00
randomArrays,1,19,0.02,0.00,0.00
randomArrays,1,74,0.10,0.00,0.00
randomArrays,1,259,1.16,0.00,0.00
randomArrays,1,846,15.08,15.62,36.00
randomArrays,1,789,12.14,0.00,0.00
randomArrays,1,671,8.66,0.00,0.00
randomArrays,1,368,3.56,15.62,0.00
randomArrays,1,448,3.79,0.00,0.00
randomArrays,1,237,0.86,0.00,0.00
randomArrays,1,627,7.22,15.62,0.00
randomArrays,1,584,6.21,0.00,0.00
randomArrays,1,328,1.76,0.00,0.00
randomArrays,1,606,6.46,0.00,0.00
randomArrays,1,563,5.57,15.62,0.00
randomArrays,1,774,10.73,15.62,0.00
randomArrays,1,206,0.64,0.00,0.00
randomArrays,1,907,15.46,15.62,0.00
randomArrays,1,37,0.03,0.00,0.00
randomArrays,1,878,14.54,15.62,0.00
randomArrays,1,284,1.30,0.00,0.00
randomArrays,1,853,13.50,15.62,0.00
randomArrays,1,247,0.94,15.62,0.00
randomArrays,1,241,0.87,0.00,0.00
randomArrays,1,348,2.02,0.00,0.00
randomArrays,1,814,12.31,15.62,0.00
randomArrays,1,245,0.89,0.00,0.00
randomArrays,1,335,1.84,0.00,0.00
randomArrays,1,497,4.28,0.00,0.00
randomArrays,1,280,1.26,0.00,0.00
randomArrays,1,664,10.25,0.00,0.00
randomArrays,1,523,4.80,0.00,0.00
randomArrays,1,841,13.56,15.62,0.00
randomArrays,1,290,1.33,0.00,0.00
randomArrays,1,158,0.41,0.00,0.00
randomArrays,1,783,13.53,15.62,0.00
randomArrays,1,638,7.66,15.62,0.00
randomArrays,1,314,1.59,0.00,0.00
randomArrays,1,484,4.60,0.00,0.00
randomArrays,1,972,17.49,15.62,0.00
randomArrays,1,652,7.59,0.00,0.00
randomArrays,1,543,5.32,0.00,0.00
randomArrays,1,487,4.41,0.00,0.00
randomArrays,1,686,8.66,0.00,0.00
randomArrays,1,183,0.57,0.00,0.00
randomArrays,1,572,6.91,15.62,0.00
randomArrays,1,747,11.51,0.00,0.00
randomArrays,1,780,11.11,0.00,0.00
randomArrays,1,828,12.73,0.00,0.00
randomArrays,1,591,6.59,0.00,0.00
randomArrays,1,415,3.03,0.00,0.00
randomArrays,1,648,7.58,0.00,0.00
randomArrays,1,204,0.65,0.00,0.00
randomArrays,1,510,4.87,0.00,0.00
randomArrays,1,422,3.10,0.00,0.00
randomArrays,1,541,5.47,15.62,0.00
randomArrays,1,875,14.65,15.62,0.00
randomArrays,1,742,10.71,15.62,0.00
randomArrays,1,384,2.70,0.00,0.00
randomArrays,1,266,1.16,0.00,0.00
randomArrays,1,137,0.30,0.00,0.00
randomArrays,1,970,17.53,15.62,0.00
randomArrays,1,685,8.51,0.00,0.00
randomArrays,1,665,8.48,15.62,0.00
randomArrays,1,319,1.64,0.00,0.00
randomArrays,1,808,12.55,15.62,0.00
randomArrays,1,143,0.40,0.00,0.00
randomArrays,1,147,0.35,0.00,0.00
randomArrays,1,929,16.25,15.62,0.00
randomArrays,1,906,15.95,15.62,0.00
randomArrays,1,425,3.14,0.00,0.00
randomArrays,1,736,10.64,15.62,0.00
randomArrays,1,65,0.09,0.00,0.00
randomArrays,1,305,1.52,0.00,0.00
randomArrays,1,194,0.58,0.00,0.00
randomArrays,1,545,6.29,15.62,0.00
randomArrays,1,49,0.05,0.00,0.00
randomArrays,1,731,10.05,15.62,0.00
randomArrays,1,712,9.28,15.62,0.00
randomArrays,1,732,10.15,15.62,0.00
randomArrays,1,57,0.11,0.00,0.00
randomArrays,1,983,18.17,15.62,0.00
randomArrays,1,345,2.00,0.00,0.00
randomArrays,1,152,0.36,0.00,0.00
randomArrays,1,963,17.29,31.25,0.00
randomArrays,1,544,5.17,0.00,0.00
randomArrays,1,870,13.55,0.00,0.00
randomArrays,1,557,5.53,15.62,0.00
randomArrays,1,168,0.45,0.00,0.00
randomArrays,1,373,3.23,0.00,0.00
randomArrays,1,416,3.05,0.00,0.00
randomArrays,1,942,16.30,15.62,0.00
randomArrays,1,966,17.20,15.62,0.00
randomArrays,1,363,2.69,15.62,0.00
randomArrays,1,955,17.08,15.62,0.00
randomArrays,1,626,7.58,0.00,0.00
randomArrays,1,948,16.50,15.62,0.00
randomArrays,1,193,0.57,0.00,0.00
randomArrays,1,361,2.17,0.00,0.00
randomArrays,1,195,0.58,0.00,0.00
randomArrays,1,905,17.04,15.62,0.00
randomArrays,1,105,0.19,0.00,0.00
randomArrays,1,750,11.90,0.00,0.00
randomArrays,1,565,5.59,0.00,0.00
randomArrays,1,538,5.04,0.00,0.00
randomArrays,1,488,4.77,0.00,0.00
randomArrays,1,30,0.03,0.00,0.00
randomArrays,1,554,5.51,15.62,0.00
randomArrays,1,407,2.85,0.00,0.00
randomArrays,1,958,19.22,15.62,0.00
randomArrays,1,137,0.30,0.00,0.00
randomArrays,1,101,0.17,0.00,0.00
randomArrays,1,633,7.25,15.62,0.00
randomArrays,1,44,0.05,0.00,0.00
randomArrays,1,738,11.70,0.00,0.00
randomArrays,1,763,11.27,0.00,0.00
randomArrays,1,319,1.64,0.00,0.00
